matricula,modelo_id,ano_fabricacao,data_ultima_revisao,total_horas_voo,ativa
TC-4738E,551,2017,2025-05-30,53050,True
D-1713T,992,1999,2025-12-25,11427,True
G-6445X,971,2011,2026-05-30,57048,True
PS-1015M,935,1992,2026-01-15,64039,True
D-8207Y,168,2002,2025-01-23,54200,True
D-6852C,966,2006,2025-08-26,60232,True
G-5877W,821,2020,2024-12-09,15493,True
PR-2662F,405,1997,2024-08-31,16669,True
PU-9637W,262,2011,2025-04-13,58796,True
JA-4401T,90,2019,2025-03-23,56424,True
JA-3112N,99,2009,2024-06-12,68853,True
PR-9574T,927,2011,2025-07-13,62694,True
PT-9306H,209,2023,2025-11-05,2217,True
PR-3722U,245,1997,2024-09-02,45969,True
G-8018A,349,2002,2025-04-30,32564,True
HL-759R,800,2011,2026-01-18,11358,True
PS-8997V,395,1993,2025-11-12,52077,True
JA-3094J,633,2025,2026-03-02,79282,True
JA-9471C,66,1992,2024-08-29,25467,False
F-9738O,896,2012,2024-08-07,69195,True
F-563I,57,2008,2025-02-23,35118,True
G-1318M,416,1996,2025-10-08,26372,True
G-3392K,291,2023,2025-03-13,45802,True
TC-6970C,645,1990,2025-10-04,38108,True
B-425Q,576,1990,2025-03-26,41219,True
D-4393V,597,2023,2025-05-07,63543,True
JA-4246Z,739,1993,2024-08-10,22185,True
EC-4094Q,471,1994,2024-11-28,28246,True
EC-2431O,582,2004,2025-10-18,44345,True
B-4411V,276,2011,2025-01-09,70965,True
TC-481K,881,2018,2024-06-14,26508,True
PT-9790X,615,2010,2025-12-01,17331,True
B-4642W,362,2018,2025-01-01,67844,True
PU-6125X,656,2015,2025-05-10,55653,True
PS-870L,114,1998,2025-10-30,67747,True
G-3301O,633,2017,2025-10-23,29960,True
D-4070G,773,2002,2025-03-05,73384,True
G-9126U,256,2015,2024-07-06,74856,True
N-7430B,750,1993,2024-07-04,15006,True
PR-4071I,210,1997,2024-07-04,56152,True
PP-3395X,330,2015,2026-04-10,24141,True
PS-4390G,246,2013,2026-03-08,58566,True
B-2934A,911,2010,2025-01-30,63885,True
PP-1228H,656,2024,2025-02-17,55681,False
F-3163Q,627,2018,2025-08-04,17447,True
VH-8474O,35,1999,2025-01-21,33068,True
PU-5463Y,239,1997,2024-06-28,6567,True
VH-9677W,57,2020,2025-10-12,3893,False
VH-9556M,42,2025,2025-08-06,75240,True
PU-4423H,660,2010,2025-09-01,76822,True
PU-6063U,955,2021,2024-09-17,9307,True
VH-1951L,900,2017,2024-09-11,27090,True
PR-6781V,981,1995,2025-10-01,2265,True
VH-1390H,702,2000,2025-06-07,27925,True
PS-452H,912,2015,2024-06-19,65143,True
F-4738O,235,1992,2025-04-13,71104,True
EC-792G,351,1991,2026-04-11,27165,True
PU-2196B,410,1999,2026-04-25,66534,True
N-8738X,10,2007,2025-08-19,17909,True
F-5508D,644,1994,2025-09-28,56466,True
F-3750S,164,1994,2025-11-13,8545,True
B-4136U,387,2021,2024-06-30,72143,True
D-3929G,997,2006,2026-05-22,50687,True
TC-8004N,955,2015,2025-10-20,69595,True
PS-992A,758,2021,2025-03-27,27363,True
PS-8375O,815,2021,2025-01-28,38094,True
HL-4503H,520,2011,2025-09-16,2209,True
HL-2837L,689,2018,2026-02-05,4013,True
TC-5622Y,357,2006,2025-01-27,21466,True
N-8486R,974,2020,2025-09-29,33292,True
PR-9625I,240,2024,2024-12-06,5871,True
PU-7558Z,605,2006,2025-02-14,66965,True
PS-208D,534,2017,2025-05-07,6492,True
PR-7779L,810,2004,2025-10-19,75168,True
JA-9765R,892,2013,2025-02-27,49259,True
B-7041Z,10,1991,2025-12-28,33045,True
PR-9766Q,246,2016,2025-11-24,43978,True
HL-8710U,599,2009,2026-03-26,25831,True
PS-8519U,9,2013,2026-04-28,28455,True
G-3889I,455,1995,2025-10-19,50758,True
PR-4321Y,835,2018,2026-03-04,72626,True
VH-5179I,357,1998,2025-06-30,76774,True
F-3153I,595,1996,2024-07-03,37618,True
F-7442I,335,2001,2026-05-17,12676,True
EC-3416D,794,1992,2025-11-10,45425,True
D-6470Y,534,2015,2024-11-23,78825,True
B-6324C,563,2007,2026-02-04,10848,True
JA-8261C,267,1996,2025-10-24,65401,True
VH-7514Y,320,1997,2025-04-03,3920,True
G-3278E,422,2001,2024-11-13,36251,True
TC-622F,962,2011,2025-08-12,64606,True
G-5621H,344,2020,2024-11-17,72304,True
G-7640G,437,1991,2025-04-11,28694,True
HL-1680D,654,2000,2025-01-15,36343,True
G-1444L,901,2007,2025-06-15,63241,True
F-4989I,706,1996,2024-09-18,71409,True
PT-9898T,421,2022,2026-04-09,26665,True
D-6964E,809,2024,2024-10-07,77144,True
F-2455H,497,1997,2025-01-24,3622,True
G-284F,203,2004,2025-03-10,79574,True
PU-7402W,252,1999,2025-02-09,64321,True
PP-2211I,195,2021,2026-01-22,41370,True
JA-1703D,437,1998,2025-07-03,45080,True
TC-7410C,516,2013,2026-05-14,9241,True
VH-7337O,477,1997,2025-12-31,50310,True
JA-5275T,995,2002,2024-08-16,68630,True
B-6679E,667,2019,2025-06-13,67036,True
TC-1923C,531,1994,2024-07-01,74187,True
PS-4695Y,789,2007,2025-07-13,4805,True
G-844V,526,2004,2025-12-20,43631,True
TC-8983X,581,2019,2024-11-20,36974,True
PS-6239U,313,1993,2024-12-02,66725,True
B-9088J,163,1990,2025-02-28,39261,True
N-4213T,184,2022,2024-07-22,64928,True
D-5654N,463,2010,2026-01-30,29819,True
G-6801R,530,1994,2026-01-15,40878,True
VH-3582Y,606,1998,2026-01-23,40197,True
HL-3375X,910,2002,2025-01-18,64018,True
B-2937M,675,2009,2026-04-09,6806,True
EC-5002J,294,2025,2025-10-14,74784,True
B-2489A,534,2008,2025-11-02,18412,True
PS-5941T,596,1996,2024-10-22,74935,True
PT-5271P,685,2022,2024-12-21,56099,True
PU-4623W,544,2000,2024-12-30,73872,True
PT-2848A,809,2010,2025-10-17,19424,True
F-7429A,37,1997,2025-10-09,75349,False
PP-4785N,771,2013,2026-04-10,19947,True
PT-2165E,362,2015,2026-01-31,20129,True
PS-7654N,820,1999,2025-09-20,79895,True
JA-723N,429,2012,2025-10-04,34130,True
G-6990Z,508,1993,2026-03-08,24856,True
PR-7306B,69,1993,2025-12-05,74183,True
TC-6239W,901,2013,2025-04-14,63383,True
N-3927Q,902,2023,2025-04-09,16926,True
B-7523R,262,2003,2025-11-29,60153,True
PT-7891U,789,1994,2024-12-11,72917,True
TC-6710T,110,1994,2025-11-05,61922,True
F-1425Q,574,2021,2025-09-16,43125,True
F-1548L,564,1997,2024-06-29,69269,True
G-2377H,617,2003,2026-01-21,61144,True
PR-8348U,475,1994,2024-07-03,75375,True
PT-5747M,849,2001,2025-12-20,13913,False
PR-404I,926,2021,2024-06-29,9171,True
B-4874B,445,2011,2024-12-20,56795,True
B-9794B,830,1993,2025-03-06,25387,True
TC-167R,956,2016,2024-11-13,8290,True
PU-7030G,604,1995,2025-09-04,7087,True
HL-7634U,301,2001,2026-05-07,28473,True
F-3280O,665,2017,2025-12-05,18070,True
PT-4606P,5,1995,2025-08-02,19087,True
PR-6165N,926,2000,2024-06-16,16883,True
EC-2760H,398,1998,2024-12-31,6842,True
PS-4836E,890,1996,2025-11-28,32961,True
HL-8280N,235,1991,2026-04-11,19298,True
F-6555E,515,1997,2026-05-03,10625,True
PS-2060S,401,2023,2025-12-16,71204,True
N-9764C,197,2012,2025-08-03,66135,True
G-4189P,931,2008,2026-04-07,58539,True
F-8774E,305,2011,2026-01-13,16327,True
D-8845D,742,2003,2025-07-29,27964,True
B-8154E,203,1998,2026-02-12,72565,True
VH-3787T,188,2019,2025-12-26,41895,True
B-3432Q,484,1993,2025-04-21,48818,True
PU-4711A,817,2011,2025-06-22,38969,True
N-3248F,303,1997,2025-10-05,26405,True
HL-764Z,489,1992,2024-10-08,20728,True
PU-9666T,972,1997,2026-03-18,36362,True
PR-7796D,484,2025,2025-02-02,60178,True
G-8222Y,365,2003,2024-08-22,50160,True
PR-4621Y,975,2010,2025-01-22,39821,True
EC-4719E,509,2013,2024-06-09,30177,True
D-3501F,925,2015,2025-11-17,75431,True
PS-7489E,262,2009,2025-08-22,35910,True
D-2072F,940,2000,2025-03-21,49501,True
N-1297J,665,2005,2024-08-26,54570,True
TC-862B,594,1996,2025-12-27,18847,True
JA-8471L,242,2009,2025-05-07,6698,True
D-376Q,945,2012,2024-07-11,30943,True
B-7835A,962,2017,2025-08-14,34075,False
PS-8194I,568,2015,2025-08-26,65504,True
PP-7119H,927,2021,2025-06-26,49839,True
PU-6615C,7,2011,2025-05-15,74903,True
VH-4092D,559,1991,2024-11-12,38604,True
B-8036T,292,1991,2024-07-29,42938,False
JA-5475Z,106,2011,2025-06-23,76731,True
PR-6803Y,63,2005,2026-03-04,43266,True
B-2740O,11,2014,2024-06-12,9886,False
N-748B,790,1996,2025-09-03,63630,True
TC-6052H,452,1999,2025-06-26,72885,True
D-8012X,269,1990,2024-08-30,73137,True
F-5203P,592,2018,2026-04-22,47646,True
PT-2024L,756,2008,2025-04-07,42253,True
JA-1149N,307,2003,2025-04-13,31977,True
EC-8762E,533,2024,2025-07-21,30788,True
B-7666A,42,2019,2026-05-10,33049,True
HL-9146R,426,2025,2025-08-11,17996,True
VH-8147X,362,2021,2024-08-20,12581,True
F-9059O,843,2001,2024-11-22,25346,True
D-5686W,947,2012,2026-04-26,62044,True
G-1642M,325,2025,2024-06-15,33052,True
B-3320A,38,2003,2024-11-27,21101,True
G-4889M,183,1991,2026-03-30,55056,True
D-2917T,997,2022,2025-10-01,31509,True
PT-9802U,313,1995,2025-07-30,3796,True
F-3009T,413,2002,2025-01-16,66968,True
PP-7236J,776,1999,2025-03-23,73291,True
PT-5776D,644,2000,2025-09-13,22250,True
N-8721C,717,2018,2024-08-25,60652,True
VH-3123L,480,2023,2025-11-11,25846,True
G-8803D,131,2004,2024-10-20,2274,True
PS-2533K,142,2017,2025-08-02,6373,False
VH-1552R,655,1996,2024-08-15,24266,True
PS-371P,218,2023,2025-03-12,68981,True
TC-9299V,63,1994,2024-07-14,18582,True
PP-4423U,204,2016,2024-08-19,45897,True
HL-1658B,80,1992,2025-03-24,58056,True
PU-5549F,930,1993,2024-12-15,45615,True
PR-9751S,82,1994,2025-02-09,79661,True
D-2012K,517,1991,2024-12-21,66931,True
VH-2121C,995,1994,2026-05-23,42314,False
JA-5060D,170,2000,2025-04-15,45033,True
PT-1960F,928,2022,2025-03-28,59718,True
TC-5531B,534,2001,2024-09-29,51810,True
PR-3296S,57,2021,2025-03-16,32280,True
D-9756D,292,2005,2025-05-09,64599,True
PT-9935C,33,2007,2024-11-28,48480,True
PT-4291M,722,2024,2024-08-27,65757,True
PT-8207K,770,2016,2024-09-30,8416,False
N-9201H,813,2008,2026-04-05,70706,True
N-9867C,837,2000,2025-02-28,61285,True
PS-6932X,190,2009,2024-11-19,61997,True
EC-1016L,188,2004,2025-04-25,25285,True
VH-5144P,346,1990,2024-08-24,75650,True
TC-8030R,198,2012,2024-09-08,55274,True
VH-6279I,864,1992,2025-05-10,48378,True
N-8390R,75,1996,2025-04-10,71478,True
D-7884C,483,1991,2025-09-05,58000,True
N-7839N,919,2017,2025-06-25,17273,True
D-1268B,872,2014,2025-05-19,13554,True
PU-2926Y,780,1992,2025-04-04,32753,False
PS-5816H,576,2014,2024-10-13,69328,True
F-1173K,638,2019,2026-01-21,70302,False
JA-7750U,873,2025,2026-04-06,50349,True
TC-7126T,1,1993,2024-10-05,68251,True
PU-7740K,323,1993,2026-02-02,57511,True
F-1729I,307,2009,2026-01-10,31061,True
PU-4699N,764,2000,2026-04-21,52413,True
G-3649T,916,2012,2025-08-29,12553,True
JA-8657D,732,2004,2025-03-04,70026,True
PS-3190I,937,2009,2026-05-23,10412,True
N-3053S,759,2000,2025-06-23,60575,True
VH-7536C,195,2013,2026-02-06,69912,True
HL-6843D,940,2015,2026-01-02,3057,True
PS-1810D,249,2021,2025-10-11,65740,True
B-8963P,675,2019,2025-08-29,68744,True
EC-2814S,875,2005,2025-01-28,7658,True
TC-7484P,145,2010,2025-06-16,72642,True
HL-948T,657,1990,2025-01-05,54348,True
VH-5525A,600,2007,2025-03-11,53517,True
VH-6568A,343,1990,2024-06-30,54562,True
PR-3091L,759,2013,2025-08-07,20503,True
F-9882O,203,2019,2024-07-18,73229,True
D-281I,905,1997,2025-10-05,76218,False
PU-2076N,992,1996,2025-08-14,64987,True
PP-3226P,584,2018,2025-10-17,30026,False
HL-343K,923,2004,2025-06-29,25518,True
PT-9781F,338,1997,2025-09-24,69056,True
PU-7441A,265,2023,2026-01-31,48852,True
N-849F,210,1995,2025-05-18,32564,True
TC-4912W,278,2021,2024-09-02,15762,True
TC-6298L,54,2003,2025-05-30,62052,True
JA-608A,496,2006,2026-05-04,72710,True
TC-8466E,447,2024,2024-11-28,18970,True
PT-2444B,148,1996,2025-10-21,41773,True
G-2943B,496,2017,2024-11-20,61842,True
JA-8167K,696,2019,2024-08-10,13628,True
F-7198T,805,2018,2026-01-12,18440,True
B-544N,870,2019,2025-02-18,32072,True
B-8532O,822,2006,2026-01-24,77259,True
HL-3549D,648,2012,2025-06-22,14206,True
TC-9238C,826,2021,2024-08-14,67182,True
PS-5506O,73,1993,2026-05-27,77466,True
JA-6814N,737,1997,2025-04-27,63432,True
N-8408Q,88,2023,2024-06-30,66856,True
HL-4031Z,477,2014,2026-04-27,2816,True
VH-7483C,136,2012,2025-01-03,44735,True
TC-7485L,554,2006,2024-10-13,75194,True
PT-7942R,164,2016,2025-03-26,34870,True
B-9060G,277,2007,2026-05-31,40223,True
PR-3099Q,535,2011,2026-03-06,40997,True
PT-1025Q,468,2018,2024-08-05,14189,True
HL-7255M,746,2005,2024-12-24,41084,True
PR-3289X,520,1994,2026-03-12,70643,True
F-3407F,63,1990,2026-05-08,61300,True
PS-9169X,702,2015,2026-01-21,43114,True
PS-7389A,109,1997,2024-12-15,17326,True
B-9847S,184,2023,2025-05-15,79850,True
PP-2285I,586,2018,2024-08-09,53409,True
EC-3689J,836,2024,2026-04-29,64806,True
VH-6351B,99,2004,2025-04-22,13350,False
EC-8836N,135,2006,2025-02-15,47654,True
TC-2120K,773,2021,2024-06-30,13922,True
PP-6498K,138,2001,2026-03-22,59767,True
PR-6693Q,267,2016,2024-12-24,55464,True
TC-7247L,880,2016,2024-12-22,47995,True
PR-4744F,652,1995,2026-01-18,8148,True
D-4474S,964,2018,2024-08-22,25371,True
N-6899P,1000,1994,2025-03-16,20917,True
JA-2750J,623,2025,2024-10-23,58424,True
TC-5028C,330,2012,2025-05-02,62153,True
TC-2331D,695,2005,2024-12-21,8566,True
EC-1460H,597,2014,2025-01-08,68874,True
B-9781W,908,1993,2025-02-24,22127,True
F-2718S,463,2017,2025-11-13,63666,True
PP-367P,830,1995,2025-10-27,10060,True
N-554U,729,2004,2025-06-25,24760,True
F-9771J,839,2008,2025-12-28,79268,True
F-3468N,488,2020,2025-10-06,36587,True
PS-2872J,340,2018,2024-09-21,14985,True
EC-5510L,278,2017,2025-09-10,70786,True
PP-7581V,412,1992,2026-05-04,34149,True
JA-2951R,95,2020,2026-02-06,65524,True
PT-6411S,605,2008,2025-04-19,35610,True
VH-9291G,597,2014,2025-12-27,27942,True
PP-4557P,42,1990,2025-09-07,40668,True
VH-6186K,963,2007,2025-01-09,61526,True
PP-913B,452,2004,2025-12-19,11559,True
PR-8894B,390,2025,2025-03-15,23759,True
PS-9935P,654,2018,2024-12-18,51347,True
N-3344E,963,2024,2024-08-08,29101,True
F-7971W,349,1993,2025-10-27,47520,True
PU-2018S,780,2009,2025-11-06,67205,True
G-4942V,937,1997,2026-03-15,8747,True
F-165H,743,2007,2025-08-21,52605,True
JA-394N,110,2017,2026-02-11,78899,True
B-4446P,245,2022,2026-04-19,9560,False
JA-6593H,511,1990,2024-08-29,57570,True
F-6196B,575,1998,2026-03-12,17940,True
G-4165J,48,2011,2024-11-19,36950,True
EC-8412K,630,1991,2026-05-26,14665,True
PP-5168B,716,1990,2025-12-21,9459,True
N-502J,607,2005,2026-02-27,42672,True
PT-4827C,155,2020,2025-05-27,63635,False
HL-6010H,199,2023,2025-08-09,64866,True
PP-8928H,861,2000,2024-07-06,77883,True
PP-4045Q,689,1997,2024-12-16,10529,True
D-4654U,815,1992,2025-09-07,7255,True
PU-3761Y,147,2014,2025-06-30,21565,True
JA-4236G,172,2004,2025-06-13,63747,True
JA-3589K,387,2020,2026-03-07,18165,True
PU-2484J,839,2020,2025-04-30,22575,True
PP-7043J,955,2020,2024-09-14,19560,True
PS-4113H,313,2005,2024-06-18,20787,True
PR-3652F,140,1999,2025-09-13,58392,True
PT-8273U,911,2012,2024-10-27,69162,True
VH-4558V,929,1994,2026-02-21,59818,True
EC-8410Z,896,1995,2025-08-01,67573,True
JA-9509W,960,1999,2026-02-19,37877,True
HL-2430I,113,2000,2024-10-29,78585,True
PS-5936Z,617,2021,2025-05-13,48562,True
F-8427H,153,1991,2024-12-10,28884,True
B-4388T,561,1992,2025-09-06,3480,True
EC-2986T,237,2016,2025-04-02,58026,True
N-1459I,962,2012,2026-05-26,45039,True
JA-9833J,291,2007,2025-02-09,40096,True
EC-7690H,501,1999,2025-12-25,56146,True
PP-3886G,999,2006,2024-10-07,69859,True
D-5883L,707,2018,2025-01-30,28689,True
N-1613H,993,2002,2026-05-01,10006,True
TC-6479K,221,1997,2024-10-14,19016,True
G-4233L,961,2014,2026-02-26,49569,True
N-7361B,363,2020,2025-06-06,14034,True
D-1633L,638,1995,2025-11-04,70766,True
PS-3811H,375,2015,2025-04-21,21875,True
VH-6193K,18,1997,2024-06-03,26976,True
F-5098D,780,1993,2025-12-01,31820,True
PT-1378H,452,2002,2026-02-14,18202,False
VH-2198E,33,1995,2025-06-14,59649,True
HL-8948F,871,1998,2025-01-06,56373,True
PR-6601R,404,2025,2025-10-27,54242,True
PR-7974A,640,2016,2025-11-08,37200,True
F-6777Z,234,2022,2024-09-04,59376,True
G-9286D,590,2000,2025-01-29,74619,True
EC-1425C,994,1991,2025-05-07,16870,True
F-5100S,666,2003,2024-12-22,68946,True
N-332S,251,1999,2026-03-20,58100,True
PP-6466T,297,2022,2026-01-15,51945,True
VH-2156B,714,1995,2026-04-27,31786,True
B-314M,857,2010,2024-12-28,25845,True
PS-9939W,974,2015,2024-06-04,79839,True
PT-9243M,390,2009,2026-02-10,14530,True
N-1626X,395,2008,2024-10-12,33045,True
B-5559T,896,1999,2025-05-06,25149,True
B-6241T,484,2025,2025-11-22,19836,True
PR-948Q,16,1990,2024-09-06,36937,True
PS-3169F,427,1992,2024-10-27,1680,True
F-8805J,880,2002,2025-03-02,73820,True
JA-4480T,471,2005,2024-10-28,15426,True
HL-451L,218,2025,2025-01-07,67862,True
VH-9937H,104,2000,2024-09-30,1068,True
TC-4562F,515,1999,2025-02-09,31219,True
PT-7167B,783,1995,2025-03-03,2734,True
EC-8161E,765,2025,2025-02-22,27108,True
PP-1223E,867,1996,2025-03-28,5140,True
N-1731A,937,2016,2024-08-08,6174,True
EC-8130Z,528,2009,2025-08-08,73842,True
PR-4712V,656,1999,2024-11-02,4401,True
VH-7601V,416,2017,2024-09-21,31597,True
PR-926T,978,2009,2026-02-26,43787,True
EC-4662E,138,2003,2025-05-02,50286,True
B-4005F,485,1995,2025-12-13,33887,True
D-3026U,695,2012,2024-09-28,1698,True
G-2597G,234,1998,2026-03-09,60075,True
N-747S,679,2007,2024-08-09,40454,True
TC-4351Q,228,1995,2024-11-10,64955,True
B-4793X,596,2003,2025-07-21,54419,False
PT-6624C,447,2022,2024-12-17,62183,True
B-6382H,754,1991,2026-06-01,63557,True
PP-2590V,324,2020,2024-09-05,48782,True
F-4048M,214,1997,2026-04-03,58185,True
PT-3568Z,526,2025,2025-11-18,71464,True
PP-9422K,844,2018,2025-03-08,72769,True
PP-3518H,694,2011,2025-02-24,69438,True
PS-4582E,673,1998,2024-07-28,29844,True
TC-2248E,428,2009,2026-03-18,9979,False
PU-4600Z,145,2002,2024-06-08,705,True
HL-6497Z,346,2018,2025-08-23,59243,True
JA-6716D,648,1999,2025-11-02,46814,True
D-4328H,310,2001,2025-03-02,16347,False
PU-3942T,550,2022,2024-12-31,73784,True
JA-9391A,255,1996,2026-05-25,57051,True
PU-6486N,970,2023,2024-09-12,1363,True
PP-6529V,886,2025,2026-04-09,62320,True
F-5761D,645,1996,2025-10-03,58380,True
G-7096D,151,2007,2025-03-10,64438,True
B-6254U,565,2010,2026-01-23,76772,True
G-5049Z,439,2000,2024-09-19,56755,True
VH-757F,564,2000,2026-04-05,62014,True
D-4972N,630,2007,2025-06-10,71404,True
JA-4866Z,321,2019,2025-02-20,49682,True
PU-7508V,572,2000,2024-06-07,5352,False
PS-8134V,396,2022,2025-03-14,32395,True
TC-2708X,759,2023,2025-04-10,10136,True
PP-4424F,899,1992,2026-05-04,37714,True
N-3824K,163,1994,2025-07-27,64553,True
N-7886E,388,2021,2025-06-27,59579,True
PS-815Z,871,1993,2025-10-11,19008,True
PR-3250B,275,2002,2024-07-19,26315,False
B-8059O,579,1991,2025-07-03,3662,True
PP-1557L,903,2002,2026-05-05,23657,True
F-5160B,877,2011,2024-12-31,48561,True
TC-7133F,498,1997,2025-10-17,73028,True
G-3374C,611,2024,2026-04-14,48007,True
JA-9000B,443,2014,2025-07-15,58977,True
G-4538W,991,2017,2026-05-19,18374,True
B-639V,891,2016,2024-10-13,42280,True
N-1498E,411,2010,2025-11-25,32777,True
HL-3326P,39,2007,2024-06-12,21533,True
PT-5070D,373,1999,2025-05-08,30877,True
D-8760P,817,1993,2024-10-01,3522,False
F-5688I,935,2012,2025-06-02,7340,True
EC-3461Z,349,2020,2024-07-27,52228,True
PS-8537U,120,2001,2024-09-27,25448,True
HL-4967U,970,2002,2025-04-01,28071,True
G-2632A,212,2021,2024-10-26,54117,True
VH-739U,511,1992,2024-11-08,58415,True
PS-6581N,848,2024,2025-01-26,5682,True
G-7345N,17,2018,2024-06-27,79461,False
TC-6399U,442,1991,2025-11-21,5810,True
EC-3974X,67,2007,2025-10-30,75193,True
PU-4495T,727,1994,2024-10-23,50955,True
EC-815F,810,2025,2025-10-24,57499,True
F-2592N,672,2001,2025-09-25,18271,True
N-5558O,910,2009,2024-11-13,14064,True
PU-5749U,981,1992,2025-06-16,68333,True
EC-725N,394,1991,2025-07-18,30426,True
PU-316S,661,1995,2026-05-30,49897,True
PT-6916S,224,1997,2024-08-22,32161,True
HL-3338H,387,2002,2025-12-23,38205,True
B-2927R,32,2007,2026-01-31,28779,True
JA-6428I,285,2007,2024-12-11,49085,True
PT-6739J,600,2007,2024-09-27,54501,True
B-5478F,651,2022,2025-04-13,53753,True
N-1890L,423,2019,2025-06-01,39539,True
PR-8074W,847,2006,2024-10-02,74861,True
VH-578N,17,2024,2025-05-18,12997,True
D-1116M,32,1999,2024-12-11,69596,True
PP-4450R,599,2018,2024-12-08,8772,True
PR-6813P,358,2015,2024-09-30,43166,False
B-399Y,691,1991,2026-04-15,23929,True
VH-9425X,462,2018,2025-04-16,55237,True
VH-7389A,668,2009,2024-09-07,72977,True
PR-1444M,350,2015,2025-05-16,9089,True
G-6845E,341,2016,2025-05-15,76286,True
PP-6189C,433,1998,2026-05-14,65785,True
PR-2967M,929,1996,2025-12-14,36016,True
PP-8715V,300,2021,2025-05-01,37618,True
D-8643L,908,1997,2025-05-08,27585,True
F-1307T,281,2024,2025-01-14,2867,True
PU-6263H,930,2011,2025-05-05,72116,True
HL-797X,654,1998,2026-04-18,59005,True
PP-1632O,105,2007,2025-09-22,16302,True
PT-3058T,42,2012,2025-02-17,68425,True
JA-8346J,70,2002,2026-05-10,51223,True
JA-2859M,646,2003,2025-06-30,11903,True
JA-5038S,262,2017,2026-02-08,3602,True
PT-8469F,639,2011,2025-07-02,16779,True
EC-3969R,978,2011,2026-03-31,21458,True
TC-3675D,975,1994,2024-09-06,40776,True
HL-3782C,82,2013,2025-08-26,40737,True
TC-9635W,463,1990,2025-10-07,33762,True
JA-9463Y,547,2022,2026-03-19,29840,True
HL-2949A,388,1992,2025-01-15,41175,True
EC-5704Z,318,2005,2026-01-15,21879,True
PU-5782U,79,1998,2025-03-27,78303,True
EC-3524R,470,2023,2025-07-24,66903,True
PT-154O,300,1995,2025-05-14,34440,True
F-7491N,854,2007,2025-10-12,23408,True
PR-200S,171,1993,2025-12-02,13286,True
TC-8063B,904,2016,2025-05-23,78446,True
F-3329E,769,1999,2026-01-07,35607,True
PT-6283F,863,2022,2025-01-16,2672,True
G-8958Z,36,2019,2025-08-29,31707,True
TC-8596D,835,2019,2025-11-16,48076,True
VH-624O,503,1999,2024-09-27,9722,True
HL-9218T,19,2017,2025-08-22,54945,True
N-1015V,343,2017,2025-01-12,47404,True
PS-4680A,52,1999,2024-12-27,57075,True
D-1453N,71,2019,2025-09-16,17669,True
D-5302H,692,2011,2025-09-19,33957,True
VH-1633W,643,2017,2024-10-30,12318,True
F-6770S,530,1997,2026-02-03,36570,True
TC-2920U,890,1997,2024-07-28,66459,True
PP-9382H,53,1991,2024-11-05,38674,True
PU-2472F,927,2007,2025-04-21,54093,True
F-7770M,645,1996,2025-06-16,53434,True
B-2142D,549,2013,2025-02-26,60734,False
PR-1632A,868,2000,2025-10-09,7848,True
B-7885H,454,2025,2026-04-20,57234,True
N-7855D,624,2011,2025-06-21,43431,True
EC-801G,272,1994,2024-10-01,30103,True
B-5237C,476,2014,2026-04-05,65079,True
TC-3869U,489,1999,2026-03-08,63576,True
HL-9756Z,732,1991,2025-12-19,52207,True
N-3688D,161,1997,2026-01-05,47165,True
TC-862A,621,1996,2026-04-19,22893,True
EC-8735F,745,2007,2025-04-11,68522,True
G-1639G,701,1995,2025-04-15,12704,False
TC-5446Q,27,2019,2025-06-28,60974,True
PT-1028S,95,2000,2024-12-21,7584,True
PU-5694V,595,2004,2025-12-04,67028,True
N-6270H,535,2009,2026-02-25,42234,True
JA-4615M,560,1997,2025-09-13,54702,True
HL-3248X,696,1993,2026-04-13,1186,True
D-3918M,202,2019,2024-06-05,45097,True
B-686Q,72,2011,2026-05-09,8354,True
HL-301X,808,2019,2025-11-17,64883,True
F-3808G,790,2017,2025-02-13,69000,True
PT-4862W,858,2009,2024-11-27,51973,True
B-5922L,459,2012,2025-04-12,29118,True
TC-819E,421,2017,2025-10-19,73229,True
D-5176F,486,2010,2025-04-26,58258,True
PU-8675T,986,1994,2026-04-30,23059,True
N-2253T,101,2015,2025-05-09,45232,True
EC-8219S,257,2007,2025-10-16,59174,True
PT-5568R,663,2016,2025-06-26,54667,True
HL-4729S,836,2000,2024-11-11,58276,True
N-4296K,869,2000,2026-01-15,69434,True
B-2541I,30,1998,2024-10-25,24683,False
F-9664X,75,1998,2024-06-26,21246,True
JA-9611J,200,2018,2024-10-28,13786,True
N-693D,49,1999,2024-07-30,32354,True
PT-5156V,134,1993,2025-04-06,8090,True
PU-763D,453,2020,2024-09-05,34107,True
TC-1699S,180,2022,2026-05-03,26558,True
EC-6163D,115,1990,2025-12-07,77407,True
TC-7496A,700,2001,2025-12-06,38812,True
PT-6884S,884,2004,2026-01-26,39128,True
VH-9230Y,464,2019,2024-11-09,54291,True
D-4571X,937,2014,2026-04-12,57795,True
TC-132W,913,2019,2024-08-24,19254,True
B-8056R,180,1994,2025-06-12,76798,True
PP-8025T,805,1991,2025-05-17,7282,True
F-4244M,298,2001,2025-09-08,69855,True
PS-5032L,678,2018,2024-06-13,50729,True
N-8503X,471,2002,2025-02-22,12731,True
HL-3624L,296,2001,2024-12-07,41091,True
D-4591K,418,2008,2025-01-22,40933,True
PT-3467F,931,2024,2024-07-04,14475,True
N-6427C,208,2016,2026-05-13,65545,True
