reserva_id,numero_passagem,assento,classe,emitida_em
1134,TKT-01134,27C,EXECUTIVA,2026-05-27 05:32:22+00:00
1135,TKT-01135,32C,EXECUTIVA,2025-11-22 11:31:37+00:00
1136,TKT-01136,2B,ECONOMICA,2026-02-07 05:29:05+00:00
1137,TKT-01137,13D,PRIMEIRA_CLASSE,2025-09-16 10:18:06+00:00
1138,TKT-01138,17B,ECONOMICA,2025-09-25 04:33:21+00:00
1139,TKT-01139,38E,PRIMEIRA_CLASSE,2026-03-30 05:52:01+00:00
1140,TKT-01140,2C,EXECUTIVA,2026-02-09 00:35:58+00:00
1141,TKT-01141,23A,ECONOMICA,2025-07-16 20:45:06+00:00
1142,TKT-01142,17C,PRIMEIRA_CLASSE,2025-06-05 22:54:56+00:00
1143,TKT-01143,18A,EXECUTIVA,2025-11-27 15:43:09+00:00
1144,TKT-01144,33D,ECONOMICA,2026-02-27 22:10:18+00:00
1145,TKT-01145,17C,EXECUTIVA,2025-10-13 06:07:52+00:00
1146,TKT-01146,16C,ECONOMICA,2026-05-26 01:25:37+00:00
1147,TKT-01147,31B,ECONOMICA,2025-06-07 12:05:29+00:00
1148,TKT-01148,8F,ECONOMICA,2026-01-10 18:34:23+00:00
1149,TKT-01149,26F,PRIMEIRA_CLASSE,2026-02-13 13:38:02+00:00
1150,TKT-01150,32B,ECONOMICA,2026-05-07 02:40:30+00:00
1151,TKT-01151,5A,PRIMEIRA_CLASSE,2026-04-13 17:46:39+00:00
1152,TKT-01152,5E,PRIMEIRA_CLASSE,2025-07-24 09:58:30+00:00
1153,TKT-01153,9B,PRIMEIRA_CLASSE,2025-06-08 23:55:30+00:00
1154,TKT-01154,24F,ECONOMICA,2025-11-09 06:23:36+00:00
1155,TKT-01155,28C,PRIMEIRA_CLASSE,2026-04-23 10:04:48+00:00
1156,TKT-01156,31B,PRIMEIRA_CLASSE,2025-12-18 12:29:30+00:00
1157,TKT-01157,24C,PRIMEIRA_CLASSE,2026-04-03 17:29:28+00:00
1158,TKT-01158,19E,PRIMEIRA_CLASSE,2025-10-28 18:09:29+00:00
1159,TKT-01159,3F,EXECUTIVA,2026-05-17 15:42:28+00:00
1160,TKT-01160,11A,PRIMEIRA_CLASSE,2025-06-22 13:08:37+00:00
1161,TKT-01161,21A,ECONOMICA,2025-11-25 22:10:48+00:00
1162,TKT-01162,8D,PRIMEIRA_CLASSE,2025-10-26 02:16:47+00:00
1163,TKT-01163,20B,PRIMEIRA_CLASSE,2025-07-31 15:46:36+00:00
1164,TKT-01164,8C,PRIMEIRA_CLASSE,2025-11-21 16:50:39+00:00
1165,TKT-01165,28C,ECONOMICA,2025-11-29 13:14:34+00:00
1166,TKT-01166,3E,ECONOMICA,2026-05-19 09:08:55+00:00
1167,TKT-01167,4C,ECONOMICA,2026-02-05 20:00:26+00:00
1168,TKT-01168,13B,ECONOMICA,2026-02-02 17:35:18+00:00
1169,TKT-01169,17F,EXECUTIVA,2025-10-31 14:27:50+00:00
1170,TKT-01170,8D,EXECUTIVA,2025-07-26 00:49:35+00:00
1171,TKT-01171,15F,ECONOMICA,2025-06-13 15:43:50+00:00
1172,TKT-01172,6E,EXECUTIVA,2025-06-25 21:02:09+00:00
1173,TKT-01173,26C,EXECUTIVA,2026-01-09 06:30:24+00:00
1174,TKT-01174,5B,PRIMEIRA_CLASSE,2025-06-16 01:40:34+00:00
1175,TKT-01175,13F,PRIMEIRA_CLASSE,2026-04-10 15:38:33+00:00
1176,TKT-01176,3F,ECONOMICA,2025-06-27 11:33:35+00:00
1177,TKT-01177,15E,PRIMEIRA_CLASSE,2025-09-06 11:28:02+00:00
1178,TKT-01178,33D,EXECUTIVA,2025-10-30 08:40:12+00:00
1179,TKT-01179,38F,PRIMEIRA_CLASSE,2025-11-15 01:39:17+00:00
1180,TKT-01180,15C,EXECUTIVA,2025-12-30 02:58:18+00:00
1181,TKT-01181,14C,PRIMEIRA_CLASSE,2026-02-13 21:21:29+00:00
1182,TKT-01182,1C,EXECUTIVA,2026-05-14 14:18:01+00:00
1183,TKT-01183,6F,PRIMEIRA_CLASSE,2025-06-24 05:29:40+00:00
1184,TKT-01184,30B,EXECUTIVA,2025-08-14 01:09:26+00:00
1185,TKT-01185,24A,ECONOMICA,2025-12-04 12:15:05+00:00
1186,TKT-01186,3C,EXECUTIVA,2026-03-23 20:42:09+00:00
1187,TKT-01187,7B,EXECUTIVA,2025-09-13 20:37:28+00:00
1188,TKT-01188,10B,EXECUTIVA,2026-02-06 19:23:57+00:00
1189,TKT-01189,34C,EXECUTIVA,2026-06-02 19:39:34+00:00
1190,TKT-01190,10F,ECONOMICA,2025-10-31 22:31:17+00:00
1191,TKT-01191,13D,ECONOMICA,2025-09-19 15:13:16+00:00
1192,TKT-01192,31B,EXECUTIVA,2025-09-23 22:25:22+00:00
1193,TKT-01193,24C,EXECUTIVA,2026-01-12 02:08:25+00:00
1194,TKT-01194,32B,ECONOMICA,2026-04-30 16:20:16+00:00
1195,TKT-01195,8C,EXECUTIVA,2025-06-30 19:40:17+00:00
1196,TKT-01196,5E,PRIMEIRA_CLASSE,2026-04-24 12:35:38+00:00
1197,TKT-01197,3B,ECONOMICA,2025-12-23 16:46:36+00:00
1198,TKT-01198,17C,ECONOMICA,2025-12-12 04:32:20+00:00
1199,TKT-01199,10F,PRIMEIRA_CLASSE,2025-11-15 05:33:24+00:00
1200,TKT-01200,1C,ECONOMICA,2025-07-30 03:01:03+00:00
1201,TKT-01201,12E,PRIMEIRA_CLASSE,2025-11-30 05:36:40+00:00
1202,TKT-01202,9E,EXECUTIVA,2026-05-28 04:25:31+00:00
1203,TKT-01203,18C,EXECUTIVA,2025-10-23 07:07:00+00:00
1204,TKT-01204,23F,ECONOMICA,2026-03-28 00:36:07+00:00
1205,TKT-01205,34C,EXECUTIVA,2026-05-02 02:31:49+00:00
1206,TKT-01206,2C,EXECUTIVA,2025-11-17 10:54:44+00:00
1207,TKT-01207,5C,PRIMEIRA_CLASSE,2025-07-10 15:00:05+00:00
1208,TKT-01208,15E,EXECUTIVA,2026-03-06 03:10:53+00:00
1209,TKT-01209,6B,PRIMEIRA_CLASSE,2026-05-30 07:38:32+00:00
1210,TKT-01210,9E,ECONOMICA,2026-03-26 05:50:06+00:00
1211,TKT-01211,8A,ECONOMICA,2026-02-06 02:51:01+00:00
1212,TKT-01212,36A,EXECUTIVA,2026-01-07 12:03:32+00:00
1213,TKT-01213,30B,PRIMEIRA_CLASSE,2025-08-24 14:50:33+00:00
1214,TKT-01214,6C,EXECUTIVA,2026-05-15 20:56:14+00:00
1215,TKT-01215,8A,PRIMEIRA_CLASSE,2026-05-11 22:45:31+00:00
1216,TKT-01216,4A,PRIMEIRA_CLASSE,2025-12-23 00:05:29+00:00
1217,TKT-01217,7E,EXECUTIVA,2025-09-09 14:21:11+00:00
1218,TKT-01218,24D,EXECUTIVA,2026-05-15 04:27:51+00:00
1219,TKT-01219,26D,EXECUTIVA,2025-09-13 12:07:57+00:00
1220,TKT-01220,10E,EXECUTIVA,2026-03-13 16:21:35+00:00
1221,TKT-01221,4E,EXECUTIVA,2025-10-27 10:58:16+00:00
1222,TKT-01222,28C,ECONOMICA,2025-09-02 12:47:39+00:00
1223,TKT-01223,2E,PRIMEIRA_CLASSE,2025-12-03 17:24:11+00:00
1224,TKT-01224,8D,EXECUTIVA,2026-04-10 13:33:52+00:00
1225,TKT-01225,7B,ECONOMICA,2025-11-13 01:24:22+00:00
1226,TKT-01226,19E,ECONOMICA,2025-10-28 22:20:15+00:00
1227,TKT-01227,9C,EXECUTIVA,2025-12-31 12:58:11+00:00
1228,TKT-01228,6C,EXECUTIVA,2025-12-27 00:23:47+00:00
1229,TKT-01229,13C,EXECUTIVA,2026-03-22 07:46:41+00:00
1230,TKT-01230,21A,PRIMEIRA_CLASSE,2026-05-04 08:09:09+00:00
1231,TKT-01231,13D,PRIMEIRA_CLASSE,2026-04-21 11:16:49+00:00
1232,TKT-01232,17D,PRIMEIRA_CLASSE,2025-10-31 17:51:05+00:00
1233,TKT-01233,40D,EXECUTIVA,2026-05-20 20:22:02+00:00
1234,TKT-01234,8A,EXECUTIVA,2025-08-26 13:28:45+00:00
1235,TKT-01235,7C,ECONOMICA,2026-01-31 12:09:59+00:00
1236,TKT-01236,2C,ECONOMICA,2025-07-19 16:18:00+00:00
1237,TKT-01237,20D,ECONOMICA,2025-07-04 12:06:18+00:00
1238,TKT-01238,11E,ECONOMICA,2025-08-10 00:25:47+00:00
1239,TKT-01239,21E,EXECUTIVA,2025-07-19 13:37:01+00:00
1240,TKT-01240,8C,ECONOMICA,2025-09-10 21:54:36+00:00
1241,TKT-01241,37B,ECONOMICA,2026-04-14 10:32:22+00:00
1242,TKT-01242,3D,PRIMEIRA_CLASSE,2026-04-30 23:38:35+00:00
1243,TKT-01243,27C,ECONOMICA,2026-02-12 08:10:11+00:00
1244,TKT-01244,12A,ECONOMICA,2026-02-08 22:08:27+00:00
1245,TKT-01245,35A,ECONOMICA,2025-09-24 21:46:10+00:00
1246,TKT-01246,3D,PRIMEIRA_CLASSE,2025-11-27 17:55:32+00:00
1247,TKT-01247,9E,PRIMEIRA_CLASSE,2025-11-28 21:02:29+00:00
1248,TKT-01248,19D,EXECUTIVA,2025-10-24 15:13:25+00:00
1249,TKT-01249,39A,PRIMEIRA_CLASSE,2025-08-05 00:37:30+00:00
1250,TKT-01250,12D,EXECUTIVA,2026-02-13 07:00:45+00:00
1251,TKT-01251,10C,PRIMEIRA_CLASSE,2025-06-25 07:05:32+00:00
1252,TKT-01252,34D,PRIMEIRA_CLASSE,2025-09-20 14:39:01+00:00
1253,TKT-01253,5B,EXECUTIVA,2025-12-01 02:11:52+00:00
1254,TKT-01254,6C,PRIMEIRA_CLASSE,2026-02-13 11:26:41+00:00
1255,TKT-01255,31D,PRIMEIRA_CLASSE,2026-05-26 17:13:45+00:00
1256,TKT-01256,5F,ECONOMICA,2025-09-27 20:12:16+00:00
1257,TKT-01257,5A,EXECUTIVA,2026-03-13 04:59:10+00:00
1258,TKT-01258,22C,PRIMEIRA_CLASSE,2025-11-26 15:48:00+00:00
1259,TKT-01259,34B,ECONOMICA,2025-06-23 09:21:11+00:00
1260,TKT-01260,36B,PRIMEIRA_CLASSE,2025-09-02 08:52:51+00:00
1261,TKT-01261,22A,ECONOMICA,2025-08-13 19:34:29+00:00
1262,TKT-01262,28B,PRIMEIRA_CLASSE,2025-09-22 19:21:00+00:00
1263,TKT-01263,32D,ECONOMICA,2025-07-22 11:55:48+00:00
1264,TKT-01264,36B,EXECUTIVA,2025-11-16 12:14:02+00:00
1265,TKT-01265,39E,PRIMEIRA_CLASSE,2025-09-20 18:46:47+00:00
1266,TKT-01266,28E,ECONOMICA,2026-03-08 19:24:04+00:00
1267,TKT-01267,11C,ECONOMICA,2026-02-22 06:35:29+00:00
1268,TKT-01268,4D,ECONOMICA,2025-09-19 21:09:37+00:00
1269,TKT-01269,17D,ECONOMICA,2026-03-11 12:01:05+00:00
1270,TKT-01270,5D,ECONOMICA,2025-12-22 12:41:41+00:00
1271,TKT-01271,10E,EXECUTIVA,2025-12-13 02:01:34+00:00
1272,TKT-01272,25D,EXECUTIVA,2026-02-10 03:17:25+00:00
1273,TKT-01273,20A,PRIMEIRA_CLASSE,2026-05-01 17:21:59+00:00
1274,TKT-01274,39A,EXECUTIVA,2025-11-15 02:56:37+00:00
1275,TKT-01275,38B,PRIMEIRA_CLASSE,2026-05-04 12:47:37+00:00
1276,TKT-01276,30A,ECONOMICA,2026-03-29 09:43:59+00:00
1277,TKT-01277,16B,EXECUTIVA,2026-05-16 20:15:49+00:00
1278,TKT-01278,8E,ECONOMICA,2026-02-21 01:37:13+00:00
1279,TKT-01279,34B,PRIMEIRA_CLASSE,2026-01-09 04:10:45+00:00
1280,TKT-01280,26B,EXECUTIVA,2026-04-24 05:10:04+00:00
1281,TKT-01281,3D,EXECUTIVA,2026-03-04 21:46:20+00:00
1282,TKT-01282,37B,PRIMEIRA_CLASSE,2025-10-27 20:35:48+00:00
1283,TKT-01283,21A,EXECUTIVA,2025-09-19 14:36:09+00:00
1284,TKT-01284,22E,EXECUTIVA,2025-12-06 06:50:28+00:00
1285,TKT-01285,36A,ECONOMICA,2025-11-09 02:48:35+00:00
1286,TKT-01286,39C,PRIMEIRA_CLASSE,2026-04-25 08:09:06+00:00
1287,TKT-01287,3F,ECONOMICA,2026-01-03 06:17:01+00:00
1288,TKT-01288,2D,PRIMEIRA_CLASSE,2025-08-25 04:00:24+00:00
1289,TKT-01289,24D,EXECUTIVA,2025-11-04 06:14:52+00:00
1290,TKT-01290,36C,PRIMEIRA_CLASSE,2025-07-26 03:16:23+00:00
1291,TKT-01291,19C,PRIMEIRA_CLASSE,2026-05-31 17:37:12+00:00
1292,TKT-01292,19A,ECONOMICA,2025-11-13 05:46:19+00:00
1293,TKT-01293,33D,EXECUTIVA,2026-04-09 23:44:25+00:00
1294,TKT-01294,19A,ECONOMICA,2026-05-21 07:50:59+00:00
1295,TKT-01295,10F,EXECUTIVA,2026-04-01 09:00:43+00:00
1296,TKT-01296,19F,PRIMEIRA_CLASSE,2025-09-29 05:58:43+00:00
1297,TKT-01297,40B,ECONOMICA,2025-07-05 13:51:49+00:00
1298,TKT-01298,5B,EXECUTIVA,2026-04-17 08:16:02+00:00
1299,TKT-01299,1E,ECONOMICA,2026-03-28 11:41:00+00:00
1300,TKT-01300,24F,ECONOMICA,2025-09-30 21:53:36+00:00
1301,TKT-01301,40A,EXECUTIVA,2025-06-28 04:40:52+00:00
1302,TKT-01302,28D,ECONOMICA,2025-08-11 14:13:10+00:00
1303,TKT-01303,37B,PRIMEIRA_CLASSE,2025-09-12 02:37:21+00:00
1304,TKT-01304,33C,ECONOMICA,2025-11-18 08:20:07+00:00
1305,TKT-01305,23C,EXECUTIVA,2025-11-23 15:26:53+00:00
1306,TKT-01306,4F,PRIMEIRA_CLASSE,2025-10-27 20:26:59+00:00
1307,TKT-01307,31A,PRIMEIRA_CLASSE,2026-02-19 12:44:51+00:00
1308,TKT-01308,40A,PRIMEIRA_CLASSE,2025-10-13 18:56:51+00:00
1309,TKT-01309,20A,EXECUTIVA,2025-09-08 00:56:00+00:00
1310,TKT-01310,9A,EXECUTIVA,2025-10-15 23:31:58+00:00
1311,TKT-01311,7A,ECONOMICA,2025-12-28 03:27:14+00:00
1312,TKT-01312,28F,PRIMEIRA_CLASSE,2026-01-17 17:38:09+00:00
1313,TKT-01313,34A,ECONOMICA,2025-08-22 12:18:30+00:00
1314,TKT-01314,11B,EXECUTIVA,2025-12-24 01:29:20+00:00
1315,TKT-01315,2B,EXECUTIVA,2026-01-19 02:46:26+00:00
1316,TKT-01316,38D,PRIMEIRA_CLASSE,2026-01-30 14:25:10+00:00
1317,TKT-01317,31D,PRIMEIRA_CLASSE,2025-06-08 18:55:41+00:00
1318,TKT-01318,14A,PRIMEIRA_CLASSE,2026-03-04 09:04:26+00:00
1319,TKT-01319,18F,EXECUTIVA,2025-07-31 18:45:50+00:00
1320,TKT-01320,3E,EXECUTIVA,2025-10-26 00:21:04+00:00
1321,TKT-01321,38E,EXECUTIVA,2026-03-05 00:00:55+00:00
1322,TKT-01322,14C,PRIMEIRA_CLASSE,2026-03-13 21:35:49+00:00
1323,TKT-01323,33C,PRIMEIRA_CLASSE,2025-09-19 20:28:32+00:00
1324,TKT-01324,5A,ECONOMICA,2026-05-29 09:18:47+00:00
1325,TKT-01325,1B,EXECUTIVA,2026-04-08 20:50:10+00:00
1326,TKT-01326,8F,EXECUTIVA,2026-05-30 19:58:51+00:00
1327,TKT-01327,18F,PRIMEIRA_CLASSE,2025-06-26 18:17:18+00:00
1328,TKT-01328,2B,ECONOMICA,2025-09-20 06:50:20+00:00
1329,TKT-01329,26A,EXECUTIVA,2026-06-02 17:16:59+00:00
1330,TKT-01330,7C,EXECUTIVA,2025-08-21 14:28:12+00:00
1331,TKT-01331,32D,ECONOMICA,2026-04-26 10:18:12+00:00
1332,TKT-01332,13C,ECONOMICA,2025-12-09 19:59:08+00:00
1333,TKT-01333,38C,ECONOMICA,2026-01-04 09:08:32+00:00
1334,TKT-01334,4C,ECONOMICA,2026-02-28 10:57:40+00:00
1335,TKT-01335,8C,EXECUTIVA,2026-01-11 15:37:42+00:00
1336,TKT-01336,12D,PRIMEIRA_CLASSE,2026-03-31 16:50:05+00:00
1337,TKT-01337,32B,ECONOMICA,2025-10-02 06:56:24+00:00
1338,TKT-01338,5D,PRIMEIRA_CLASSE,2025-08-14 01:48:17+00:00
1339,TKT-01339,26B,ECONOMICA,2025-06-05 11:56:51+00:00
1340,TKT-01340,21A,ECONOMICA,2025-11-20 17:28:15+00:00
1341,TKT-01341,1F,EXECUTIVA,2025-11-05 04:40:35+00:00
1342,TKT-01342,6B,PRIMEIRA_CLASSE,2025-06-19 22:16:28+00:00
1343,TKT-01343,34A,EXECUTIVA,2025-09-14 10:29:31+00:00
1344,TKT-01344,14D,EXECUTIVA,2026-01-30 05:38:42+00:00
1345,TKT-01345,2B,PRIMEIRA_CLASSE,2025-11-27 19:30:18+00:00
1346,TKT-01346,38D,ECONOMICA,2025-12-22 19:20:02+00:00
1347,TKT-01347,9D,EXECUTIVA,2026-02-18 21:51:45+00:00
1348,TKT-01348,24D,PRIMEIRA_CLASSE,2025-08-20 05:19:20+00:00
1349,TKT-01349,7B,PRIMEIRA_CLASSE,2025-11-07 00:18:53+00:00
1350,TKT-01350,10F,ECONOMICA,2025-07-29 11:28:27+00:00
1351,TKT-01351,34F,EXECUTIVA,2026-06-02 08:42:34+00:00
1352,TKT-01352,25F,PRIMEIRA_CLASSE,2025-11-01 06:13:55+00:00
1353,TKT-01353,38E,EXECUTIVA,2025-12-06 11:13:42+00:00
1354,TKT-01354,35A,ECONOMICA,2025-09-15 18:00:11+00:00
1355,TKT-01355,26B,EXECUTIVA,2026-02-06 09:35:39+00:00
1356,TKT-01356,34F,PRIMEIRA_CLASSE,2025-10-21 23:27:19+00:00
1357,TKT-01357,2A,ECONOMICA,2026-05-13 18:03:42+00:00
1358,TKT-01358,10D,PRIMEIRA_CLASSE,2026-03-16 05:40:49+00:00
1359,TKT-01359,8C,PRIMEIRA_CLASSE,2025-10-23 00:44:49+00:00
1360,TKT-01360,33D,EXECUTIVA,2026-03-29 22:54:18+00:00
1361,TKT-01361,13F,PRIMEIRA_CLASSE,2026-02-24 22:41:43+00:00
1362,TKT-01362,32F,PRIMEIRA_CLASSE,2025-08-18 09:29:25+00:00
1363,TKT-01363,12A,EXECUTIVA,2025-11-01 04:32:36+00:00
1364,TKT-01364,31E,PRIMEIRA_CLASSE,2025-09-08 00:47:36+00:00
1365,TKT-01365,21D,ECONOMICA,2026-02-27 11:14:36+00:00
1366,TKT-01366,29F,EXECUTIVA,2025-07-18 21:01:05+00:00
1367,TKT-01367,14A,PRIMEIRA_CLASSE,2025-12-16 08:41:24+00:00
1368,TKT-01368,20D,ECONOMICA,2025-07-28 05:58:20+00:00
1369,TKT-01369,27D,ECONOMICA,2026-02-19 22:36:20+00:00
1370,TKT-01370,7B,EXECUTIVA,2025-09-13 12:49:31+00:00
1371,TKT-01371,39E,PRIMEIRA_CLASSE,2026-05-19 22:25:02+00:00
1372,TKT-01372,9C,EXECUTIVA,2026-06-03 01:28:54+00:00
1373,TKT-01373,28F,PRIMEIRA_CLASSE,2025-07-25 12:56:32+00:00
1374,TKT-01374,34A,EXECUTIVA,2026-05-06 01:55:05+00:00
1375,TKT-01375,2B,PRIMEIRA_CLASSE,2025-10-14 21:13:20+00:00
1376,TKT-01376,17A,ECONOMICA,2026-03-25 05:19:12+00:00
1377,TKT-01377,7F,EXECUTIVA,2026-05-21 14:34:16+00:00
1378,TKT-01378,31A,EXECUTIVA,2026-03-21 22:30:39+00:00
1379,TKT-01379,40B,EXECUTIVA,2025-12-26 10:19:00+00:00
1380,TKT-01380,9E,EXECUTIVA,2026-02-13 14:26:02+00:00
1381,TKT-01381,29E,EXECUTIVA,2025-06-22 08:21:43+00:00
1382,TKT-01382,15E,ECONOMICA,2026-03-16 05:19:09+00:00
1383,TKT-01383,3E,EXECUTIVA,2025-10-22 17:30:57+00:00
1384,TKT-01384,38A,PRIMEIRA_CLASSE,2025-10-09 12:04:09+00:00
1385,TKT-01385,31E,ECONOMICA,2025-07-29 23:23:40+00:00
1386,TKT-01386,37C,PRIMEIRA_CLASSE,2025-11-16 09:48:08+00:00
1387,TKT-01387,36C,ECONOMICA,2026-03-13 13:41:09+00:00
1388,TKT-01388,13F,PRIMEIRA_CLASSE,2025-07-02 02:49:41+00:00
1389,TKT-01389,29F,PRIMEIRA_CLASSE,2025-07-07 16:54:48+00:00
1390,TKT-01390,23B,EXECUTIVA,2025-09-09 00:24:08+00:00
1391,TKT-01391,31E,EXECUTIVA,2025-08-20 23:06:23+00:00
1392,TKT-01392,4D,EXECUTIVA,2026-03-21 14:17:27+00:00
1393,TKT-01393,10B,PRIMEIRA_CLASSE,2026-03-24 03:08:39+00:00
1394,TKT-01394,26C,ECONOMICA,2025-08-27 18:41:55+00:00
1395,TKT-01395,19F,PRIMEIRA_CLASSE,2026-01-22 23:20:30+00:00
1396,TKT-01396,34C,ECONOMICA,2025-12-02 20:44:31+00:00
1397,TKT-01397,40B,EXECUTIVA,2025-08-07 12:42:49+00:00
1398,TKT-01398,6F,PRIMEIRA_CLASSE,2026-04-11 16:54:56+00:00
1399,TKT-01399,38F,ECONOMICA,2026-05-18 13:29:44+00:00
1400,TKT-01400,1B,ECONOMICA,2025-10-04 20:13:40+00:00
1401,TKT-01401,5C,ECONOMICA,2025-10-26 06:58:38+00:00
1402,TKT-01402,12F,EXECUTIVA,2025-08-07 00:27:33+00:00
1403,TKT-01403,17C,ECONOMICA,2026-02-14 05:22:11+00:00
1404,TKT-01404,36D,PRIMEIRA_CLASSE,2026-01-26 10:47:05+00:00
1405,TKT-01405,27E,EXECUTIVA,2025-06-16 18:27:24+00:00
1406,TKT-01406,33F,PRIMEIRA_CLASSE,2025-11-07 01:05:48+00:00
1407,TKT-01407,25D,PRIMEIRA_CLASSE,2025-06-12 05:16:05+00:00
1408,TKT-01408,18D,ECONOMICA,2026-05-17 10:11:11+00:00
1409,TKT-01409,35A,EXECUTIVA,2025-11-01 12:01:18+00:00
1410,TKT-01410,20C,PRIMEIRA_CLASSE,2026-01-30 21:45:55+00:00
1411,TKT-01411,17A,PRIMEIRA_CLASSE,2026-05-09 17:30:03+00:00
1412,TKT-01412,24D,ECONOMICA,2025-12-05 07:57:43+00:00
1413,TKT-01413,14F,PRIMEIRA_CLASSE,2026-02-19 13:09:12+00:00
1414,TKT-01414,13E,ECONOMICA,2026-02-09 22:43:48+00:00
1415,TKT-01415,18E,PRIMEIRA_CLASSE,2026-02-26 21:38:53+00:00
1416,TKT-01416,36C,PRIMEIRA_CLASSE,2025-07-25 23:03:42+00:00
1417,TKT-01417,2D,EXECUTIVA,2025-10-08 02:22:59+00:00
1418,TKT-01418,34A,EXECUTIVA,2025-12-27 15:06:53+00:00
1419,TKT-01419,7B,PRIMEIRA_CLASSE,2025-07-30 20:04:47+00:00
1420,TKT-01420,12A,PRIMEIRA_CLASSE,2026-04-27 08:47:48+00:00
1421,TKT-01421,17E,ECONOMICA,2026-06-03 06:10:10+00:00
1422,TKT-01422,4F,ECONOMICA,2025-11-30 12:27:23+00:00
1423,TKT-01423,30E,PRIMEIRA_CLASSE,2025-08-30 17:46:37+00:00
1424,TKT-01424,38A,ECONOMICA,2026-04-14 10:55:18+00:00
1425,TKT-01425,20C,ECONOMICA,2025-09-10 04:19:42+00:00
1426,TKT-01426,22E,EXECUTIVA,2026-04-24 05:28:20+00:00
1427,TKT-01427,34B,ECONOMICA,2025-06-15 03:09:36+00:00
1428,TKT-01428,6D,PRIMEIRA_CLASSE,2025-06-21 09:32:12+00:00
1429,TKT-01429,36B,EXECUTIVA,2026-05-28 07:07:39+00:00
1430,TKT-01430,4B,ECONOMICA,2026-04-05 19:26:22+00:00
1431,TKT-01431,22E,ECONOMICA,2026-01-28 23:27:36+00:00
1432,TKT-01432,34C,EXECUTIVA,2025-10-24 01:23:56+00:00
1433,TKT-01433,5D,ECONOMICA,2025-10-17 11:57:08+00:00
1434,TKT-01434,23F,PRIMEIRA_CLASSE,2025-06-30 15:55:43+00:00
1435,TKT-01435,34A,ECONOMICA,2026-05-04 08:04:45+00:00
1436,TKT-01436,8B,PRIMEIRA_CLASSE,2025-10-24 22:11:28+00:00
1437,TKT-01437,35A,ECONOMICA,2025-06-25 16:08:10+00:00
1438,TKT-01438,2A,EXECUTIVA,2026-01-20 16:33:17+00:00
1439,TKT-01439,31F,ECONOMICA,2025-07-12 06:31:08+00:00
1440,TKT-01440,2C,ECONOMICA,2025-08-27 03:03:36+00:00
1441,TKT-01441,37C,ECONOMICA,2026-04-29 10:42:52+00:00
1442,TKT-01442,32A,EXECUTIVA,2026-03-25 13:15:03+00:00
1443,TKT-01443,33C,EXECUTIVA,2025-07-14 13:54:16+00:00
1444,TKT-01444,28C,EXECUTIVA,2026-04-07 13:45:10+00:00
1445,TKT-01445,29B,PRIMEIRA_CLASSE,2025-12-30 23:58:07+00:00
1446,TKT-01446,1D,EXECUTIVA,2025-07-23 01:34:24+00:00
1447,TKT-01447,18C,ECONOMICA,2025-06-08 07:27:52+00:00
1448,TKT-01448,6D,EXECUTIVA,2025-12-23 19:39:58+00:00
1449,TKT-01449,12B,EXECUTIVA,2025-07-03 07:52:06+00:00
1450,TKT-01450,4A,ECONOMICA,2026-03-24 03:25:43+00:00
1451,TKT-01451,38E,ECONOMICA,2025-08-16 22:38:46+00:00
1452,TKT-01452,32E,ECONOMICA,2026-05-25 15:29:47+00:00
1453,TKT-01453,29C,ECONOMICA,2025-12-27 10:52:09+00:00
1454,TKT-01454,9B,PRIMEIRA_CLASSE,2026-02-05 06:37:02+00:00
1455,TKT-01455,39F,PRIMEIRA_CLASSE,2025-06-12 12:49:22+00:00
1456,TKT-01456,10D,EXECUTIVA,2025-10-09 12:10:25+00:00
1457,TKT-01457,31E,EXECUTIVA,2026-05-01 00:52:28+00:00
1458,TKT-01458,14A,PRIMEIRA_CLASSE,2025-09-19 03:49:49+00:00
1459,TKT-01459,13B,PRIMEIRA_CLASSE,2025-10-31 04:58:28+00:00
1460,TKT-01460,1D,EXECUTIVA,2026-05-14 05:11:29+00:00
1461,TKT-01461,36F,ECONOMICA,2025-10-12 15:43:52+00:00
1462,TKT-01462,3E,EXECUTIVA,2025-09-19 03:00:00+00:00
1463,TKT-01463,11C,PRIMEIRA_CLASSE,2025-07-29 11:01:28+00:00
1464,TKT-01464,31C,ECONOMICA,2025-08-12 05:13:34+00:00
1465,TKT-01465,30C,PRIMEIRA_CLASSE,2025-11-17 04:17:44+00:00
1466,TKT-01466,3C,EXECUTIVA,2026-01-19 23:00:23+00:00
1467,TKT-01467,29F,ECONOMICA,2025-10-17 13:10:26+00:00
1468,TKT-01468,8E,ECONOMICA,2025-11-30 15:51:38+00:00
1469,TKT-01469,8B,PRIMEIRA_CLASSE,2025-10-06 23:48:56+00:00
1470,TKT-01470,16F,PRIMEIRA_CLASSE,2025-11-20 06:14:33+00:00
1471,TKT-01471,9E,EXECUTIVA,2026-02-22 20:42:17+00:00
1472,TKT-01472,14A,PRIMEIRA_CLASSE,2026-03-20 01:15:13+00:00
1473,TKT-01473,27E,PRIMEIRA_CLASSE,2025-10-08 13:50:41+00:00
1474,TKT-01474,38D,ECONOMICA,2025-12-06 16:45:25+00:00
1475,TKT-01475,34C,ECONOMICA,2026-05-01 15:50:18+00:00
1476,TKT-01476,23B,ECONOMICA,2025-10-08 22:04:28+00:00
