nome,descricao,peso_max_kg,dimensoes_max_cm,taxa_extra
PORAO_EXTRA_16,Variante 16 do tipo porao extra.,43.3,90x70x50,145.04
ESPECIAL_ESPORTIVA_16,Variante 16 do tipo especial esportiva.,33.53,Variável,78.38
ESPECIAL_MUSICAL_16,Variante 16 do tipo especial musical.,28.59,Variável,123.43
ESPECIAL_ANIMAL_16,Variante 16 do tipo especial animal.,17.49,50x40x30,154.47
ESPECIAL_FRAGIL_16,Variante 16 do tipo especial fragil.,28.32,60x50x40,59.2
OVERSIZED_16,Variante 16 do tipo oversized.,49.12,100x80x60,222.72
CARGA_LEVE_16,Variante 16 do tipo carga leve.,51.5,80x60x50,155.26
CARGA_PESADA_16,Variante 16 do tipo carga pesada.,87.57,120x80x60,309.28
INFANTIL_16,Variante 16 do tipo infantil.,19.18,45x35x20,37.47
DIPLOMATICA_16,Variante 16 do tipo diplomatica.,37.09,70x50x35,34.16
TRIPULACAO_16,Variante 16 do tipo tripulacao.,24.63,55x40x25,8.15
MEDICA_16,Variante 16 do tipo medica.,24.51,50x40x30,19.56
DUTY_FREE_16,Variante 16 do tipo duty free.,8.18,40x30x20,28.04
PRIORITARIA_16,Variante 16 do tipo prioritaria.,39.95,70x50x30,36.9
MAO_PEQUENA_17,Variante 17 do tipo mao pequena.,8.51,40x30x20,4.07
MAO_STANDARD_17,Variante 17 do tipo mao standard.,10.04,55x35x25,25.37
MAO_GRANDE_17,Variante 17 do tipo mao grande.,16.7,55x40x25,36.26
PORAO_PEQUENA_17,Variante 17 do tipo porao pequena.,20.3,60x40x30,57.05
PORAO_STANDARD_17,Variante 17 do tipo porao standard.,21.69,70x50x30,10.42
PORAO_GRANDE_17,Variante 17 do tipo porao grande.,38.6,80x60x40,79.93
PORAO_EXTRA_17,Variante 17 do tipo porao extra.,49.52,90x70x50,106.5
ESPECIAL_ESPORTIVA_17,Variante 17 do tipo especial esportiva.,38.6,Variável,90.01
ESPECIAL_MUSICAL_17,Variante 17 do tipo especial musical.,29.04,Variável,112.06
ESPECIAL_ANIMAL_17,Variante 17 do tipo especial animal.,21.82,50x40x30,141.82
ESPECIAL_FRAGIL_17,Variante 17 do tipo especial fragil.,27.95,60x50x40,82.49
OVERSIZED_17,Variante 17 do tipo oversized.,59.67,100x80x60,209.24
CARGA_LEVE_17,Variante 17 do tipo carga leve.,48.25,80x60x50,187.62
CARGA_PESADA_17,Variante 17 do tipo carga pesada.,79.62,120x80x60,337.31
INFANTIL_17,Variante 17 do tipo infantil.,8.22,45x35x20,20.47
DIPLOMATICA_17,Variante 17 do tipo diplomatica.,34.77,70x50x35,0.0
TRIPULACAO_17,Variante 17 do tipo tripulacao.,20.01,55x40x25,0.1
MEDICA_17,Variante 17 do tipo medica.,21.66,50x40x30,3.0
DUTY_FREE_17,Variante 17 do tipo duty free.,12.36,40x30x20,42.49
PRIORITARIA_17,Variante 17 do tipo prioritaria.,38.85,70x50x30,29.81
MAO_PEQUENA_18,Variante 18 do tipo mao pequena.,13.03,40x30x20,0.13
MAO_STANDARD_18,Variante 18 do tipo mao standard.,9.91,55x35x25,1.01
MAO_GRANDE_18,Variante 18 do tipo mao grande.,14.2,55x40x25,60.3
PORAO_PEQUENA_18,Variante 18 do tipo porao pequena.,22.4,60x40x30,41.16
PORAO_STANDARD_18,Variante 18 do tipo porao standard.,30.55,70x50x30,46.03
PORAO_GRANDE_18,Variante 18 do tipo porao grande.,34.87,80x60x40,85.42
PORAO_EXTRA_18,Variante 18 do tipo porao extra.,49.87,90x70x50,116.83
ESPECIAL_ESPORTIVA_18,Variante 18 do tipo especial esportiva.,34.63,Variável,81.32
ESPECIAL_MUSICAL_18,Variante 18 do tipo especial musical.,32.13,Variável,117.85
ESPECIAL_ANIMAL_18,Variante 18 do tipo especial animal.,20.75,50x40x30,115.44
ESPECIAL_FRAGIL_18,Variante 18 do tipo especial fragil.,29.35,60x50x40,97.58
OVERSIZED_18,Variante 18 do tipo oversized.,50.95,100x80x60,206.41
CARGA_LEVE_18,Variante 18 do tipo carga leve.,46.45,80x60x50,174.4
CARGA_PESADA_18,Variante 18 do tipo carga pesada.,85.13,120x80x60,337.28
INFANTIL_18,Variante 18 do tipo infantil.,15.27,45x35x20,29.31
DIPLOMATICA_18,Variante 18 do tipo diplomatica.,34.73,70x50x35,39.89
TRIPULACAO_18,Variante 18 do tipo tripulacao.,18.32,55x40x25,0.0
MEDICA_18,Variante 18 do tipo medica.,22.78,50x40x30,5.74
DUTY_FREE_18,Variante 18 do tipo duty free.,12.97,40x30x20,10.56
PRIORITARIA_18,Variante 18 do tipo prioritaria.,40.07,70x50x30,82.77
MAO_PEQUENA_19,Variante 19 do tipo mao pequena.,10.34,40x30x20,1.65
MAO_STANDARD_19,Variante 19 do tipo mao standard.,8.8,55x35x25,40.16
MAO_GRANDE_19,Variante 19 do tipo mao grande.,17.76,55x40x25,16.13
PORAO_PEQUENA_19,Variante 19 do tipo porao pequena.,18.78,60x40x30,24.49
PORAO_STANDARD_19,Variante 19 do tipo porao standard.,29.85,70x50x30,0.0
PORAO_GRANDE_19,Variante 19 do tipo porao grande.,32.64,80x60x40,62.24
PORAO_EXTRA_19,Variante 19 do tipo porao extra.,40.41,90x70x50,127.15
ESPECIAL_ESPORTIVA_19,Variante 19 do tipo especial esportiva.,29.61,Variável,87.87
ESPECIAL_MUSICAL_19,Variante 19 do tipo especial musical.,28.56,Variável,70.21
ESPECIAL_ANIMAL_19,Variante 19 do tipo especial animal.,20.1,50x40x30,132.94
ESPECIAL_FRAGIL_19,Variante 19 do tipo especial fragil.,18.07,60x50x40,52.81
OVERSIZED_19,Variante 19 do tipo oversized.,59.58,100x80x60,245.91
CARGA_LEVE_19,Variante 19 do tipo carga leve.,44.72,80x60x50,169.15
CARGA_PESADA_19,Variante 19 do tipo carga pesada.,78.45,120x80x60,314.0
INFANTIL_19,Variante 19 do tipo infantil.,12.8,45x35x20,45.41
DIPLOMATICA_19,Variante 19 do tipo diplomatica.,38.98,70x50x35,39.86
TRIPULACAO_19,Variante 19 do tipo tripulacao.,13.66,55x40x25,48.54
MEDICA_19,Variante 19 do tipo medica.,28.44,50x40x30,13.46
DUTY_FREE_19,Variante 19 do tipo duty free.,5.62,40x30x20,21.54
PRIORITARIA_19,Variante 19 do tipo prioritaria.,41.27,70x50x30,25.62
MAO_PEQUENA_20,Variante 20 do tipo mao pequena.,12.87,40x30x20,3.7
MAO_STANDARD_20,Variante 20 do tipo mao standard.,10.08,55x35x25,6.28
MAO_GRANDE_20,Variante 20 do tipo mao grande.,11.08,55x40x25,64.57
PORAO_PEQUENA_20,Variante 20 do tipo porao pequena.,23.91,60x40x30,71.44
PORAO_STANDARD_20,Variante 20 do tipo porao standard.,29.08,70x50x30,2.34
PORAO_GRANDE_20,Variante 20 do tipo porao grande.,40.41,80x60x40,51.89
PORAO_EXTRA_20,Variante 20 do tipo porao extra.,42.92,90x70x50,90.75
ESPECIAL_ESPORTIVA_20,Variante 20 do tipo especial esportiva.,39.24,Variável,107.03
ESPECIAL_MUSICAL_20,Variante 20 do tipo especial musical.,26.4,Variável,70.59
ESPECIAL_ANIMAL_20,Variante 20 do tipo especial animal.,18.22,50x40x30,118.23
ESPECIAL_FRAGIL_20,Variante 20 do tipo especial fragil.,20.4,60x50x40,55.95
OVERSIZED_20,Variante 20 do tipo oversized.,52.19,100x80x60,244.0
CARGA_LEVE_20,Variante 20 do tipo carga leve.,46.45,80x60x50,194.92
CARGA_PESADA_20,Variante 20 do tipo carga pesada.,80.36,120x80x60,300.72
INFANTIL_20,Variante 20 do tipo infantil.,13.64,45x35x20,43.69
DIPLOMATICA_20,Variante 20 do tipo diplomatica.,36.28,70x50x35,18.6
TRIPULACAO_20,Variante 20 do tipo tripulacao.,18.04,55x40x25,45.12
MEDICA_20,Variante 20 do tipo medica.,18.38,50x40x30,41.52
DUTY_FREE_20,Variante 20 do tipo duty free.,5.5,40x30x20,5.06
PRIORITARIA_20,Variante 20 do tipo prioritaria.,33.51,70x50x30,62.42
MAO_PEQUENA_21,Variante 21 do tipo mao pequena.,6.54,40x30x20,6.65
MAO_STANDARD_21,Variante 21 do tipo mao standard.,13.14,55x35x25,0.0
MAO_GRANDE_21,Variante 21 do tipo mao grande.,13.93,55x40x25,35.41
PORAO_PEQUENA_21,Variante 21 do tipo porao pequena.,22.14,60x40x30,46.48
PORAO_STANDARD_21,Variante 21 do tipo porao standard.,32.98,70x50x30,40.15
PORAO_GRANDE_21,Variante 21 do tipo porao grande.,35.93,80x60x40,76.93
PORAO_EXTRA_21,Variante 21 do tipo porao extra.,40.27,90x70x50,107.99
ESPECIAL_ESPORTIVA_21,Variante 21 do tipo especial esportiva.,30.19,Variável,122.93
ESPECIAL_MUSICAL_21,Variante 21 do tipo especial musical.,26.44,Variável,78.15
ESPECIAL_ANIMAL_21,Variante 21 do tipo especial animal.,16.69,50x40x30,156.29
ESPECIAL_FRAGIL_21,Variante 21 do tipo especial fragil.,18.93,60x50x40,79.77
OVERSIZED_21,Variante 21 do tipo oversized.,50.63,100x80x60,210.72
CARGA_LEVE_21,Variante 21 do tipo carga leve.,52.37,80x60x50,187.77
CARGA_PESADA_21,Variante 21 do tipo carga pesada.,84.01,120x80x60,313.32
INFANTIL_21,Variante 21 do tipo infantil.,11.07,45x35x20,24.22
DIPLOMATICA_21,Variante 21 do tipo diplomatica.,41.97,70x50x35,0.0
TRIPULACAO_21,Variante 21 do tipo tripulacao.,23.49,55x40x25,36.36
MEDICA_21,Variante 21 do tipo medica.,22.44,50x40x30,3.52
DUTY_FREE_21,Variante 21 do tipo duty free.,13.1,40x30x20,0.0
PRIORITARIA_21,Variante 21 do tipo prioritaria.,36.71,70x50x30,27.49
MAO_PEQUENA_22,Variante 22 do tipo mao pequena.,14.26,40x30x20,0.38
MAO_STANDARD_22,Variante 22 do tipo mao standard.,14.19,55x35x25,34.04
MAO_GRANDE_22,Variante 22 do tipo mao grande.,13.19,55x40x25,54.17
PORAO_PEQUENA_22,Variante 22 do tipo porao pequena.,27.75,60x40x30,20.19
PORAO_STANDARD_22,Variante 22 do tipo porao standard.,25.07,70x50x30,20.05
PORAO_GRANDE_22,Variante 22 do tipo porao grande.,34.05,80x60x40,93.14
PORAO_EXTRA_22,Variante 22 do tipo porao extra.,43.78,90x70x50,146.62
ESPECIAL_ESPORTIVA_22,Variante 22 do tipo especial esportiva.,30.09,Variável,93.45
ESPECIAL_MUSICAL_22,Variante 22 do tipo especial musical.,26.34,Variável,84.28
ESPECIAL_ANIMAL_22,Variante 22 do tipo especial animal.,20.08,50x40x30,110.96
ESPECIAL_FRAGIL_22,Variante 22 do tipo especial fragil.,27.58,60x50x40,84.89
OVERSIZED_22,Variante 22 do tipo oversized.,50.64,100x80x60,222.02
CARGA_LEVE_22,Variante 22 do tipo carga leve.,46.14,80x60x50,165.64
CARGA_PESADA_22,Variante 22 do tipo carga pesada.,81.66,120x80x60,340.79
INFANTIL_22,Variante 22 do tipo infantil.,15.62,45x35x20,34.22
DIPLOMATICA_22,Variante 22 do tipo diplomatica.,33.52,70x50x35,17.34
TRIPULACAO_22,Variante 22 do tipo tripulacao.,24.47,55x40x25,21.35
MEDICA_22,Variante 22 do tipo medica.,21.31,50x40x30,17.42
DUTY_FREE_22,Variante 22 do tipo duty free.,7.75,40x30x20,12.51
PRIORITARIA_22,Variante 22 do tipo prioritaria.,36.51,70x50x30,52.08
MAO_PEQUENA_23,Variante 23 do tipo mao pequena.,13.82,40x30x20,41.37
MAO_STANDARD_23,Variante 23 do tipo mao standard.,18.54,55x35x25,5.38
MAO_GRANDE_23,Variante 23 do tipo mao grande.,14.97,55x40x25,43.04
PORAO_PEQUENA_23,Variante 23 do tipo porao pequena.,24.15,60x40x30,43.26
PORAO_STANDARD_23,Variante 23 do tipo porao standard.,23.81,70x50x30,23.21
PORAO_GRANDE_23,Variante 23 do tipo porao grande.,39.71,80x60x40,97.88
PORAO_EXTRA_23,Variante 23 do tipo porao extra.,38.81,90x70x50,129.55
ESPECIAL_ESPORTIVA_23,Variante 23 do tipo especial esportiva.,38.59,Variável,75.23
ESPECIAL_MUSICAL_23,Variante 23 do tipo especial musical.,27.47,Variável,96.05
ESPECIAL_ANIMAL_23,Variante 23 do tipo especial animal.,20.31,50x40x30,112.01
ESPECIAL_FRAGIL_23,Variante 23 do tipo especial fragil.,18.72,60x50x40,77.17
OVERSIZED_23,Variante 23 do tipo oversized.,59.09,100x80x60,200.02
CARGA_LEVE_23,Variante 23 do tipo carga leve.,53.12,80x60x50,140.67
CARGA_PESADA_23,Variante 23 do tipo carga pesada.,84.2,120x80x60,310.07
INFANTIL_23,Variante 23 do tipo infantil.,16.37,45x35x20,28.99
DIPLOMATICA_23,Variante 23 do tipo diplomatica.,40.05,70x50x35,13.1
TRIPULACAO_23,Variante 23 do tipo tripulacao.,16.48,55x40x25,4.17
MEDICA_23,Variante 23 do tipo medica.,22.94,50x40x30,42.94
DUTY_FREE_23,Variante 23 do tipo duty free.,3.4,40x30x20,43.97
PRIORITARIA_23,Variante 23 do tipo prioritaria.,32.73,70x50x30,39.88
MAO_PEQUENA_24,Variante 24 do tipo mao pequena.,9.2,40x30x20,15.49
MAO_STANDARD_24,Variante 24 do tipo mao standard.,14.11,55x35x25,2.68
MAO_GRANDE_24,Variante 24 do tipo mao grande.,14.76,55x40x25,53.68
PORAO_PEQUENA_24,Variante 24 do tipo porao pequena.,23.99,60x40x30,21.34
PORAO_STANDARD_24,Variante 24 do tipo porao standard.,25.85,70x50x30,32.05
PORAO_GRANDE_24,Variante 24 do tipo porao grande.,40.65,80x60x40,47.21
PORAO_EXTRA_24,Variante 24 do tipo porao extra.,49.2,90x70x50,100.98
ESPECIAL_ESPORTIVA_24,Variante 24 do tipo especial esportiva.,30.2,Variável,94.62
ESPECIAL_MUSICAL_24,Variante 24 do tipo especial musical.,33.29,Variável,119.67
ESPECIAL_ANIMAL_24,Variante 24 do tipo especial animal.,20.71,50x40x30,156.57
ESPECIAL_FRAGIL_24,Variante 24 do tipo especial fragil.,25.37,60x50x40,96.27
OVERSIZED_24,Variante 24 do tipo oversized.,53.43,100x80x60,228.82
CARGA_LEVE_24,Variante 24 do tipo carga leve.,48.17,80x60x50,153.08
CARGA_PESADA_24,Variante 24 do tipo carga pesada.,87.12,120x80x60,330.58
INFANTIL_24,Variante 24 do tipo infantil.,17.7,45x35x20,0.0
DIPLOMATICA_24,Variante 24 do tipo diplomatica.,35.65,70x50x35,2.31
TRIPULACAO_24,Variante 24 do tipo tripulacao.,17.98,55x40x25,8.28
MEDICA_24,Variante 24 do tipo medica.,27.76,50x40x30,31.78
DUTY_FREE_24,Variante 24 do tipo duty free.,11.32,40x30x20,42.11
PRIORITARIA_24,Variante 24 do tipo prioritaria.,36.04,70x50x30,53.89
MAO_PEQUENA_25,Variante 25 do tipo mao pequena.,10.8,40x30x20,34.51
MAO_STANDARD_25,Variante 25 do tipo mao standard.,11.78,55x35x25,49.66
MAO_GRANDE_25,Variante 25 do tipo mao grande.,13.87,55x40x25,16.31
PORAO_PEQUENA_25,Variante 25 do tipo porao pequena.,24.05,60x40x30,38.16
PORAO_STANDARD_25,Variante 25 do tipo porao standard.,22.66,70x50x30,39.71
PORAO_GRANDE_25,Variante 25 do tipo porao grande.,38.33,80x60x40,43.52
PORAO_EXTRA_25,Variante 25 do tipo porao extra.,45.77,90x70x50,123.66
ESPECIAL_ESPORTIVA_25,Variante 25 do tipo especial esportiva.,37.18,Variável,115.89
ESPECIAL_MUSICAL_25,Variante 25 do tipo especial musical.,29.54,Variável,89.09
ESPECIAL_ANIMAL_25,Variante 25 do tipo especial animal.,21.68,50x40x30,111.78
ESPECIAL_FRAGIL_25,Variante 25 do tipo especial fragil.,22.69,60x50x40,61.21
OVERSIZED_25,Variante 25 do tipo oversized.,48.73,100x80x60,194.18
CARGA_LEVE_25,Variante 25 do tipo carga leve.,52.16,80x60x50,174.67
CARGA_PESADA_25,Variante 25 do tipo carga pesada.,89.55,120x80x60,343.78
INFANTIL_25,Variante 25 do tipo infantil.,8.18,45x35x20,1.5
DIPLOMATICA_25,Variante 25 do tipo diplomatica.,39.72,70x50x35,24.88
TRIPULACAO_25,Variante 25 do tipo tripulacao.,22.2,55x40x25,20.54
MEDICA_25,Variante 25 do tipo medica.,25.39,50x40x30,30.37
DUTY_FREE_25,Variante 25 do tipo duty free.,9.8,40x30x20,22.19
PRIORITARIA_25,Variante 25 do tipo prioritaria.,31.92,70x50x30,32.2
MAO_PEQUENA_26,Variante 26 do tipo mao pequena.,7.85,40x30x20,32.15
MAO_STANDARD_26,Variante 26 do tipo mao standard.,19.59,55x35x25,36.17
MAO_GRANDE_26,Variante 26 do tipo mao grande.,19.27,55x40x25,29.0
PORAO_PEQUENA_26,Variante 26 do tipo porao pequena.,17.09,60x40x30,64.25
PORAO_STANDARD_26,Variante 26 do tipo porao standard.,32.06,70x50x30,22.03
PORAO_GRANDE_26,Variante 26 do tipo porao grande.,39.87,80x60x40,58.48
PORAO_EXTRA_26,Variante 26 do tipo porao extra.,41.15,90x70x50,114.31
ESPECIAL_ESPORTIVA_26,Variante 26 do tipo especial esportiva.,31.5,Variável,71.81
ESPECIAL_MUSICAL_26,Variante 26 do tipo especial musical.,31.62,Variável,100.48
ESPECIAL_ANIMAL_26,Variante 26 do tipo especial animal.,21.24,50x40x30,149.89
ESPECIAL_FRAGIL_26,Variante 26 do tipo especial fragil.,29.67,60x50x40,55.23
OVERSIZED_26,Variante 26 do tipo oversized.,57.25,100x80x60,247.46
CARGA_LEVE_26,Variante 26 do tipo carga leve.,46.63,80x60x50,199.37
CARGA_PESADA_26,Variante 26 do tipo carga pesada.,85.22,120x80x60,291.16
INFANTIL_26,Variante 26 do tipo infantil.,11.39,45x35x20,36.51
DIPLOMATICA_26,Variante 26 do tipo diplomatica.,37.33,70x50x35,15.11
TRIPULACAO_26,Variante 26 do tipo tripulacao.,13.32,55x40x25,12.82
MEDICA_26,Variante 26 do tipo medica.,20.16,50x40x30,27.02
DUTY_FREE_26,Variante 26 do tipo duty free.,12.83,40x30x20,16.35
PRIORITARIA_26,Variante 26 do tipo prioritaria.,30.02,70x50x30,40.51
MAO_PEQUENA_27,Variante 27 do tipo mao pequena.,13.29,40x30x20,0.0
MAO_STANDARD_27,Variante 27 do tipo mao standard.,19.99,55x35x25,3.92
MAO_GRANDE_27,Variante 27 do tipo mao grande.,20.95,55x40x25,59.55
PORAO_PEQUENA_27,Variante 27 do tipo porao pequena.,19.34,60x40x30,67.18
PORAO_STANDARD_27,Variante 27 do tipo porao standard.,30.74,70x50x30,31.84
PORAO_GRANDE_27,Variante 27 do tipo porao grande.,39.39,80x60x40,81.62
PORAO_EXTRA_27,Variante 27 do tipo porao extra.,47.86,90x70x50,94.52
ESPECIAL_ESPORTIVA_27,Variante 27 do tipo especial esportiva.,36.7,Variável,76.7
ESPECIAL_MUSICAL_27,Variante 27 do tipo especial musical.,28.66,Variável,116.6
ESPECIAL_ANIMAL_27,Variante 27 do tipo especial animal.,13.07,50x40x30,148.04
ESPECIAL_FRAGIL_27,Variante 27 do tipo especial fragil.,29.45,60x50x40,66.26
OVERSIZED_27,Variante 27 do tipo oversized.,50.66,100x80x60,196.83
CARGA_LEVE_27,Variante 27 do tipo carga leve.,53.6,80x60x50,171.66
CARGA_PESADA_27,Variante 27 do tipo carga pesada.,88.36,120x80x60,335.52
INFANTIL_27,Variante 27 do tipo infantil.,19.05,45x35x20,0.0
DIPLOMATICA_27,Variante 27 do tipo diplomatica.,37.81,70x50x35,5.16
TRIPULACAO_27,Variante 27 do tipo tripulacao.,22.27,55x40x25,45.26
MEDICA_27,Variante 27 do tipo medica.,25.9,50x40x30,44.08
DUTY_FREE_27,Variante 27 do tipo duty free.,10.85,40x30x20,0.0
PRIORITARIA_27,Variante 27 do tipo prioritaria.,30.02,70x50x30,81.37
MAO_PEQUENA_28,Variante 28 do tipo mao pequena.,15.3,40x30x20,0.0
MAO_STANDARD_28,Variante 28 do tipo mao standard.,8.65,55x35x25,25.94
MAO_GRANDE_28,Variante 28 do tipo mao grande.,11.87,55x40x25,52.85
PORAO_PEQUENA_28,Variante 28 do tipo porao pequena.,16.51,60x40x30,72.79
PORAO_STANDARD_28,Variante 28 do tipo porao standard.,23.44,70x50x30,20.79
PORAO_GRANDE_28,Variante 28 do tipo porao grande.,36.47,80x60x40,71.05
PORAO_EXTRA_28,Variante 28 do tipo porao extra.,48.78,90x70x50,147.66
ESPECIAL_ESPORTIVA_28,Variante 28 do tipo especial esportiva.,28.79,Variável,79.56
ESPECIAL_MUSICAL_28,Variante 28 do tipo especial musical.,24.8,Variável,74.94
ESPECIAL_ANIMAL_28,Variante 28 do tipo especial animal.,24.35,50x40x30,143.02
ESPECIAL_FRAGIL_28,Variante 28 do tipo especial fragil.,25.82,60x50x40,96.22
OVERSIZED_28,Variante 28 do tipo oversized.,58.0,100x80x60,240.55
CARGA_LEVE_28,Variante 28 do tipo carga leve.,46.91,80x60x50,196.79
CARGA_PESADA_28,Variante 28 do tipo carga pesada.,85.93,120x80x60,291.15
INFANTIL_28,Variante 28 do tipo infantil.,9.77,45x35x20,20.46
DIPLOMATICA_28,Variante 28 do tipo diplomatica.,36.95,70x50x35,10.33
TRIPULACAO_28,Variante 28 do tipo tripulacao.,19.78,55x40x25,28.5
MEDICA_28,Variante 28 do tipo medica.,23.6,50x40x30,6.54
DUTY_FREE_28,Variante 28 do tipo duty free.,3.9,40x30x20,22.39
PRIORITARIA_28,Variante 28 do tipo prioritaria.,35.08,70x50x30,60.54
MAO_PEQUENA_29,Variante 29 do tipo mao pequena.,7.35,40x30x20,25.99
MAO_STANDARD_29,Variante 29 do tipo mao standard.,18.73,55x35x25,41.51
MAO_GRANDE_29,Variante 29 do tipo mao grande.,12.06,55x40x25,43.33
PORAO_PEQUENA_29,Variante 29 do tipo porao pequena.,20.7,60x40x30,20.93
PORAO_STANDARD_29,Variante 29 do tipo porao standard.,21.4,70x50x30,0.0
PORAO_GRANDE_29,Variante 29 do tipo porao grande.,30.2,80x60x40,77.49
PORAO_EXTRA_29,Variante 29 do tipo porao extra.,43.48,90x70x50,128.14
ESPECIAL_ESPORTIVA_29,Variante 29 do tipo especial esportiva.,37.65,Variável,129.66
ESPECIAL_MUSICAL_29,Variante 29 do tipo especial musical.,28.06,Variável,105.35
ESPECIAL_ANIMAL_29,Variante 29 do tipo especial animal.,23.59,50x40x30,126.84
ESPECIAL_FRAGIL_29,Variante 29 do tipo especial fragil.,20.62,60x50x40,98.18
OVERSIZED_29,Variante 29 do tipo oversized.,52.58,100x80x60,229.06
CARGA_LEVE_29,Variante 29 do tipo carga leve.,50.7,80x60x50,160.04
CARGA_PESADA_29,Variante 29 do tipo carga pesada.,84.26,120x80x60,339.28
INFANTIL_29,Variante 29 do tipo infantil.,13.81,45x35x20,0.0
DIPLOMATICA_29,Variante 29 do tipo diplomatica.,32.14,70x50x35,34.15
TRIPULACAO_29,Variante 29 do tipo tripulacao.,16.54,55x40x25,29.72
MEDICA_29,Variante 29 do tipo medica.,25.89,50x40x30,7.9
DUTY_FREE_29,Variante 29 do tipo duty free.,10.89,40x30x20,12.44
PRIORITARIA_29,Variante 29 do tipo prioritaria.,34.89,70x50x30,26.11
MAO_PEQUENA_30,Variante 30 do tipo mao pequena.,7.08,40x30x20,45.56
MAO_STANDARD_30,Variante 30 do tipo mao standard.,19.48,55x35x25,17.51
MAO_GRANDE_30,Variante 30 do tipo mao grande.,12.98,55x40x25,25.96
PORAO_PEQUENA_30,Variante 30 do tipo porao pequena.,26.91,60x40x30,54.19
PORAO_STANDARD_30,Variante 30 do tipo porao standard.,25.86,70x50x30,38.98
PORAO_GRANDE_30,Variante 30 do tipo porao grande.,38.45,80x60x40,55.0
PORAO_EXTRA_30,Variante 30 do tipo porao extra.,42.52,90x70x50,135.66
ESPECIAL_ESPORTIVA_30,Variante 30 do tipo especial esportiva.,28.01,Variável,125.1
ESPECIAL_MUSICAL_30,Variante 30 do tipo especial musical.,26.52,Variável,87.53
ESPECIAL_ANIMAL_30,Variante 30 do tipo especial animal.,14.6,50x40x30,155.89
ESPECIAL_FRAGIL_30,Variante 30 do tipo especial fragil.,26.28,60x50x40,52.52
OVERSIZED_30,Variante 30 do tipo oversized.,52.26,100x80x60,231.9
CARGA_LEVE_30,Variante 30 do tipo carga leve.,48.1,80x60x50,170.07
CARGA_PESADA_30,Variante 30 do tipo carga pesada.,78.95,120x80x60,321.97
INFANTIL_30,Variante 30 do tipo infantil.,13.28,45x35x20,12.03
DIPLOMATICA_30,Variante 30 do tipo diplomatica.,41.3,70x50x35,30.78
TRIPULACAO_30,Variante 30 do tipo tripulacao.,24.65,55x40x25,42.42
MEDICA_30,Variante 30 do tipo medica.,27.92,50x40x30,6.32
DUTY_FREE_30,Variante 30 do tipo duty free.,13.53,40x30x20,20.6
PRIORITARIA_30,Variante 30 do tipo prioritaria.,31.76,70x50x30,46.14
MAO_PEQUENA_31,Variante 31 do tipo mao pequena.,14.6,40x30x20,17.11
MAO_STANDARD_31,Variante 31 do tipo mao standard.,13.98,55x35x25,21.07
MAO_GRANDE_31,Variante 31 do tipo mao grande.,13.32,55x40x25,57.74
PORAO_PEQUENA_31,Variante 31 do tipo porao pequena.,20.93,60x40x30,79.94
PORAO_STANDARD_31,Variante 31 do tipo porao standard.,32.53,70x50x30,3.85
PORAO_GRANDE_31,Variante 31 do tipo porao grande.,30.46,80x60x40,64.19
PORAO_EXTRA_31,Variante 31 do tipo porao extra.,43.56,90x70x50,136.53
ESPECIAL_ESPORTIVA_31,Variante 31 do tipo especial esportiva.,39.64,Variável,94.47
ESPECIAL_MUSICAL_31,Variante 31 do tipo especial musical.,30.02,Variável,72.76
ESPECIAL_ANIMAL_31,Variante 31 do tipo especial animal.,19.98,50x40x30,144.02
ESPECIAL_FRAGIL_31,Variante 31 do tipo especial fragil.,23.82,60x50x40,104.68
OVERSIZED_31,Variante 31 do tipo oversized.,58.65,100x80x60,244.3
CARGA_LEVE_31,Variante 31 do tipo carga leve.,44.62,80x60x50,143.03
CARGA_PESADA_31,Variante 31 do tipo carga pesada.,81.08,120x80x60,326.29
INFANTIL_31,Variante 31 do tipo infantil.,12.64,45x35x20,0.0
DIPLOMATICA_31,Variante 31 do tipo diplomatica.,34.93,70x50x35,27.19
TRIPULACAO_31,Variante 31 do tipo tripulacao.,13.13,55x40x25,15.02
MEDICA_31,Variante 31 do tipo medica.,18.87,50x40x30,17.22
DUTY_FREE_31,Variante 31 do tipo duty free.,14.18,40x30x20,25.0
PRIORITARIA_31,Variante 31 do tipo prioritaria.,32.12,70x50x30,78.55
MAO_PEQUENA_32,Variante 32 do tipo mao pequena.,10.52,40x30x20,49.12
MAO_STANDARD_32,Variante 32 do tipo mao standard.,18.9,55x35x25,46.88
MAO_GRANDE_32,Variante 32 do tipo mao grande.,17.89,55x40x25,24.26
PORAO_PEQUENA_32,Variante 32 do tipo porao pequena.,26.98,60x40x30,56.19
PORAO_STANDARD_32,Variante 32 do tipo porao standard.,32.42,70x50x30,22.89
PORAO_GRANDE_32,Variante 32 do tipo porao grande.,32.58,80x60x40,85.09
PORAO_EXTRA_32,Variante 32 do tipo porao extra.,46.82,90x70x50,141.91
ESPECIAL_ESPORTIVA_32,Variante 32 do tipo especial esportiva.,32.8,Variável,100.89
ESPECIAL_MUSICAL_32,Variante 32 do tipo especial musical.,31.52,Variável,92.06
ESPECIAL_ANIMAL_32,Variante 32 do tipo especial animal.,15.25,50x40x30,164.98
ESPECIAL_FRAGIL_32,Variante 32 do tipo especial fragil.,23.21,60x50x40,68.07
OVERSIZED_32,Variante 32 do tipo oversized.,50.96,100x80x60,221.51
