codigo,descricao,cor_hex,ordem_exibicao
AGUARDANDO_PIS_21,Variante 21 do status aguardando pista,#FEB8C5,434
CHECK_IN_ABERT_21,Variante 21 do status check in aberto,#D227DA,435
CONCLUIDO_21,Variante 21 do status concluido,#1999E8,436
SUSPENSO_21,Variante 21 do status suspenso,#A75C17,437
REAGENDADO_21,Variante 21 do status reagendado,#DF21B3,438
EMERGENCIA_21,Variante 21 do status emergencia,#863602,439
PRE_VOO_21,Variante 21 do status pre voo,#52DB49,440
PROGRAMADO_22,Variante 22 do status programado,#07598C,441
EMBARQUE_22,Variante 22 do status embarque,#9F1996,442
EM_VOO_22,Variante 22 do status em voo,#A12699,443
ATERRISSADO_22,Variante 22 do status aterrissado,#D8E0E0,444
CANCELADO_22,Variante 22 do status cancelado,#BA76C9,445
ATRASADO_22,Variante 22 do status atrasado,#FAE51E,446
DESVIADO_22,Variante 22 do status desviado,#E2DD7C,447
TAXIANDO_22,Variante 22 do status taxiando,#AE0991,448
PORTAO_ABERTO_22,Variante 22 do status portao aberto,#0EF13B,449
PORTAO_FECHADO_22,Variante 22 do status portao fechado,#E6B7D5,450
DECOLANDO_22,Variante 22 do status decolando,#9DF684,451
APROXIMACAO_22,Variante 22 do status aproximacao,#A34B16,452
MANUTENCAO_22,Variante 22 do status manutencao,#7103DF,453
AGUARDANDO_PIS_22,Variante 22 do status aguardando pista,#627382,454
CHECK_IN_ABERT_22,Variante 22 do status check in aberto,#0ECAD8,455
CONCLUIDO_22,Variante 22 do status concluido,#D9AD73,456
SUSPENSO_22,Variante 22 do status suspenso,#42FF89,457
REAGENDADO_22,Variante 22 do status reagendado,#7C2B23,458
EMERGENCIA_22,Variante 22 do status emergencia,#BD32FE,459
PRE_VOO_22,Variante 22 do status pre voo,#84242E,460
PROGRAMADO_23,Variante 23 do status programado,#CF124F,461
EMBARQUE_23,Variante 23 do status embarque,#C33490,462
EM_VOO_23,Variante 23 do status em voo,#42F905,463
ATERRISSADO_23,Variante 23 do status aterrissado,#5E5FE4,464
CANCELADO_23,Variante 23 do status cancelado,#D6644C,465
ATRASADO_23,Variante 23 do status atrasado,#AC4AB0,466
DESVIADO_23,Variante 23 do status desviado,#9410C5,467
TAXIANDO_23,Variante 23 do status taxiando,#1BBF1B,468
PORTAO_ABERTO_23,Variante 23 do status portao aberto,#378008,469
PORTAO_FECHADO_23,Variante 23 do status portao fechado,#CB00C9,470
DECOLANDO_23,Variante 23 do status decolando,#AB0252,471
APROXIMACAO_23,Variante 23 do status aproximacao,#B1AD0F,472
MANUTENCAO_23,Variante 23 do status manutencao,#7532A8,473
AGUARDANDO_PIS_23,Variante 23 do status aguardando pista,#1B7E71,474
CHECK_IN_ABERT_23,Variante 23 do status check in aberto,#04B01B,475
CONCLUIDO_23,Variante 23 do status concluido,#D9DA90,476
SUSPENSO_23,Variante 23 do status suspenso,#520E24,477
REAGENDADO_23,Variante 23 do status reagendado,#5F9C21,478
EMERGENCIA_23,Variante 23 do status emergencia,#3CA0CC,479
PRE_VOO_23,Variante 23 do status pre voo,#598D87,480
PROGRAMADO_24,Variante 24 do status programado,#4DE75E,481
EMBARQUE_24,Variante 24 do status embarque,#9695E4,482
EM_VOO_24,Variante 24 do status em voo,#5CB1CA,483
ATERRISSADO_24,Variante 24 do status aterrissado,#E762E3,484
CANCELADO_24,Variante 24 do status cancelado,#DB3AAB,485
ATRASADO_24,Variante 24 do status atrasado,#F4EC3E,486
DESVIADO_24,Variante 24 do status desviado,#F2A95E,487
TAXIANDO_24,Variante 24 do status taxiando,#9F0918,488
PORTAO_ABERTO_24,Variante 24 do status portao aberto,#CD6ED1,489
PORTAO_FECHADO_24,Variante 24 do status portao fechado,#44C7C2,490
DECOLANDO_24,Variante 24 do status decolando,#A1CB70,491
APROXIMACAO_24,Variante 24 do status aproximacao,#227960,492
MANUTENCAO_24,Variante 24 do status manutencao,#C7C0E4,493
AGUARDANDO_PIS_24,Variante 24 do status aguardando pista,#0E351A,494
CHECK_IN_ABERT_24,Variante 24 do status check in aberto,#351270,495
CONCLUIDO_24,Variante 24 do status concluido,#287B37,496
SUSPENSO_24,Variante 24 do status suspenso,#5A8FB0,497
REAGENDADO_24,Variante 24 do status reagendado,#8FD622,498
EMERGENCIA_24,Variante 24 do status emergencia,#332805,499
PRE_VOO_24,Variante 24 do status pre voo,#2F41F7,500
PROGRAMADO_25,Variante 25 do status programado,#BEB988,501
EMBARQUE_25,Variante 25 do status embarque,#809D6C,502
EM_VOO_25,Variante 25 do status em voo,#C6C809,503
ATERRISSADO_25,Variante 25 do status aterrissado,#1EB434,504
CANCELADO_25,Variante 25 do status cancelado,#032211,505
ATRASADO_25,Variante 25 do status atrasado,#07AFEA,506
DESVIADO_25,Variante 25 do status desviado,#37795E,507
TAXIANDO_25,Variante 25 do status taxiando,#F2FCD9,508
PORTAO_ABERTO_25,Variante 25 do status portao aberto,#CACB1F,509
PORTAO_FECHADO_25,Variante 25 do status portao fechado,#F65FE4,510
DECOLANDO_25,Variante 25 do status decolando,#FD3396,511
APROXIMACAO_25,Variante 25 do status aproximacao,#4175D6,512
MANUTENCAO_25,Variante 25 do status manutencao,#644AE1,513
AGUARDANDO_PIS_25,Variante 25 do status aguardando pista,#288402,514
CHECK_IN_ABERT_25,Variante 25 do status check in aberto,#5884ED,515
CONCLUIDO_25,Variante 25 do status concluido,#B77B9B,516
SUSPENSO_25,Variante 25 do status suspenso,#E35F8B,517
REAGENDADO_25,Variante 25 do status reagendado,#06F932,518
EMERGENCIA_25,Variante 25 do status emergencia,#8BE07E,519
PRE_VOO_25,Variante 25 do status pre voo,#E4693B,520
PROGRAMADO_26,Variante 26 do status programado,#4512EC,521
EMBARQUE_26,Variante 26 do status embarque,#D12D4A,522
EM_VOO_26,Variante 26 do status em voo,#86B7F4,523
ATERRISSADO_26,Variante 26 do status aterrissado,#540637,524
CANCELADO_26,Variante 26 do status cancelado,#D9980C,525
ATRASADO_26,Variante 26 do status atrasado,#26FBC8,526
DESVIADO_26,Variante 26 do status desviado,#4B6798,527
TAXIANDO_26,Variante 26 do status taxiando,#38C8E5,528
PORTAO_ABERTO_26,Variante 26 do status portao aberto,#544995,529
PORTAO_FECHADO_26,Variante 26 do status portao fechado,#1B6094,530
DECOLANDO_26,Variante 26 do status decolando,#686464,531
APROXIMACAO_26,Variante 26 do status aproximacao,#80A106,532
MANUTENCAO_26,Variante 26 do status manutencao,#752643,533
AGUARDANDO_PIS_26,Variante 26 do status aguardando pista,#F51B06,534
CHECK_IN_ABERT_26,Variante 26 do status check in aberto,#AF2E53,535
CONCLUIDO_26,Variante 26 do status concluido,#74B943,536
SUSPENSO_26,Variante 26 do status suspenso,#DC33EE,537
REAGENDADO_26,Variante 26 do status reagendado,#B1021C,538
EMERGENCIA_26,Variante 26 do status emergencia,#C590AE,539
PRE_VOO_26,Variante 26 do status pre voo,#189FBC,540
PROGRAMADO_27,Variante 27 do status programado,#EC22F7,541
EMBARQUE_27,Variante 27 do status embarque,#B361A7,542
EM_VOO_27,Variante 27 do status em voo,#566D6D,543
ATERRISSADO_27,Variante 27 do status aterrissado,#BCAB7A,544
CANCELADO_27,Variante 27 do status cancelado,#878A4F,545
ATRASADO_27,Variante 27 do status atrasado,#59831C,546
DESVIADO_27,Variante 27 do status desviado,#9E993F,547
TAXIANDO_27,Variante 27 do status taxiando,#417E4C,548
PORTAO_ABERTO_27,Variante 27 do status portao aberto,#3F2F0E,549
PORTAO_FECHADO_27,Variante 27 do status portao fechado,#771233,550
DECOLANDO_27,Variante 27 do status decolando,#A60A80,551
APROXIMACAO_27,Variante 27 do status aproximacao,#81A5C3,552
MANUTENCAO_27,Variante 27 do status manutencao,#B95BE3,553
AGUARDANDO_PIS_27,Variante 27 do status aguardando pista,#8965CB,554
CHECK_IN_ABERT_27,Variante 27 do status check in aberto,#1823EC,555
CONCLUIDO_27,Variante 27 do status concluido,#101851,556
SUSPENSO_27,Variante 27 do status suspenso,#DBC4FC,557
REAGENDADO_27,Variante 27 do status reagendado,#824931,558
EMERGENCIA_27,Variante 27 do status emergencia,#9C6AE6,559
PRE_VOO_27,Variante 27 do status pre voo,#BC1F6C,560
PROGRAMADO_28,Variante 28 do status programado,#9206A5,561
EMBARQUE_28,Variante 28 do status embarque,#EF37FD,562
EM_VOO_28,Variante 28 do status em voo,#AD5502,563
ATERRISSADO_28,Variante 28 do status aterrissado,#4A9196,564
CANCELADO_28,Variante 28 do status cancelado,#64C431,565
ATRASADO_28,Variante 28 do status atrasado,#2745B8,566
DESVIADO_28,Variante 28 do status desviado,#3909E6,567
TAXIANDO_28,Variante 28 do status taxiando,#47A6B3,568
PORTAO_ABERTO_28,Variante 28 do status portao aberto,#6318DD,569
PORTAO_FECHADO_28,Variante 28 do status portao fechado,#4EEE8F,570
DECOLANDO_28,Variante 28 do status decolando,#E51816,571
APROXIMACAO_28,Variante 28 do status aproximacao,#922898,572
MANUTENCAO_28,Variante 28 do status manutencao,#FB8592,573
AGUARDANDO_PIS_28,Variante 28 do status aguardando pista,#2B73A8,574
CHECK_IN_ABERT_28,Variante 28 do status check in aberto,#E6C8B8,575
CONCLUIDO_28,Variante 28 do status concluido,#E07470,576
SUSPENSO_28,Variante 28 do status suspenso,#CBD987,577
REAGENDADO_28,Variante 28 do status reagendado,#699D86,578
EMERGENCIA_28,Variante 28 do status emergencia,#7C5CE4,579
PRE_VOO_28,Variante 28 do status pre voo,#9641AD,580
PROGRAMADO_29,Variante 29 do status programado,#552CD4,581
EMBARQUE_29,Variante 29 do status embarque,#FA8397,582
EM_VOO_29,Variante 29 do status em voo,#56E5AD,583
ATERRISSADO_29,Variante 29 do status aterrissado,#0FB894,584
CANCELADO_29,Variante 29 do status cancelado,#621D15,585
ATRASADO_29,Variante 29 do status atrasado,#C24EBC,586
DESVIADO_29,Variante 29 do status desviado,#56E502,587
TAXIANDO_29,Variante 29 do status taxiando,#2542E4,588
PORTAO_ABERTO_29,Variante 29 do status portao aberto,#F3102D,589
PORTAO_FECHADO_29,Variante 29 do status portao fechado,#B50F04,590
DECOLANDO_29,Variante 29 do status decolando,#06758C,591
APROXIMACAO_29,Variante 29 do status aproximacao,#1F1E52,592
MANUTENCAO_29,Variante 29 do status manutencao,#22716A,593
AGUARDANDO_PIS_29,Variante 29 do status aguardando pista,#C6281F,594
CHECK_IN_ABERT_29,Variante 29 do status check in aberto,#7E6EA7,595
CONCLUIDO_29,Variante 29 do status concluido,#155A09,596
SUSPENSO_29,Variante 29 do status suspenso,#82862C,597
REAGENDADO_29,Variante 29 do status reagendado,#A86C4E,598
EMERGENCIA_29,Variante 29 do status emergencia,#638367,599
PRE_VOO_29,Variante 29 do status pre voo,#10FF9B,600
PROGRAMADO_30,Variante 30 do status programado,#C5F223,601
EMBARQUE_30,Variante 30 do status embarque,#7586D8,602
EM_VOO_30,Variante 30 do status em voo,#A6665C,603
ATERRISSADO_30,Variante 30 do status aterrissado,#4A26AD,604
CANCELADO_30,Variante 30 do status cancelado,#889577,605
ATRASADO_30,Variante 30 do status atrasado,#7578CC,606
DESVIADO_30,Variante 30 do status desviado,#A97BFC,607
TAXIANDO_30,Variante 30 do status taxiando,#75836F,608
PORTAO_ABERTO_30,Variante 30 do status portao aberto,#9C7577,609
PORTAO_FECHADO_30,Variante 30 do status portao fechado,#060CA7,610
DECOLANDO_30,Variante 30 do status decolando,#124FA5,611
APROXIMACAO_30,Variante 30 do status aproximacao,#352A1E,612
MANUTENCAO_30,Variante 30 do status manutencao,#23642A,613
AGUARDANDO_PIS_30,Variante 30 do status aguardando pista,#CAECF2,614
CHECK_IN_ABERT_30,Variante 30 do status check in aberto,#E18EAA,615
CONCLUIDO_30,Variante 30 do status concluido,#F2C67E,616
SUSPENSO_30,Variante 30 do status suspenso,#92BDFC,617
REAGENDADO_30,Variante 30 do status reagendado,#2248B1,618
EMERGENCIA_30,Variante 30 do status emergencia,#D99796,619
PRE_VOO_30,Variante 30 do status pre voo,#B0D074,620
PROGRAMADO_31,Variante 31 do status programado,#583126,621
EMBARQUE_31,Variante 31 do status embarque,#8EC5F8,622
EM_VOO_31,Variante 31 do status em voo,#8219BC,623
ATERRISSADO_31,Variante 31 do status aterrissado,#823FD6,624
CANCELADO_31,Variante 31 do status cancelado,#B80BB9,625
ATRASADO_31,Variante 31 do status atrasado,#85F759,626
DESVIADO_31,Variante 31 do status desviado,#861620,627
TAXIANDO_31,Variante 31 do status taxiando,#DAE0F3,628
PORTAO_ABERTO_31,Variante 31 do status portao aberto,#1B62AC,629
PORTAO_FECHADO_31,Variante 31 do status portao fechado,#6BA7FC,630
DECOLANDO_31,Variante 31 do status decolando,#B927CC,631
APROXIMACAO_31,Variante 31 do status aproximacao,#21C52A,632
MANUTENCAO_31,Variante 31 do status manutencao,#F341CE,633
AGUARDANDO_PIS_31,Variante 31 do status aguardando pista,#6F54A6,634
CHECK_IN_ABERT_31,Variante 31 do status check in aberto,#E6927F,635
CONCLUIDO_31,Variante 31 do status concluido,#36DCC6,636
SUSPENSO_31,Variante 31 do status suspenso,#07F8BC,637
REAGENDADO_31,Variante 31 do status reagendado,#A41863,638
EMERGENCIA_31,Variante 31 do status emergencia,#7B5A55,639
PRE_VOO_31,Variante 31 do status pre voo,#3F257B,640
PROGRAMADO_32,Variante 32 do status programado,#4B4E89,641
EMBARQUE_32,Variante 32 do status embarque,#E9B97E,642
EM_VOO_32,Variante 32 do status em voo,#82CB3A,643
ATERRISSADO_32,Variante 32 do status aterrissado,#C5A157,644
CANCELADO_32,Variante 32 do status cancelado,#D9E645,645
ATRASADO_32,Variante 32 do status atrasado,#4F5CA0,646
DESVIADO_32,Variante 32 do status desviado,#1F3105,647
TAXIANDO_32,Variante 32 do status taxiando,#9CB5DE,648
PORTAO_ABERTO_32,Variante 32 do status portao aberto,#A1066A,649
PORTAO_FECHADO_32,Variante 32 do status portao fechado,#F66533,650
DECOLANDO_32,Variante 32 do status decolando,#44043F,651
APROXIMACAO_32,Variante 32 do status aproximacao,#F56C38,652
MANUTENCAO_32,Variante 32 do status manutencao,#359539,653
AGUARDANDO_PIS_32,Variante 32 do status aguardando pista,#8C694B,654
CHECK_IN_ABERT_32,Variante 32 do status check in aberto,#E6199C,655
CONCLUIDO_32,Variante 32 do status concluido,#466A5E,656
SUSPENSO_32,Variante 32 do status suspenso,#81F12B,657
REAGENDADO_32,Variante 32 do status reagendado,#C0F174,658
EMERGENCIA_32,Variante 32 do status emergencia,#7710F3,659
PRE_VOO_32,Variante 32 do status pre voo,#12A6D8,660
PROGRAMADO_33,Variante 33 do status programado,#2DD869,661
EMBARQUE_33,Variante 33 do status embarque,#C33ECD,662
EM_VOO_33,Variante 33 do status em voo,#815924,663
ATERRISSADO_33,Variante 33 do status aterrissado,#599D79,664
CANCELADO_33,Variante 33 do status cancelado,#891D08,665
ATRASADO_33,Variante 33 do status atrasado,#43AFDF,666
DESVIADO_33,Variante 33 do status desviado,#684FF7,667
TAXIANDO_33,Variante 33 do status taxiando,#73E89F,668
PORTAO_ABERTO_33,Variante 33 do status portao aberto,#E628DB,669
PORTAO_FECHADO_33,Variante 33 do status portao fechado,#5351E0,670
DECOLANDO_33,Variante 33 do status decolando,#788EFA,671
APROXIMACAO_33,Variante 33 do status aproximacao,#79FE27,672
MANUTENCAO_33,Variante 33 do status manutencao,#34D711,673
AGUARDANDO_PIS_33,Variante 33 do status aguardando pista,#4D490A,674
CHECK_IN_ABERT_33,Variante 33 do status check in aberto,#39B7B2,675
CONCLUIDO_33,Variante 33 do status concluido,#FFFBF5,676
SUSPENSO_33,Variante 33 do status suspenso,#0F671C,677
REAGENDADO_33,Variante 33 do status reagendado,#C8A6BE,678
EMERGENCIA_33,Variante 33 do status emergencia,#50718E,679
PRE_VOO_33,Variante 33 do status pre voo,#6B90F3,680
PROGRAMADO_34,Variante 34 do status programado,#584523,681
EMBARQUE_34,Variante 34 do status embarque,#1947D3,682
EM_VOO_34,Variante 34 do status em voo,#6C9735,683
ATERRISSADO_34,Variante 34 do status aterrissado,#55E7AF,684
CANCELADO_34,Variante 34 do status cancelado,#4A99EF,685
ATRASADO_34,Variante 34 do status atrasado,#3E044D,686
DESVIADO_34,Variante 34 do status desviado,#16EDAD,687
TAXIANDO_34,Variante 34 do status taxiando,#3BE3E1,688
PORTAO_ABERTO_34,Variante 34 do status portao aberto,#07A158,689
PORTAO_FECHADO_34,Variante 34 do status portao fechado,#5EC74C,690
DECOLANDO_34,Variante 34 do status decolando,#75C51B,691
APROXIMACAO_34,Variante 34 do status aproximacao,#59F92B,692
MANUTENCAO_34,Variante 34 do status manutencao,#0114E7,693
AGUARDANDO_PIS_34,Variante 34 do status aguardando pista,#085584,694
CHECK_IN_ABERT_34,Variante 34 do status check in aberto,#204591,695
CONCLUIDO_34,Variante 34 do status concluido,#C599E7,696
SUSPENSO_34,Variante 34 do status suspenso,#EC30B5,697
REAGENDADO_34,Variante 34 do status reagendado,#DE3162,698
EMERGENCIA_34,Variante 34 do status emergencia,#C24108,699
PRE_VOO_34,Variante 34 do status pre voo,#3AAEBA,700
PROGRAMADO_35,Variante 35 do status programado,#1732D2,701
EMBARQUE_35,Variante 35 do status embarque,#0F4202,702
EM_VOO_35,Variante 35 do status em voo,#F63181,703
ATERRISSADO_35,Variante 35 do status aterrissado,#C5C070,704
CANCELADO_35,Variante 35 do status cancelado,#3E4FD1,705
ATRASADO_35,Variante 35 do status atrasado,#05BC8A,706
DESVIADO_35,Variante 35 do status desviado,#2ACF1D,707
TAXIANDO_35,Variante 35 do status taxiando,#974811,708
PORTAO_ABERTO_35,Variante 35 do status portao aberto,#60F297,709
PORTAO_FECHADO_35,Variante 35 do status portao fechado,#BECEC7,710
DECOLANDO_35,Variante 35 do status decolando,#C47668,711
APROXIMACAO_35,Variante 35 do status aproximacao,#2F95E4,712
MANUTENCAO_35,Variante 35 do status manutencao,#93D8DC,713
AGUARDANDO_PIS_35,Variante 35 do status aguardando pista,#1F98B1,714
CHECK_IN_ABERT_35,Variante 35 do status check in aberto,#78704D,715
CONCLUIDO_35,Variante 35 do status concluido,#942762,716
SUSPENSO_35,Variante 35 do status suspenso,#A37E86,717
REAGENDADO_35,Variante 35 do status reagendado,#7CE974,718
EMERGENCIA_35,Variante 35 do status emergencia,#2B8BFC,719
PRE_VOO_35,Variante 35 do status pre voo,#18402E,720
PROGRAMADO_36,Variante 36 do status programado,#F715C1,721
EMBARQUE_36,Variante 36 do status embarque,#8D7F87,722
EM_VOO_36,Variante 36 do status em voo,#D79FAE,723
ATERRISSADO_36,Variante 36 do status aterrissado,#46C90E,724
CANCELADO_36,Variante 36 do status cancelado,#63D563,725
ATRASADO_36,Variante 36 do status atrasado,#A13592,726
DESVIADO_36,Variante 36 do status desviado,#9E6081,727
TAXIANDO_36,Variante 36 do status taxiando,#D13CEF,728
PORTAO_ABERTO_36,Variante 36 do status portao aberto,#A1FE29,729
PORTAO_FECHADO_36,Variante 36 do status portao fechado,#32003F,730
DECOLANDO_36,Variante 36 do status decolando,#11DA60,731
APROXIMACAO_36,Variante 36 do status aproximacao,#01DE66,732
MANUTENCAO_36,Variante 36 do status manutencao,#65A919,733
AGUARDANDO_PIS_36,Variante 36 do status aguardando pista,#08A756,734
CHECK_IN_ABERT_36,Variante 36 do status check in aberto,#EA01AD,735
CONCLUIDO_36,Variante 36 do status concluido,#CEFD7C,736
SUSPENSO_36,Variante 36 do status suspenso,#5D60D6,737
REAGENDADO_36,Variante 36 do status reagendado,#01CBD7,738
EMERGENCIA_36,Variante 36 do status emergencia,#BD7847,739
PRE_VOO_36,Variante 36 do status pre voo,#8ED23B,740
PROGRAMADO_37,Variante 37 do status programado,#A8AA42,741
EMBARQUE_37,Variante 37 do status embarque,#C2251D,742
EM_VOO_37,Variante 37 do status em voo,#E00492,743
ATERRISSADO_37,Variante 37 do status aterrissado,#26292C,744
CANCELADO_37,Variante 37 do status cancelado,#A9AE3C,745
ATRASADO_37,Variante 37 do status atrasado,#0A01D2,746
DESVIADO_37,Variante 37 do status desviado,#17976E,747
TAXIANDO_37,Variante 37 do status taxiando,#DF2FD0,748
PORTAO_ABERTO_37,Variante 37 do status portao aberto,#DD9E9F,749
PORTAO_FECHADO_37,Variante 37 do status portao fechado,#C7A56F,750
DECOLANDO_37,Variante 37 do status decolando,#D81B1B,751
APROXIMACAO_37,Variante 37 do status aproximacao,#898F72,752
MANUTENCAO_37,Variante 37 do status manutencao,#2F1E3B,753
AGUARDANDO_PIS_37,Variante 37 do status aguardando pista,#25CC7D,754
CHECK_IN_ABERT_37,Variante 37 do status check in aberto,#06AD6D,755
CONCLUIDO_37,Variante 37 do status concluido,#C935A4,756
SUSPENSO_37,Variante 37 do status suspenso,#BDEF93,757
REAGENDADO_37,Variante 37 do status reagendado,#99226E,758
EMERGENCIA_37,Variante 37 do status emergencia,#2C4F33,759
PRE_VOO_37,Variante 37 do status pre voo,#2E3B50,760
PROGRAMADO_38,Variante 38 do status programado,#731863,761
EMBARQUE_38,Variante 38 do status embarque,#907B8A,762
EM_VOO_38,Variante 38 do status em voo,#00CFD5,763
ATERRISSADO_38,Variante 38 do status aterrissado,#E4DFED,764
CANCELADO_38,Variante 38 do status cancelado,#A5DA49,765
ATRASADO_38,Variante 38 do status atrasado,#337E1E,766
DESVIADO_38,Variante 38 do status desviado,#CC3290,767
TAXIANDO_38,Variante 38 do status taxiando,#89A89D,768
PORTAO_ABERTO_38,Variante 38 do status portao aberto,#F0599F,769
PORTAO_FECHADO_38,Variante 38 do status portao fechado,#157B79,770
DECOLANDO_38,Variante 38 do status decolando,#07B3E6,771
APROXIMACAO_38,Variante 38 do status aproximacao,#BC0CAE,772
MANUTENCAO_38,Variante 38 do status manutencao,#63A8D0,773
AGUARDANDO_PIS_38,Variante 38 do status aguardando pista,#DC1B65,774
CHECK_IN_ABERT_38,Variante 38 do status check in aberto,#D6E1A9,775
CONCLUIDO_38,Variante 38 do status concluido,#679423,776
SUSPENSO_38,Variante 38 do status suspenso,#96A186,777
REAGENDADO_38,Variante 38 do status reagendado,#481A70,778
EMERGENCIA_38,Variante 38 do status emergencia,#C17ED0,779
PRE_VOO_38,Variante 38 do status pre voo,#CF7DC4,780
PROGRAMADO_39,Variante 39 do status programado,#519081,781
EMBARQUE_39,Variante 39 do status embarque,#C6DE3C,782
EM_VOO_39,Variante 39 do status em voo,#EB10E7,783
ATERRISSADO_39,Variante 39 do status aterrissado,#07E5FF,784
CANCELADO_39,Variante 39 do status cancelado,#77D950,785
ATRASADO_39,Variante 39 do status atrasado,#DDED08,786
DESVIADO_39,Variante 39 do status desviado,#3C938E,787
TAXIANDO_39,Variante 39 do status taxiando,#F1E8B1,788
PORTAO_ABERTO_39,Variante 39 do status portao aberto,#F87898,789
PORTAO_FECHADO_39,Variante 39 do status portao fechado,#253219,790
DECOLANDO_39,Variante 39 do status decolando,#BA6944,791
APROXIMACAO_39,Variante 39 do status aproximacao,#0FAF5F,792
MANUTENCAO_39,Variante 39 do status manutencao,#BDF327,793
AGUARDANDO_PIS_39,Variante 39 do status aguardando pista,#DB85AF,794
CHECK_IN_ABERT_39,Variante 39 do status check in aberto,#5C78EC,795
CONCLUIDO_39,Variante 39 do status concluido,#B9DDEF,796
SUSPENSO_39,Variante 39 do status suspenso,#E835A5,797
REAGENDADO_39,Variante 39 do status reagendado,#27B295,798
EMERGENCIA_39,Variante 39 do status emergencia,#E8B061,799
PRE_VOO_39,Variante 39 do status pre voo,#C10D4B,800
PROGRAMADO_40,Variante 40 do status programado,#0BF7A0,801
EMBARQUE_40,Variante 40 do status embarque,#7936F9,802
EM_VOO_40,Variante 40 do status em voo,#40C528,803
ATERRISSADO_40,Variante 40 do status aterrissado,#0B67E2,804
CANCELADO_40,Variante 40 do status cancelado,#2C880C,805
ATRASADO_40,Variante 40 do status atrasado,#43F164,806
DESVIADO_40,Variante 40 do status desviado,#DCFC5F,807
TAXIANDO_40,Variante 40 do status taxiando,#B78E30,808
PORTAO_ABERTO_40,Variante 40 do status portao aberto,#E8BB0E,809
PORTAO_FECHADO_40,Variante 40 do status portao fechado,#5FA093,810
DECOLANDO_40,Variante 40 do status decolando,#C2A1C4,811
APROXIMACAO_40,Variante 40 do status aproximacao,#0785C7,812
MANUTENCAO_40,Variante 40 do status manutencao,#9AFEDB,813
AGUARDANDO_PIS_40,Variante 40 do status aguardando pista,#284608,814
CHECK_IN_ABERT_40,Variante 40 do status check in aberto,#02FE08,815
CONCLUIDO_40,Variante 40 do status concluido,#BCB1C4,816
SUSPENSO_40,Variante 40 do status suspenso,#47453F,817
REAGENDADO_40,Variante 40 do status reagendado,#254B3D,818
EMERGENCIA_40,Variante 40 do status emergencia,#EC064B,819
PRE_VOO_40,Variante 40 do status pre voo,#B8F01C,820
PROGRAMADO_41,Variante 41 do status programado,#ABD5A6,821
EMBARQUE_41,Variante 41 do status embarque,#A0F315,822
EM_VOO_41,Variante 41 do status em voo,#3C4D78,823
ATERRISSADO_41,Variante 41 do status aterrissado,#EBCFEA,824
CANCELADO_41,Variante 41 do status cancelado,#F92B39,825
ATRASADO_41,Variante 41 do status atrasado,#E9F12D,826
DESVIADO_41,Variante 41 do status desviado,#94E213,827
TAXIANDO_41,Variante 41 do status taxiando,#2E304F,828
PORTAO_ABERTO_41,Variante 41 do status portao aberto,#46A3F8,829
PORTAO_FECHADO_41,Variante 41 do status portao fechado,#F9FF8A,830
DECOLANDO_41,Variante 41 do status decolando,#97F5E3,831
APROXIMACAO_41,Variante 41 do status aproximacao,#C52B60,832
MANUTENCAO_41,Variante 41 do status manutencao,#5EA85B,833
AGUARDANDO_PIS_41,Variante 41 do status aguardando pista,#2635AD,834
CHECK_IN_ABERT_41,Variante 41 do status check in aberto,#3171E2,835
CONCLUIDO_41,Variante 41 do status concluido,#4A1003,836
SUSPENSO_41,Variante 41 do status suspenso,#8F8787,837
REAGENDADO_41,Variante 41 do status reagendado,#2F0DC9,838
EMERGENCIA_41,Variante 41 do status emergencia,#CE3D7F,839
PRE_VOO_41,Variante 41 do status pre voo,#4689E4,840
PROGRAMADO_42,Variante 42 do status programado,#DF19A2,841
EMBARQUE_42,Variante 42 do status embarque,#8854B0,842
EM_VOO_42,Variante 42 do status em voo,#5AA32C,843
ATERRISSADO_42,Variante 42 do status aterrissado,#534FE0,844
CANCELADO_42,Variante 42 do status cancelado,#4825C8,845
ATRASADO_42,Variante 42 do status atrasado,#F47E8A,846
DESVIADO_42,Variante 42 do status desviado,#AB2519,847
TAXIANDO_42,Variante 42 do status taxiando,#261E10,848
PORTAO_ABERTO_42,Variante 42 do status portao aberto,#E607E9,849
PORTAO_FECHADO_42,Variante 42 do status portao fechado,#1B5688,850
DECOLANDO_42,Variante 42 do status decolando,#8756C2,851
APROXIMACAO_42,Variante 42 do status aproximacao,#BB9E33,852
MANUTENCAO_42,Variante 42 do status manutencao,#8865B7,853
AGUARDANDO_PIS_42,Variante 42 do status aguardando pista,#438721,854
CHECK_IN_ABERT_42,Variante 42 do status check in aberto,#35E177,855
CONCLUIDO_42,Variante 42 do status concluido,#B1770E,856
SUSPENSO_42,Variante 42 do status suspenso,#965917,857
REAGENDADO_42,Variante 42 do status reagendado,#BEE5FC,858
EMERGENCIA_42,Variante 42 do status emergencia,#F8E2F5,859
PRE_VOO_42,Variante 42 do status pre voo,#173AEC,860
PROGRAMADO_43,Variante 43 do status programado,#A34EC8,861
EMBARQUE_43,Variante 43 do status embarque,#DEC7BD,862
EM_VOO_43,Variante 43 do status em voo,#40B9FF,863
ATERRISSADO_43,Variante 43 do status aterrissado,#017A4A,864
CANCELADO_43,Variante 43 do status cancelado,#487766,865
ATRASADO_43,Variante 43 do status atrasado,#40AE22,866
