nome,fabricante_id,capacidade_passageiros,alcance_km,peso_max_decolagem_kg,ano_primeiro_voo,envergadura_metros
Modelo E-611,579,121,6169,257179.92,1984,34.1
Modelo F-612,182,152,5832,166722.14,2016,33.52
Modelo G-613,364,300,10481,227713.72,2017,73.07
Modelo H-614,852,401,3793,36487.69,2009,25.9
Modelo J-615,216,341,12504,268804.24,1996,29.52
Modelo K-616,992,408,9253,337692.56,1994,21.35
Modelo L-617,216,445,5230,142679.13,1993,17.2
Modelo M-618,530,109,11786,384201.49,2020,24.79
Modelo N-619,331,350,7099,344805.11,1964,37.57
Modelo P-620,645,103,6879,523557.52,1961,26.11
Modelo Q-621,343,293,6516,394010.57,1972,28.1
Modelo R-622,314,233,3666,288102.12,1983,67.64
Modelo S-623,829,274,11102,282020.72,2015,66.17
Modelo T-624,855,292,4990,162756.24,2007,57.07
Modelo U-625,695,297,7572,190601.38,1989,68.42
Modelo V-626,111,309,7897,264148.12,1994,81.78
Modelo W-627,608,255,1467,110955.19,1981,79.56
Modelo X-628,989,355,12429,566565.1,1985,81.6
Modelo Y-629,770,340,3286,90986.13,2002,70.2
Modelo Z-630,994,77,2481,195925.02,1978,71.1
Modelo A-631,406,284,3708,284443.82,1978,29.03
Modelo B-632,309,138,6038,62019.53,1990,75.04
Modelo C-633,93,273,12864,158168.53,2007,15.35
Modelo D-634,353,131,2636,290418.41,2010,63.91
Modelo E-635,685,291,7165,501337.99,1991,68.41
Modelo F-636,397,99,3105,201238.67,1977,42.99
Modelo G-637,920,217,5639,494577.78,2014,56.79
Modelo H-638,74,323,6683,300660.96,1963,30.52
Modelo J-639,183,361,13580,152567.19,2006,38.79
Modelo K-640,2,471,11003,365514.56,2010,79.02
Modelo L-641,236,380,3262,307470.57,1965,29.79
Modelo M-642,96,272,6563,239678.92,1983,44.8
Modelo N-643,319,195,7337,410034.67,2021,17.44
Modelo P-644,184,265,3679,247956.44,1973,47.54
Modelo Q-645,355,92,12240,443612.33,2011,71.25
Modelo R-646,165,56,6226,90312.61,2024,41.88
Modelo S-647,12,282,8964,397483.08,2011,44.57
Modelo T-648,311,77,7962,166309.69,1974,57.25
Modelo U-649,931,460,8377,308706.03,2020,64.84
Modelo V-650,548,482,6977,80328.2,1982,83.65
Modelo W-651,778,322,7282,524133.86,1970,25.53
Modelo X-652,971,222,12592,360239.52,1985,51.04
Modelo Y-653,746,364,15290,281168.78,1966,47.53
Modelo Z-654,125,70,15219,301428.53,2006,18.51
Modelo A-655,703,356,7050,162611.18,2003,62.25
Modelo B-656,839,442,1385,332507.87,1982,35.53
Modelo C-657,18,263,8319,204910.04,1964,56.7
Modelo D-658,750,232,1599,325792.09,2010,32.4
Modelo E-659,548,93,2549,88741.96,1978,59.3
Modelo F-660,915,270,5500,217050.97,2018,63.23
Modelo G-661,941,174,14526,543594.58,2018,17.84
Modelo H-662,382,217,1627,100849.01,1972,41.73
Modelo J-663,81,421,6534,557552.72,1998,44.58
Modelo K-664,189,61,13235,165261.93,1970,73.58
Modelo L-665,989,271,2907,479282.2,1993,84.64
Modelo M-666,527,365,9833,514732.53,1991,63.6
Modelo N-667,384,75,10393,291657.26,2015,34.24
Modelo P-668,797,402,4042,176959.48,1965,57.32
Modelo Q-669,695,142,5668,174517.45,2012,29.5
Modelo R-670,425,450,11767,90913.66,1994,47.37
Modelo S-671,1000,454,11401,201123.25,1988,30.74
Modelo T-672,333,413,4621,52277.64,1996,65.97
Modelo U-673,847,361,8547,358929.79,2002,52.9
Modelo V-674,953,293,10136,22351.83,2003,37.37
Modelo W-675,456,471,3486,285239.32,2023,29.74
Modelo X-676,175,407,12026,243185.83,2011,17.26
Modelo Y-677,586,486,2287,384359.68,2004,20.82
Modelo Z-678,543,432,7048,192859.15,2000,46.6
Modelo A-679,31,289,3554,380544.68,1981,58.7
Modelo B-680,442,339,7805,597558.12,1962,67.6
Modelo C-681,570,195,13190,302092.77,1990,41.27
Modelo D-682,135,325,7200,370166.22,1975,21.79
Modelo E-683,217,161,2812,348885.83,1982,75.54
Modelo F-684,797,442,13033,587654.45,2012,39.64
Modelo G-685,429,161,15753,365560.39,2000,68.93
Modelo H-686,109,372,11882,532583.35,2000,50.16
Modelo J-687,402,322,4688,517548.1,2023,67.98
Modelo K-688,846,196,8363,106826.16,1982,43.0
Modelo L-689,546,51,14596,210422.09,2019,60.93
Modelo M-690,930,399,2610,239261.75,2013,83.2
Modelo N-691,194,260,11427,31988.98,1988,24.7
Modelo P-692,516,367,2319,365747.38,2012,81.18
Modelo Q-693,625,216,5095,112378.44,2020,62.91
Modelo R-694,24,239,13172,366785.41,2009,53.64
Modelo S-695,198,492,14931,549225.96,2018,40.83
Modelo T-696,246,497,3870,291218.8,1985,37.59
Modelo U-697,67,200,15654,33070.51,2019,47.14
Modelo V-698,618,400,8268,593982.3,1982,83.1
Modelo W-699,657,306,2821,485156.88,2002,76.05
Modelo X-700,251,131,8572,437397.06,1968,15.48
Modelo Y-701,699,66,12089,252712.82,2020,75.35
Modelo Z-702,802,86,7833,575181.27,1975,65.11
Modelo A-703,663,360,9751,433137.07,2016,48.66
Modelo B-704,62,421,5799,489822.5,1965,40.44
Modelo C-705,950,416,9381,383121.9,2016,45.0
Modelo D-706,107,113,3391,510536.17,1974,65.54
Modelo E-707,423,237,11756,213803.26,1991,70.69
Modelo F-708,271,157,2591,208065.03,1969,47.08
Modelo G-709,504,413,13329,158166.14,1993,38.97
Modelo H-710,456,402,6417,475613.76,1993,54.78
Modelo J-711,37,354,13473,96912.27,1996,16.82
Modelo K-712,380,500,10233,227193.68,1997,36.47
Modelo L-713,163,416,10300,385828.33,2020,64.92
Modelo M-714,302,394,3530,450083.9,1976,25.26
Modelo N-715,880,199,7295,165523.87,1989,16.96
Modelo P-716,598,158,5963,101792.57,1961,33.16
Modelo Q-717,521,419,13213,524086.05,2011,48.39
Modelo R-718,996,137,6639,391653.14,2024,37.0
Modelo S-719,388,241,15178,556758.15,1981,75.95
Modelo T-720,180,296,8929,539823.16,1961,61.81
Modelo U-721,351,83,4683,195945.35,1988,25.51
Modelo V-722,797,361,12940,476725.43,1985,39.96
Modelo W-723,584,285,15953,388602.4,1961,73.8
Modelo X-724,839,483,13830,475795.97,1989,66.9
Modelo Y-725,681,236,1538,248117.37,1972,81.64
Modelo Z-726,69,309,5447,338671.42,1970,82.93
Modelo A-727,458,78,10284,320925.05,1991,32.93
Modelo B-728,188,428,12300,562755.06,1991,30.98
Modelo C-729,468,417,3907,38536.18,1994,53.64
Modelo D-730,761,96,4113,444002.29,1968,78.43
Modelo E-731,536,117,5960,50606.09,1989,32.08
Modelo F-732,596,439,8819,286598.71,1966,37.32
Modelo G-733,75,374,4218,294804.94,2016,20.84
Modelo H-734,103,151,9886,359784.88,2022,36.0
Modelo J-735,596,54,8041,518766.38,1974,65.4
Modelo K-736,797,276,11528,128957.28,2018,84.46
Modelo L-737,773,178,7671,366792.18,2023,59.18
Modelo M-738,520,218,8918,315807.14,1998,33.49
Modelo N-739,255,322,6589,176043.68,2024,36.62
Modelo P-740,115,275,13396,568232.76,2022,15.46
Modelo Q-741,482,310,9122,110431.56,1968,68.23
Modelo R-742,312,394,2549,556297.77,2016,38.97
Modelo S-743,552,401,14476,121853.57,1973,68.4
Modelo T-744,315,159,9221,193649.53,2020,22.2
Modelo U-745,950,203,10986,138020.78,1979,37.66
Modelo V-746,785,148,7491,474699.51,1980,57.71
Modelo W-747,334,130,9461,588975.33,2013,69.58
Modelo X-748,235,187,5306,291109.28,1998,40.96
Modelo Y-749,342,206,12906,222051.14,2000,46.48
Modelo Z-750,577,267,7447,461176.72,1960,68.36
Modelo A-751,57,256,7697,221863.0,1977,83.25
Modelo B-752,281,442,1319,493841.84,1985,29.6
Modelo C-753,263,416,5829,502042.77,1963,37.53
Modelo D-754,392,454,6336,341469.88,1985,70.82
Modelo E-755,516,366,8210,515996.01,1973,20.21
Modelo F-756,334,132,12843,295614.38,2020,81.64
Modelo G-757,800,73,11803,243186.86,2022,32.49
Modelo H-758,601,360,7144,49700.34,1967,59.77
Modelo J-759,551,191,7053,271302.76,1996,22.77
Modelo K-760,902,118,13285,58283.42,2012,72.7
Modelo L-761,155,497,10663,189830.54,1985,54.33
Modelo M-762,252,274,6371,350048.9,1993,53.97
Modelo N-763,299,468,12297,27783.31,1968,75.95
Modelo P-764,729,408,13108,198667.32,2006,78.36
Modelo Q-765,766,278,15493,140665.5,2001,47.78
Modelo R-766,371,285,6456,131406.33,1993,32.88
Modelo S-767,956,432,1379,97057.91,2012,44.91
Modelo T-768,499,462,14076,43098.18,1967,78.91
Modelo U-769,383,312,1265,345943.04,1964,82.19
Modelo V-770,818,497,6358,477230.44,2022,34.79
Modelo W-771,650,220,2099,444643.78,1971,83.2
Modelo X-772,116,449,9712,107560.99,2025,74.24
Modelo Y-773,588,94,8675,371868.42,1984,67.63
Modelo Z-774,701,442,8060,493387.12,2019,46.59
Modelo A-775,757,500,3493,395509.56,1969,27.72
Modelo B-776,348,344,8439,323712.67,2015,77.26
Modelo C-777,589,255,5813,18717.06,2009,16.32
Modelo D-778,331,165,7998,103039.53,1988,55.91
Modelo E-779,335,443,9722,282785.69,1985,68.89
Modelo F-780,948,344,6810,537547.47,1979,28.22
Modelo G-781,212,125,6054,121228.23,1963,52.34
Modelo H-782,41,482,13770,89484.27,2004,81.83
Modelo J-783,892,217,6166,558152.32,1986,29.12
Modelo K-784,435,133,5441,151292.63,1987,69.06
Modelo L-785,141,63,15379,540844.58,2016,23.62
Modelo M-786,27,242,8273,522506.68,1986,41.63
Modelo N-787,450,278,7540,131203.07,2008,56.32
Modelo P-788,96,113,3868,311421.45,1975,26.4
Modelo Q-789,124,157,9013,448275.57,2005,67.48
Modelo R-790,426,212,4129,138041.56,1971,70.99
Modelo S-791,490,234,5182,312610.12,2018,16.13
Modelo T-792,823,244,7881,249180.38,1972,39.83
Modelo U-793,857,208,2069,268977.1,1998,31.06
Modelo V-794,87,409,11656,391495.44,2009,76.32
Modelo W-795,975,58,5500,441833.03,2001,18.18
Modelo X-796,255,483,3905,345278.86,1976,51.3
Modelo Y-797,712,121,8697,460938.39,1967,56.73
Modelo Z-798,888,157,13121,401657.03,2007,58.23
Modelo A-799,162,471,7868,115865.69,1979,66.94
Modelo B-800,685,464,3975,228564.79,1974,70.06
Modelo C-801,510,65,4343,194047.92,2007,78.63
Modelo D-802,637,185,6260,31659.74,1963,38.21
Modelo E-803,36,290,13041,525136.49,2012,18.25
Modelo F-804,781,243,10805,437675.79,1981,26.07
Modelo G-805,358,57,15699,145279.31,2013,84.17
Modelo H-806,992,107,8793,286693.49,2013,74.93
Modelo J-807,451,324,3202,516295.67,1960,36.8
Modelo K-808,922,290,15792,165264.05,2001,60.95
Modelo L-809,980,237,11053,406032.69,1972,48.45
Modelo M-810,852,433,14958,349175.13,1976,30.35
Modelo N-811,825,116,3336,146947.83,1970,67.02
Modelo P-812,414,417,5625,533846.99,1973,32.48
Modelo Q-813,190,178,12960,400731.08,2002,64.73
Modelo R-814,685,286,10679,319151.4,1994,68.19
Modelo S-815,336,117,7914,234240.86,1978,55.56
Modelo T-816,36,485,13254,545018.5,2009,59.23
Modelo U-817,203,456,3984,23378.21,1964,73.48
Modelo V-818,166,171,7500,203681.44,2021,48.87
Modelo W-819,193,226,11300,523672.62,2011,46.65
Modelo X-820,465,159,11179,168740.71,2016,23.25
Modelo Y-821,672,193,13591,315977.18,2003,38.61
Modelo Z-822,262,145,6586,487088.27,2022,69.04
Modelo A-823,680,283,2581,405787.42,2003,68.43
Modelo B-824,65,184,13811,228772.01,1963,82.53
Modelo C-825,97,114,4721,585426.41,1974,23.42
Modelo D-826,303,414,3069,525884.44,1999,46.68
Modelo E-827,963,333,2359,580281.14,2024,27.78
Modelo F-828,964,469,15510,599148.7,1984,24.92
Modelo G-829,228,398,13712,24780.75,2005,51.79
Modelo H-830,156,449,10222,518056.83,1966,71.02
Modelo J-831,553,235,4775,420811.43,1981,41.21
Modelo K-832,697,101,3713,386420.79,1988,74.03
Modelo L-833,734,434,3491,331380.62,2014,75.08
Modelo M-834,51,192,7567,188450.41,2013,77.56
Modelo N-835,330,289,3230,437105.37,1998,15.02
Modelo P-836,726,178,10105,405850.3,1986,79.61
Modelo Q-837,609,363,2094,49645.0,2012,24.82
Modelo R-838,843,296,3625,462286.86,1991,42.39
Modelo S-839,662,131,7865,243734.8,1984,32.4
Modelo T-840,73,229,4707,578564.05,1995,24.83
Modelo U-841,127,255,12894,447698.17,1979,29.41
Modelo V-842,689,122,5513,459941.99,1961,59.57
Modelo W-843,319,316,9589,75028.14,2020,31.25
Modelo X-844,306,274,14471,88045.73,2018,25.76
Modelo Y-845,773,500,15917,436203.99,1994,81.46
Modelo Z-846,391,70,14729,536303.3,1974,58.88
Modelo A-847,600,268,3759,527601.76,2022,68.09
Modelo B-848,536,165,2688,66815.18,2006,31.89
Modelo C-849,681,485,9102,504474.83,2015,44.52
Modelo D-850,108,376,15174,465418.17,1995,78.33
Modelo E-851,521,377,6387,260492.54,1992,83.82
Modelo F-852,14,92,2656,432160.94,2022,31.99
Modelo G-853,227,303,10684,268753.71,1994,22.28
Modelo H-854,847,449,12608,300399.25,2008,57.46
Modelo J-855,948,495,11937,238813.53,1973,56.32
Modelo K-856,659,456,2615,351740.93,1975,82.67
Modelo L-857,370,172,10504,408476.5,2013,72.07
Modelo M-858,763,417,1653,218173.11,2016,74.66
Modelo N-859,885,343,9564,36806.6,2011,71.92
Modelo P-860,763,371,13740,267601.45,1963,30.12
Modelo Q-861,25,142,11330,568380.61,1972,35.46
Modelo R-862,822,261,1464,441498.56,1992,40.1
Modelo S-863,353,399,6773,584544.04,1991,34.36
Modelo T-864,49,451,6316,283049.67,1993,68.8
Modelo U-865,215,132,10150,465923.21,2001,66.85
Modelo V-866,357,435,13795,492049.63,2023,74.97
Modelo W-867,361,220,11099,329867.34,1989,37.16
Modelo X-868,104,206,15977,437335.29,2011,36.9
Modelo Y-869,655,304,4050,457590.22,1985,33.53
Modelo Z-870,498,412,6744,212145.73,2016,77.7
Modelo A-871,164,436,3761,203814.47,1974,28.29
Modelo B-872,931,208,9292,424633.56,1997,67.97
Modelo C-873,183,325,7520,376805.52,1969,28.9
Modelo D-874,729,96,10797,550097.92,2011,74.65
Modelo E-875,734,124,6573,326704.24,2010,24.31
Modelo F-876,107,247,14844,574303.85,1997,57.94
Modelo G-877,332,92,4683,273883.59,1965,32.21
Modelo H-878,684,129,5485,30420.13,1988,73.33
Modelo J-879,252,162,15338,147112.1,1987,25.18
Modelo K-880,250,201,1340,516655.84,2021,73.66
Modelo L-881,570,262,10031,599047.97,1984,43.86
Modelo M-882,532,484,10517,248775.85,2009,67.28
Modelo N-883,816,411,6963,485004.26,1993,45.19
Modelo P-884,922,236,4845,202290.51,2005,20.39
Modelo Q-885,138,404,6270,518067.65,1991,70.69
Modelo R-886,132,346,2583,588891.45,2024,64.58
Modelo S-887,322,324,2717,487243.34,1989,65.41
Modelo T-888,719,417,11567,586248.41,1988,47.57
Modelo U-889,857,344,1871,284239.74,2016,49.8
Modelo V-890,67,273,3807,27937.38,2017,54.13
Modelo W-891,918,79,6695,293826.47,1978,19.46
Modelo X-892,67,231,12777,176512.87,1992,81.31
Modelo Y-893,29,422,12691,364677.03,2015,64.3
Modelo Z-894,406,118,4525,402153.48,1999,52.69
Modelo A-895,312,395,6415,151050.14,2025,81.24
Modelo B-896,785,123,9841,588404.45,2000,75.39
Modelo C-897,55,362,12667,456362.8,1975,69.22
Modelo D-898,629,86,2042,324916.61,1980,66.28
Modelo E-899,616,177,13676,458910.29,1982,73.5
Modelo F-900,665,65,9109,441270.26,2002,21.24
Modelo G-901,588,256,12484,570182.49,2009,71.34
Modelo H-902,714,245,8772,96028.06,2003,27.81
Modelo J-903,364,209,3906,428748.83,1992,49.98
Modelo K-904,267,144,7576,132355.27,2004,83.99
Modelo L-905,84,374,6565,279260.58,1972,51.67
Modelo M-906,901,60,10931,50627.02,1967,62.79
Modelo N-907,173,98,1028,578705.86,1961,15.33
Modelo P-908,314,246,1453,483022.33,2007,75.16
Modelo Q-909,194,138,11428,378210.35,1983,52.46
Modelo R-910,100,226,15288,414660.93,1979,56.98
Modelo S-911,182,343,15605,272808.09,1982,50.51
Modelo T-912,839,466,8292,32749.88,1964,80.47
Modelo U-913,964,456,2970,487214.83,1999,80.45
Modelo V-914,358,105,12190,120543.8,1981,78.02
Modelo W-915,198,304,10887,105822.78,2003,80.65
Modelo X-916,562,387,14627,242474.82,2017,81.08
Modelo Y-917,568,392,2072,212931.21,2006,24.9
Modelo Z-918,503,468,4085,479521.57,1965,40.08
Modelo A-919,831,295,14821,547155.82,1972,74.34
Modelo B-920,680,96,11728,202523.54,2010,67.98
Modelo C-921,206,379,5629,202385.11,2017,68.45
Modelo D-922,967,199,11261,264396.73,2015,41.39
Modelo E-923,25,301,9048,76026.32,2021,57.68
Modelo F-924,510,206,13883,465883.35,1967,51.93
Modelo G-925,193,71,2461,194665.1,1982,59.87
Modelo H-926,50,428,9753,31358.41,1998,41.94
Modelo J-927,988,230,9810,45674.62,2015,66.7
Modelo K-928,870,318,3921,312616.17,1965,78.75
Modelo L-929,469,100,4042,537028.31,2000,20.11
Modelo M-930,508,154,4387,349120.02,1961,18.17
Modelo N-931,211,245,15750,418292.87,1997,15.33
Modelo P-932,676,173,14330,550418.32,2002,83.91
Modelo Q-933,847,249,4741,232493.51,2011,18.13
Modelo R-934,614,122,5033,378731.79,1993,76.74
Modelo S-935,697,266,10347,430450.87,1999,29.34
Modelo T-936,670,499,13069,549535.67,2012,63.32
Modelo U-937,844,262,7777,235622.08,1984,72.17
Modelo V-938,260,299,10832,21101.38,2010,17.93
Modelo W-939,460,442,3111,402833.37,1988,19.94
Modelo X-940,119,108,3603,542797.03,2022,19.66
Modelo Y-941,336,324,3742,566949.33,1992,81.87
Modelo Z-942,953,416,12387,247949.65,1996,34.93
Modelo A-943,268,341,2777,460178.73,2010,72.6
Modelo B-944,974,153,2417,339528.74,2023,29.06
Modelo C-945,37,315,8683,295109.58,1974,31.01
Modelo D-946,398,476,4022,63910.7,1968,31.92
Modelo E-947,380,365,8177,446932.6,2016,56.79
Modelo F-948,679,71,9251,463572.26,1984,68.8
Modelo G-949,326,421,1716,347748.79,1979,38.89
Modelo H-950,944,178,3875,219818.57,1985,78.11
Modelo J-951,401,78,7226,104562.05,1997,50.39
Modelo K-952,189,165,11276,128688.37,2016,16.77
Modelo L-953,72,275,14818,158779.03,1996,53.98
Modelo M-954,561,123,6202,48177.18,1968,43.69
Modelo N-955,18,323,11134,436482.24,2001,40.93
Modelo P-956,924,123,2700,415325.22,1960,41.68
Modelo Q-957,60,338,14331,241703.45,1975,74.99
Modelo R-958,644,440,1576,344728.67,1969,16.39
Modelo S-959,933,471,8805,563268.4,2009,34.77
Modelo T-960,397,365,8367,547491.03,1990,62.8
Modelo U-961,257,363,6654,588376.7,2018,48.54
Modelo V-962,466,128,9789,529474.92,1988,25.11
Modelo W-963,749,376,3856,578378.22,2009,84.94
Modelo X-964,377,132,13124,27248.22,1998,25.08
Modelo Y-965,421,285,12643,529685.94,1989,84.12
Modelo Z-966,861,114,11264,221470.7,2011,44.48
Modelo A-967,472,263,13016,279602.41,2009,47.45
Modelo B-968,334,222,11901,248346.59,1986,32.22
Modelo C-969,196,414,10312,128842.13,2006,78.02
Modelo D-970,884,330,13516,478365.81,2007,60.08
Modelo E-971,403,159,3315,290085.98,2017,36.02
Modelo F-972,979,476,13690,524014.89,2012,18.56
Modelo G-973,346,161,10038,535605.92,2009,80.6
Modelo H-974,185,271,8257,28943.71,1986,42.02
Modelo J-975,177,391,5478,590425.04,1979,59.89
Modelo K-976,801,344,14120,130718.7,2012,37.15
Modelo L-977,889,175,13099,91374.72,2022,37.14
Modelo M-978,628,440,9693,445160.81,1964,62.33
Modelo N-979,67,452,2404,27557.65,1966,38.21
Modelo P-980,321,96,15775,223667.37,1979,82.06
Modelo Q-981,861,207,2081,227319.94,2000,55.84
Modelo R-982,458,474,8783,213093.15,1982,35.28
Modelo S-983,822,101,10205,108490.26,1979,26.43
Modelo T-984,546,110,15913,376699.0,1980,54.32
Modelo U-985,481,371,12466,590232.27,1991,83.33
Modelo V-986,969,389,3402,546873.12,1972,67.9
Modelo W-987,902,119,7241,291595.66,2021,26.93
Modelo X-988,601,60,12274,592847.24,2006,80.17
Modelo Y-989,586,349,3979,276690.05,1962,82.92
Modelo Z-990,581,393,6633,533078.26,1970,77.05
Modelo A-991,182,85,3210,380058.19,2010,79.17
Modelo B-992,958,106,13959,576842.42,1985,82.31
Modelo C-993,300,214,12655,478777.39,1970,39.83
Modelo D-994,507,459,1261,378789.38,2013,84.42
Modelo E-995,872,236,5140,127333.54,1995,83.74
Modelo F-996,502,62,6219,544902.74,1966,60.46
Modelo G-997,314,408,5310,277624.67,2015,38.63
Modelo H-998,768,189,13447,399165.63,1970,38.3
Modelo J-999,134,66,15287,587275.47,1961,66.42
Modelo K-1000,310,59,7236,131790.8,2020,41.6
Modelo L-1001,712,68,12008,173115.96,2008,38.49
Modelo M-1002,525,461,14985,596287.04,2014,43.5
Modelo N-1003,136,225,6672,435683.51,1984,49.22
Modelo P-1004,86,186,15964,278176.42,1970,71.38
Modelo Q-1005,883,213,9336,539054.2,1962,71.75
Modelo R-1006,781,462,2753,157132.2,1982,41.14
Modelo S-1007,586,128,14131,153613.02,1971,75.46
Modelo T-1008,741,54,1220,445854.56,2003,75.91
Modelo U-1009,73,366,3559,355911.63,2018,59.17
Modelo V-1010,805,219,11894,76912.15,1975,18.93
Modelo W-1011,205,121,13223,557038.73,1983,21.42
Modelo X-1012,4,96,8093,478081.75,1989,29.72
Modelo Y-1013,82,417,7338,202436.9,1984,48.32
Modelo Z-1014,726,151,9115,369192.83,1983,47.84
Modelo A-1015,693,424,10696,521029.81,1967,45.98
Modelo B-1016,7,309,2303,117872.78,1985,33.43
Modelo C-1017,556,499,10427,584043.37,1975,64.2
Modelo D-1018,193,88,4064,511440.54,1989,26.37
Modelo E-1019,857,375,10704,188580.91,2012,50.47
Modelo F-1020,224,196,7988,161805.63,2004,66.48
Modelo G-1021,8,321,11728,535975.3,1992,34.7
Modelo H-1022,67,132,2009,51728.04,2004,78.19
Modelo J-1023,635,80,13380,493356.55,1970,62.18
Modelo K-1024,457,416,1196,586643.08,1971,37.29
Modelo L-1025,939,444,15982,226465.68,1968,54.84
Modelo M-1026,860,422,6227,278710.37,2021,40.93
Modelo N-1027,782,203,9013,198382.68,1984,30.97
Modelo P-1028,44,137,12319,221443.55,2019,76.6
Modelo Q-1029,946,216,14045,510191.74,2011,47.45
Modelo R-1030,464,287,3501,98118.49,2009,44.37
Modelo S-1031,895,62,3284,476135.2,2008,84.28
Modelo T-1032,153,373,7544,228940.38,2015,70.4
Modelo U-1033,928,388,3830,103357.61,1983,30.19
Modelo V-1034,401,58,8737,102691.4,2003,28.84
Modelo W-1035,402,304,3593,192560.45,1995,30.94
Modelo X-1036,622,299,12857,306995.08,2015,81.31
Modelo Y-1037,500,131,11908,49959.84,1973,19.68
Modelo Z-1038,723,215,8810,370573.33,1978,31.46
Modelo A-1039,823,303,4545,258562.07,1961,81.98
Modelo B-1040,163,373,6547,383818.54,2014,57.81
Modelo C-1041,133,356,9677,179909.82,2007,71.5
Modelo D-1042,132,492,7054,345716.7,2020,19.42
Modelo E-1043,379,278,7832,158974.26,2001,63.18
Modelo F-1044,925,496,6120,385814.79,2020,70.08
Modelo G-1045,349,334,10457,479383.54,1984,78.13
Modelo H-1046,801,214,11365,349780.85,1989,64.57
Modelo J-1047,243,362,14325,494499.34,2022,54.43
Modelo K-1048,321,59,9371,530225.98,2009,67.51
Modelo L-1049,330,369,2332,324602.8,2019,57.18
Modelo M-1050,273,422,2096,277948.68,1984,70.39
Modelo N-1051,729,191,3344,227812.74,1967,48.16
Modelo P-1052,649,164,1050,206420.41,2021,54.33
Modelo Q-1053,280,451,6243,298548.16,2000,57.33
Modelo R-1054,205,324,14502,489276.23,1984,82.04
Modelo S-1055,620,355,2972,187937.45,1967,66.48
Modelo T-1056,537,149,14088,309915.61,1991,70.35
Modelo U-1057,718,266,14411,513830.09,1998,33.27
Modelo V-1058,304,123,1414,31860.42,2013,20.51
Modelo W-1059,795,288,15906,595893.15,2017,58.81
Modelo X-1060,161,334,10729,274821.48,2000,22.54
Modelo Y-1061,467,190,5521,130701.7,2018,34.93
Modelo Z-1062,132,350,6288,574321.75,1975,18.67
Modelo A-1063,566,217,8816,230760.87,2000,73.23
Modelo B-1064,564,242,1417,382900.85,2001,42.69
Modelo C-1065,628,217,14698,459910.93,1996,37.68
Modelo D-1066,583,437,1645,531706.87,1967,65.59
Modelo E-1067,136,415,9137,52368.57,1968,24.79
Modelo F-1068,536,102,3676,564971.83,1990,21.43
Modelo G-1069,996,234,6850,212822.46,2012,39.05
Modelo H-1070,505,85,7562,333890.16,2013,59.93
Modelo J-1071,712,252,3539,335637.05,1971,72.01
Modelo K-1072,163,279,2888,461216.98,1993,30.92
Modelo L-1073,661,78,12198,341245.48,1966,60.0
Modelo M-1074,231,407,8842,39800.98,1988,68.1
Modelo N-1075,978,128,15261,95538.77,2000,37.61
Modelo P-1076,650,437,11981,246548.14,2025,68.59
Modelo Q-1077,25,302,11971,433124.17,2013,53.5
Modelo R-1078,205,70,10661,36063.27,1989,55.79
Modelo S-1079,358,53,12498,62167.05,2007,50.64
Modelo T-1080,169,474,7507,139475.32,1960,79.06
Modelo U-1081,638,431,5610,170403.33,2007,50.76
Modelo V-1082,855,131,4302,456190.31,1992,38.41
Modelo W-1083,920,217,5265,244689.98,1996,46.62
Modelo X-1084,618,278,11672,408030.13,2011,29.32
Modelo Y-1085,43,107,7348,485711.95,1986,29.01
Modelo Z-1086,754,341,13243,189686.72,1987,77.07
Modelo A-1087,311,468,6913,286311.17,1989,54.68
Modelo B-1088,259,481,4552,313993.14,1999,15.87
Modelo C-1089,186,474,15096,210350.23,2023,81.28
Modelo D-1090,738,248,6363,282862.34,2010,57.13
Modelo E-1091,943,134,9055,295902.71,1996,70.65
Modelo F-1092,878,391,5071,60439.36,1973,76.91
Modelo G-1093,32,486,11146,44266.4,1961,81.28
Modelo H-1094,311,50,8291,238131.24,1980,21.81
Modelo J-1095,221,238,11580,126609.49,2014,66.93
Modelo K-1096,78,240,5587,259229.91,1962,35.82
Modelo L-1097,921,67,2967,191699.32,1993,46.98
Modelo M-1098,937,459,4353,85390.14,1963,76.62
Modelo N-1099,179,293,1235,80863.26,1990,46.87
