nome,codigo_iso2,codigo_iso3,continente
República de Pastor 4,N7,ATQ,ANTARTICA
República de Almeida da Serra,N8,ATR,ASIA
República de Aragão Grande,N9,ATS,OCEANIA
República de Moura do Campo,NA,ATT,AFRICA
República de Melo 5,NB,ATU,ASIA
República de Vasconcelos de Fonseca,NC,ATV,OCEANIA
República de Machado,ND,ATW,AMERICA_DO_NORTE
República de Pimenta 1,NE,ATX,AMERICA_DO_SUL
República de Siqueira 2,NF,ATY,OCEANIA
República de Marques do Sul,NH,ATZ,AMERICA_DO_NORTE
República de Mendes,NI,AUA,AMERICA_DO_SUL
República de Lima do Campo,NJ,AUB,EUROPA
República de Silva de Macedo,NK,AUC,EUROPA
República de Barros 3,NM,AUD,EUROPA
República de Pereira Grande,NN,AUE,OCEANIA
República de Cardoso 3,NP,AUF,ASIA
República de Pinto Verde,NQ,AUG,AMERICA_DO_SUL
República de Garcia do Galho,NR,AUH,EUROPA
República de Marques do Galho,NS,AUI,ANTARTICA
República de Brito do Campo 1,NT,AUJ,AFRICA
República de Lopes 3,NU,AUK,AMERICA_DO_SUL
República de da Conceição de Jesus,NV,AUL,AMERICA_DO_SUL
República de Marques das Flores,NW,AUM,ASIA
República de Siqueira do Campo,NX,AUN,AMERICA_DO_NORTE
República de Lima Alegre,NY,AUO,ASIA
República de Freitas Grande,O0,AUP,EUROPA
República de Azevedo de Borges,O1,AUQ,AFRICA
República de Borges 3,O2,AUR,AFRICA
República de Brito da Praia 1,O3,AUU,ANTARTICA
República de Novais 2,O4,AUV,ANTARTICA
República de Pastor 5,O5,AUW,EUROPA
República de Rios do Campo 1,O6,AUX,AFRICA
República de Fogaça das Pedras 1,O7,AUY,ASIA
República de da Paz 3,O8,AUZ,OCEANIA
República de Fogaça do Campo,O9,AVA,ASIA
República de Cassiano 2,OA,AVB,OCEANIA
República de Câmara de Caldeira,OB,AVC,EUROPA
República de Novais da Praia 1,OC,AVD,AFRICA
República de Teixeira 3,OD,AVE,ANTARTICA
República de Oliveira de Goiás,OE,AVF,AMERICA_DO_SUL
República de Novais da Prata,OF,AVG,ANTARTICA
República de Pereira 4,OG,AVH,AMERICA_DO_NORTE
República de Alves da Serra,OH,AVI,AMERICA_DO_SUL
República de Sampaio da Mata 1,OI,AVJ,OCEANIA
República de Ferreira do Sul,OJ,AVK,ASIA
República de Casa Grande 2,OK,AVL,ASIA
República de Azevedo Grande,OL,AVM,ANTARTICA
República de Borges 4,OM,AVN,ASIA
República de Garcia 2,ON,AVO,ANTARTICA
República de Marques Alegre 1,OO,AVP,ANTARTICA
República de Freitas 2,OP,AVQ,ASIA
República de Silveira Alegre,OQ,AVR,AMERICA_DO_NORTE
República de Aragão 3,OR,AVS,EUROPA
República de Castro 4,OS,AVT,ASIA
República de Rocha 5,OT,AVU,OCEANIA
República de da Mata 5,OU,AVV,AFRICA
República de Ribeiro de Lima,OV,AVW,ANTARTICA
República de Pereira de Macedo,OW,AVX,AMERICA_DO_NORTE
República de da Mata do Oeste,OX,AVY,ANTARTICA
República de Ferreira 2,OY,AVZ,OCEANIA
República de Camargo da Mata,OZ,AWA,ANTARTICA
República de Moura de Rios,P0,AWB,OCEANIA
República de Aparecida de Goiás,P1,AWC,ANTARTICA
República de Peixoto do Norte,P2,AWD,ASIA
República de Costela,P3,AWE,AFRICA
República de Cunha Grande,P4,AWF,ASIA
República de da Rocha Alegre,P5,AWG,ANTARTICA
República de Abreu 1,P6,AWH,OCEANIA
República de Souza de Lopes,P7,AWI,EUROPA
República de Cardoso 4,P8,AWJ,AMERICA_DO_NORTE
República de Nascimento de Goiás,P9,AWK,ANTARTICA
República de Barbosa das Flores,PA,AWL,EUROPA
República de Lopes 4,PB,AWM,ANTARTICA
República de Marques 5,PC,AWN,AMERICA_DO_NORTE
República de Dias 3,PD,AWO,ASIA
República de Oliveira das Flores,PF,AWP,ASIA
República de da Rocha do Campo,PG,AWQ,ANTARTICA
República de Almeida Alegre,PI,AWR,AMERICA_DO_NORTE
República de Pinto 4,PJ,AWS,AFRICA
República de Sales de Fonseca,PK,AWT,AFRICA
República de Lopes 5,PM,AWU,ANTARTICA
República de da Cruz 6,PN,AWV,ANTARTICA
República de Pastor das Flores,PO,AWW,ANTARTICA
República de Gonçalves 2,PP,AWX,ASIA
República de Souza Alegre,PQ,AWY,ASIA
República de Farias 3,PR,AWZ,EUROPA
República de Barbosa 5,PS,AXA,OCEANIA
República de Moura 1,PU,AXB,ASIA
República de Vasconcelos 3,PV,AXC,AMERICA_DO_NORTE
República de Ferreira Grande,PW,AXD,AFRICA
República de Caldeira 2,PX,AXE,AFRICA
República de da Cunha 2,PZ,AXF,ANTARTICA
República de Cavalcanti 3,Q0,AXG,EUROPA
República de Teixeira 4,Q1,AXH,ANTARTICA
República de Cavalcanti 4,Q2,AXI,AFRICA
República de Martins de Sá,Q3,AXJ,AFRICA
República de Rodrigues de Nunes,Q4,AXK,OCEANIA
República de Pires Alegre,Q5,AXL,AMERICA_DO_SUL
República de Macedo 1,Q6,AXM,AMERICA_DO_NORTE
República de Melo 6,Q7,AXN,OCEANIA
República de Pires de da Rosa,Q8,AXO,ANTARTICA
República de Pastor do Norte,Q9,AXP,AMERICA_DO_SUL
República de Montenegro de Minas,QA,AXQ,AFRICA
República de Martins dos Dourados 1,QB,AXR,EUROPA
República de Araújo 2,QC,AXS,EUROPA
República de da Paz de Minas,QD,AXT,AFRICA
República de Pimenta 2,QE,AXU,ASIA
República de Martins Verde,QF,AXV,AMERICA_DO_SUL
República de Machado 1,QG,AXW,AFRICA
República de Duarte,QH,AXX,EUROPA
República de Montenegro de Cassiano,QI,AXY,EUROPA
República de Machado 2,QJ,AXZ,AMERICA_DO_SUL
República de Fernandes,QK,AYA,AMERICA_DO_NORTE
República de Montenegro 3,QL,AYB,AFRICA
República de Aparecida 2,QM,AYC,OCEANIA
República de Santos 5,QN,AYD,ANTARTICA
República de Macedo de Moura,QO,AYE,AFRICA
República de Fonseca 2,QP,AYF,AMERICA_DO_NORTE
República de da Paz das Flores,QQ,AYG,AMERICA_DO_SUL
República de Vasconcelos Alegre,QR,AYH,AMERICA_DO_SUL
República de Vieira 2,QS,AYI,EUROPA
República de Azevedo Alegre 1,QT,AYJ,AMERICA_DO_NORTE
República de Novais 3,QU,AYK,AMERICA_DO_SUL
República de da Paz Paulista,QV,AYL,ASIA
República de Farias 4,QW,AYM,AFRICA
República de Pacheco 2,QX,AYN,EUROPA
República de Ferreira 3,QY,AYO,OCEANIA
República de Rezende das Flores,QZ,AYP,AMERICA_DO_NORTE
República de Peixoto 3,R0,AYQ,EUROPA
República de das Neves 5,R1,AYR,AMERICA_DO_SUL
República de Ramos Alegre,R2,AYS,ANTARTICA
República de Rios 1,R3,AYT,AMERICA_DO_SUL
República de Ramos 3,R4,AYU,OCEANIA
República de Moraes da Praia,R5,AYV,OCEANIA
República de Fonseca 3,R6,AYW,OCEANIA
República de Cirino do Oeste,R7,AYX,OCEANIA
República de Vargas do Amparo,R8,AYY,OCEANIA
República de Câmara 1,R9,AYZ,ASIA
República de Cassiano 3,RA,AZA,AFRICA
República de da Rocha 2,RB,AZB,AMERICA_DO_NORTE
República de Montenegro 4,RC,AZC,EUROPA
República de Ribeiro 3,RD,AZD,OCEANIA
República de Vargas Grande,RE,AZE,AFRICA
República de Cassiano da Serra,RF,AZF,AMERICA_DO_SUL
República de Sales 1,RG,AZG,AFRICA
República de Silveira 3,RH,AZH,OCEANIA
República de Aparecida de Jesus,RI,AZI,ANTARTICA
República de Rocha de Goiás,RJ,AZJ,EUROPA
República de Pimenta de da Paz,RK,AZK,OCEANIA
República de da Conceição de Nascimento,RL,AZL,AFRICA
República de das Neves 6,RM,AZM,AMERICA_DO_SUL
República de Correia de Freitas,RN,AZN,AFRICA
República de Martins de Vargas,RP,AZO,OCEANIA
República de Vasconcelos das Flores,RQ,AZP,AMERICA_DO_NORTE
República de Castro do Oeste,RR,AZQ,AFRICA
República de da Cunha 3,RS,AZR,AMERICA_DO_NORTE
República de Ramos 4,RT,AZS,OCEANIA
República de Freitas de Novaes,RV,AZT,AFRICA
República de Silva 3,RW,AZU,AMERICA_DO_SUL
República de da Paz 4,RX,AZV,ASIA
República de Teixeira 5,RY,AZW,ASIA
República de da Mata 6,RZ,AZX,AMERICA_DO_NORTE
República de Moraes de Casa Grande,S0,AZY,OCEANIA
República de Borges de Goiás 2,S1,AZZ,AMERICA_DO_NORTE
República de Ferreira de Alves,S2,BAA,OCEANIA
República de Aragão das Flores,S3,BAB,OCEANIA
República de da Costa das Flores,S4,BAC,ASIA
República de Freitas 3,S5,BAD,AMERICA_DO_SUL
República de Alves 3,S6,BAE,AMERICA_DO_SUL
República de Brito Alegre,S7,BAF,AFRICA
República de Carvalho 1,S8,BAG,AMERICA_DO_NORTE
República de da Paz 5,S9,BAH,AMERICA_DO_SUL
República de Sampaio de Carvalho,SB,BAI,ANTARTICA
República de Machado de Pimenta,SC,BAJ,EUROPA
República de Barros 4,SD,BAK,AFRICA
República de da Cunha 4,SF,BAL,AFRICA
República de Cassiano 4,SG,BAM,ASIA
República de Camargo da Mata 1,SH,BAN,AMERICA_DO_NORTE
República de da Rosa 2,SI,BAO,ANTARTICA
República de Aragão 4,SJ,BAP,AMERICA_DO_SUL
República de Leão 3,SK,BAQ,AMERICA_DO_SUL
República de Azevedo de Camargo,SL,BAR,OCEANIA
República de Peixoto de Nascimento,SM,BAS,AFRICA
República de Pires 4,SN,BAT,AMERICA_DO_NORTE
República de Silva 4,SO,BAU,AMERICA_DO_NORTE
República de da Rocha 3,SP,BAV,AMERICA_DO_NORTE
República de Abreu da Praia,SQ,BAW,OCEANIA
República de Oliveira 1,SR,BAX,ASIA
República de Cirino de Minas,SS,BAY,AMERICA_DO_SUL
República de Azevedo do Galho,ST,BAZ,AMERICA_DO_NORTE
República de Gomes 4,SU,BBA,ANTARTICA
República de Aparecida de Porto,SV,BBB,ANTARTICA
República de Freitas Paulista,SW,BBC,OCEANIA
República de Fogaça 2,SX,BBD,ASIA
República de Ferreira 4,SY,BBE,OCEANIA
República de Siqueira 3,SZ,BBF,EUROPA
República de Vargas 1,T0,BBG,AFRICA
República de Carvalho do Norte,T1,BBH,AMERICA_DO_SUL
República de Nogueira Alegre,T2,BBI,OCEANIA
República de Vasconcelos 4,T3,BBJ,OCEANIA
República de Sampaio de Mendes,T4,BBK,AMERICA_DO_SUL
República de Carvalho 2,T5,BBL,AFRICA
República de Silva 5,T6,BBM,EUROPA
República de Andrade de da Rocha,T7,BBN,ANTARTICA
República de Aparecida 3,T8,BBO,ANTARTICA
República de Aparecida 4,T9,BBP,ASIA
República de das Neves do Galho,TA,BBQ,OCEANIA
República de Nogueira do Amparo,TB,BBR,AFRICA
República de Andrade do Oeste,TC,BBS,ASIA
República de Fogaça do Norte,TD,BBT,ANTARTICA
República de da Mata do Campo,TE,BBU,ASIA
República de Lopes das Flores,TF,BBV,ASIA
República de Gomes de Fernandes,TG,BBW,EUROPA
República de Monteiro 1,TI,BBX,EUROPA
República de Freitas de Moreira,TJ,BBY,ASIA
República de Barros das Pedras,TK,BBZ,AMERICA_DO_NORTE
República de Lopes 6,TL,BCA,AMERICA_DO_SUL
República de Nogueira 3,TM,BCB,ANTARTICA
República de Duarte do Campo 1,TN,BCC,ANTARTICA
República de Duarte 1,TO,BCD,EUROPA
República de das Neves dos Dourados,TP,BCE,AMERICA_DO_NORTE
República de Cavalcante dos Dourados,TQ,BCF,AMERICA_DO_NORTE
República de Machado do Norte,TS,BCG,OCEANIA
República de Pimenta das Pedras,TT,BCH,AMERICA_DO_SUL
República de Porto do Norte,TU,BCI,ASIA
República de Rios 2,TV,BCJ,OCEANIA
República de Fonseca do Galho,TW,BCK,OCEANIA
República de Alves 4,TX,BCL,AMERICA_DO_NORTE
República de Pereira 5,TY,BCM,AMERICA_DO_NORTE
República de Andrade de Cardoso 1,TZ,BCN,AMERICA_DO_NORTE
República de da Costa 3,U0,BCO,ASIA
República de Fonseca das Flores,U1,BCP,ASIA
República de Pereira 6,U2,BCQ,OCEANIA
República de Rocha 6,U3,BCR,OCEANIA
República de Freitas de Freitas,U4,BCS,EUROPA
República de Teixeira de Barbosa,U5,BCT,ANTARTICA
República de Moura 2,U6,BCU,ANTARTICA
República de Gonçalves Alegre,U7,BCV,ANTARTICA
República de da Cruz do Campo,U8,BCW,EUROPA
República de Sousa 2,U9,BCX,ANTARTICA
República de Monteiro 2,UA,BCY,AMERICA_DO_NORTE
República de Novais do Campo,UB,BCZ,ASIA
República de Vasconcelos Paulista,UC,BDA,ASIA
República de Cunha de Pimenta,UD,BDB,ANTARTICA
República de Sales do Amparo 1,UE,BDC,OCEANIA
República de Campos 2,UF,BDD,AMERICA_DO_SUL
República de Barbosa 6,UG,BDE,AMERICA_DO_NORTE
República de Cavalcanti de Silva,UH,BDF,EUROPA
República de Borges de Rodrigues,UI,BDG,AMERICA_DO_SUL
República de Rios da Praia,UJ,BDH,ASIA
República de Novaes 1,UK,BDI,ANTARTICA
República de da Rosa da Serra,UL,BDJ,EUROPA
República de Vieira 3,UM,BDK,AMERICA_DO_NORTE
República de Moraes de Goiás,UN,BDL,ASIA
República de Costa 2,UO,BDM,ANTARTICA
República de da Costa 4,UP,BDN,AMERICA_DO_NORTE
República de Alves de Fonseca,UQ,BDO,OCEANIA
República de Martins da Prata,UR,BDP,AMERICA_DO_SUL
República de Pimenta 3,UT,BDQ,AMERICA_DO_SUL
República de Azevedo 4,UU,BDR,AMERICA_DO_SUL
República de Gonçalves do Amparo,UV,BDS,AFRICA
República de Vargas das Pedras 1,UW,BDT,ANTARTICA
República de Cardoso 5,UX,BDU,AMERICA_DO_NORTE
República de Ramos de Minas,UZ,BDV,AMERICA_DO_SUL
República de Martins de Rodrigues,V0,BDW,ANTARTICA
República de Cardoso da Prata,V1,BDX,OCEANIA
República de Vargas 2,V2,BDY,AMERICA_DO_SUL
República de Lopes 7,V3,BDZ,AMERICA_DO_NORTE
República de Campos 3,V4,BEA,ANTARTICA
República de da Rosa 3,V5,BEB,AMERICA_DO_SUL
República de Castro 5,V6,BEC,AMERICA_DO_NORTE
República de Santos de Goiás,V7,BED,ASIA
República de Moreira da Mata,V8,BEE,OCEANIA
República de da Cunha 5,V9,BEF,ANTARTICA
República de Porto 4,VA,BEG,AMERICA_DO_NORTE
República de Cardoso da Mata 1,VB,BEH,AMERICA_DO_NORTE
República de Montenegro 5,VC,BEI,AFRICA
República de Pastor 6,VD,BEJ,ANTARTICA
República de Cavalcante 3,VF,BEK,ASIA
República de Nunes do Norte 1,VG,BEM,ANTARTICA
República de Barros 5,VH,BEN,OCEANIA
República de Ramos 5,VI,BEO,AFRICA
República de Rezende do Oeste,VJ,BEP,ANTARTICA
República de Pinto do Sul,VK,BEQ,ANTARTICA
República de Pires de Nogueira,VL,BER,AMERICA_DO_SUL
República de Ramos da Mata,VM,BES,AMERICA_DO_NORTE
República de da Cruz de Rodrigues,VO,BET,OCEANIA
República de da Rosa dos Dourados,VP,BEU,ASIA
República de Sales 2,VQ,BEV,AFRICA
República de Castro 6,VR,BEW,AMERICA_DO_NORTE
República de Leão de Mendes,VS,BEX,EUROPA
República de Costela de Fernandes,VT,BEY,OCEANIA
República de Dias 4,VU,BEZ,AFRICA
República de Siqueira da Praia,VV,BFA,ASIA
República de Cardoso da Praia 1,VW,BFB,AFRICA
República de Dias 5,VX,BFC,AFRICA
República de Martins 5,VY,BFD,AFRICA
República de da Mata 7,VZ,BFE,AMERICA_DO_SUL
República de da Cruz de Casa Grande,W0,BFF,EUROPA
República de Aragão 5,W1,BFG,ASIA
República de Gomes das Pedras,W2,BFH,ASIA
República de Castro 7,W3,BFI,ASIA
República de Oliveira Alegre,W4,BFJ,AMERICA_DO_NORTE
República de Teixeira 6,W5,BFK,OCEANIA
República de Monteiro 3,W6,BFL,ASIA
República de Monteiro de das Neves,W7,BFM,OCEANIA
República de Almeida de Borges,W8,BFN,ASIA
República de Montenegro dos Dourados,W9,BFO,EUROPA
República de Cunha 3,WA,BFP,AMERICA_DO_NORTE
República de Aragão do Norte,WB,BFQ,AMERICA_DO_NORTE
República de Monteiro do Amparo,WC,BFR,AFRICA
República de Nascimento do Sul,WD,BFS,AMERICA_DO_SUL
República de Lopes 8,WE,BFT,AMERICA_DO_NORTE
República de da Luz 4,WF,BFU,AMERICA_DO_NORTE
República de Teixeira das Flores,WG,BFV,EUROPA
República de Aparecida das Flores,WH,BFW,ASIA
República de Nunes 4,WI,BFX,ANTARTICA
República de Fonseca 4,WJ,BFY,AMERICA_DO_NORTE
República de Barbosa das Flores 1,WK,BFZ,AMERICA_DO_NORTE
República de Teixeira de Novaes,WL,BGA,ANTARTICA
República de Pinto do Campo,WM,BGB,AMERICA_DO_SUL
República de Brito 1,WN,BGC,OCEANIA
República de Freitas Alegre,WO,BGD,EUROPA
República de Sá Grande,WP,BGE,ANTARTICA
República de Pereira 7,WQ,BGF,ANTARTICA
República de Montenegro do Norte,WR,BGG,AMERICA_DO_SUL
República de Andrade 3,WS,BGH,AMERICA_DO_NORTE
República de Silva 6,WT,BGI,AMERICA_DO_NORTE
República de Melo do Galho,WU,BGJ,EUROPA
República de Cassiano de Pereira,WV,BGK,AFRICA
República de Duarte 2,WW,BGL,AFRICA
República de Castro das Flores,WX,BGM,ANTARTICA
República de Pastor Alegre,WY,BGN,AMERICA_DO_NORTE
República de Santos de Nunes,WZ,BGO,ANTARTICA
República de Melo do Sul,X0,BGP,ANTARTICA
República de Farias do Campo,X1,BGQ,AMERICA_DO_NORTE
República de Pacheco da Mata,X2,BGR,AMERICA_DO_SUL
República de Peixoto 4,X3,BGS,OCEANIA
República de da Luz de Rezende,X4,BGT,OCEANIA
República de Silveira 4,X5,BGU,AMERICA_DO_SUL
República de Pacheco 3,X6,BGV,ANTARTICA
República de Cavalcante de Moura,X7,BGW,AMERICA_DO_SUL
República de Casa Grande de Goiás 1,X8,BGX,ASIA
República de Oliveira 2,X9,BGY,AMERICA_DO_NORTE
República de Correia 2,XA,BGZ,ASIA
República de Macedo 2,XB,BHA,AFRICA
República de Leão Grande,XC,BHB,AMERICA_DO_NORTE
República de Sales do Oeste,XD,BHC,AMERICA_DO_NORTE
República de Montenegro do Amparo,XE,BHD,EUROPA
República de Santos 6,XF,BHE,AMERICA_DO_NORTE
República de Moreira 1,XG,BHF,AFRICA
República de Novais 4,XH,BHG,OCEANIA
República de Ribeiro do Amparo,XI,BHH,OCEANIA
República de Dias da Serra,XJ,BHI,ANTARTICA
República de Nascimento de Fernandes,XK,BHJ,AMERICA_DO_NORTE
República de Rocha Paulista 1,XL,BHK,OCEANIA
República de Correia de da Cruz,XM,BHL,ASIA
República de Novais da Mata,XN,BHM,ANTARTICA
República de da Rosa 4,XO,BHN,AMERICA_DO_NORTE
República de Santos do Oeste,XP,BHO,ASIA
República de Dias de Mendes,XQ,BHP,AMERICA_DO_SUL
República de Novais Paulista,XR,BHQ,AMERICA_DO_SUL
República de Campos Verde,XS,BHR,EUROPA
República de Gonçalves da Praia,XT,BHS,AMERICA_DO_NORTE
República de da Rocha 4,XU,BHT,AMERICA_DO_SUL
República de da Paz 6,XV,BHU,AMERICA_DO_SUL
República de Ferreira 5,XW,BHV,OCEANIA
República de Rezende de da Cunha,XX,BHW,EUROPA
República de Cunha de Costa,XY,BHX,EUROPA
República de Novais Paulista 1,XZ,BHY,OCEANIA
República de Caldeira 3,Y0,BHZ,AMERICA_DO_NORTE
República de da Cruz 7,Y1,BIA,ASIA
República de Rios 3,Y2,BIB,ANTARTICA
República de Porto 5,Y3,BIC,AMERICA_DO_NORTE
República de Aragão 6,Y4,BID,ASIA
República de Jesus 3,Y5,BIE,EUROPA
República de Silva do Amparo,Y6,BIF,AFRICA
República de Rodrigues 4,Y7,BIG,AMERICA_DO_NORTE
República de Abreu 2,Y8,BIH,AFRICA
República de Jesus 4,Y9,BII,ASIA
República de Mendes de Rezende,YA,BIJ,AMERICA_DO_NORTE
República de Sá 2,YB,BIK,AFRICA
República de Duarte da Mata,YC,BIL,AFRICA
República de Vargas 3,YD,BIM,ANTARTICA
República de Rezende 2,YE,BIN,AMERICA_DO_NORTE
República de Nascimento 1,YF,BIO,AFRICA
República de Cavalcanti 5,YG,BIP,ANTARTICA
República de Cavalcanti do Norte,YH,BIQ,ANTARTICA
República de Viana do Amparo,YI,BIR,AMERICA_DO_NORTE
República de Souza 4,YJ,BIS,AFRICA
República de Andrade do Sul 1,YK,BIT,ANTARTICA
República de Nunes do Campo,YL,BIU,EUROPA
República de da Paz dos Dourados,YM,BIV,AMERICA_DO_NORTE
República de Carvalho de Montenegro,YN,BIW,EUROPA
República de da Mata de Correia,YO,BIX,OCEANIA
República de Farias 5,YP,BIY,AMERICA_DO_SUL
República de Siqueira 4,YQ,BIZ,EUROPA
República de Ramos de da Cunha,YR,BJA,AFRICA
República de Albuquerque 1,YS,BJB,ASIA
República de Vieira da Mata,YT,BJC,OCEANIA
República de Cavalcanti 6,YU,BJD,EUROPA
República de Lima do Galho,YV,BJE,ANTARTICA
República de Borges das Flores,YW,BJF,OCEANIA
República de Cirino 1,YX,BJG,EUROPA
República de Mendes 1,YY,BJH,ANTARTICA
República de da Cruz do Sul,YZ,BJI,EUROPA
República de Gomes de Goiás,Z0,BJJ,ASIA
República de Sá de da Mata,Z1,BJK,ASIA
República de da Rosa Verde,Z2,BJL,ANTARTICA
República de da Luz 5,Z3,BJM,EUROPA
República de Sales de Goiás,Z4,BJN,AMERICA_DO_SUL
República de Rios 4,Z5,BJO,ASIA
República de Martins 6,Z6,BJP,ASIA
República de Castro das Flores 1,Z7,BJQ,ASIA
República de Sales do Campo,Z8,BJR,AMERICA_DO_NORTE
República de Freitas de Goiás,Z9,BJS,OCEANIA
República de Carvalho 3,ZB,BJT,EUROPA
República de Cassiano de Marques,ZC,BJU,AMERICA_DO_SUL
República de Leão da Prata,ZD,BJV,ASIA
República de Sá de Nascimento,ZE,BJW,AMERICA_DO_NORTE
República de Teixeira 7,ZF,BJX,OCEANIA
República de Rodrigues 5,ZG,BJY,AFRICA
República de Moura 3,ZH,BJZ,ANTARTICA
República de Moura de Santos,ZI,BKA,AFRICA
República de Barbosa Verde,ZJ,BKB,ASIA
República de Araújo 3,ZK,BKC,AMERICA_DO_SUL
República de Oliveira 3,ZL,BKD,AMERICA_DO_SUL
República de Cavalcante 4,ZM,BKE,OCEANIA
República de Moreira dos Dourados,ZN,BKF,OCEANIA
República de Rodrigues 6,ZO,BKG,EUROPA
República de Silva 7,ZP,BKH,ANTARTICA
República de Borges de Moraes,ZQ,BKI,ANTARTICA
República de Araújo de Marques,ZR,BKJ,ASIA
República de Moraes,ZS,BKK,AFRICA
República de Marques Verde,ZT,BKL,EUROPA
República de Novais 5,ZU,BKM,AMERICA_DO_SUL
República de Rocha de das Neves,ZV,BKN,EUROPA
República de Gonçalves 3,ZW,BKO,AFRICA
República de Abreu do Oeste,ZX,BKP,AMERICA_DO_SUL
República de Aparecida 5,ZY,BKQ,OCEANIA
República de Ferreira de Minas,ZZ,BKR,AMERICA_DO_NORTE
