nome,pais_id,tipo_servico,telefone,email,cnpj_vat,ativo,data_contrato
Duarte,312,SEGURANCA,41 9994 4946,jmacedo@brito.edu.br,24.061.879/0001-40,True,2025-01-16
Carvalho Rezende S.A.,727,HANDLING,31 7940-2620,melissa17@sales.br,27.369.184/0001-18,True,2019-02-19
Ferreira Marques S/A,904,TECNOLOGIA,+55 (021) 4129 1828,heitor81@azevedo.gov.br,25.840.937/0001-04,True,2016-12-16
Martins - EI,755,TRANSPORTE,+55 (051) 3046-6001,ryanmoreira@marques.com,23.945.801/0001-25,True,2017-12-10
Alves Rezende Ltda.,774,TRANSPORTE,61 5076-6534,giovanna04@casa.net,46.079.825/0001-44,True,2016-07-14
Monteiro,207,TRANSPORTE,+55 (084) 4724-3586,mendoncajulia@castro.com.br,27.936.051/0001-86,True,2023-01-04
Sampaio,106,COMBUSTIVEL,71 2241 9768,rmoraes@melo.br,12.059.873/0001-59,True,2023-06-10
Moraes Ltda.,768,LIMPEZA,21 9742-2354,ana-lizaragao@silveira.br,68.201.973/0001-22,False,2023-10-13
Pereira,313,HANDLING,11 2549 2064,felipe11@vasconcelos.net,89.147.350/0001-99,True,2023-09-19
das Neves Câmara Ltda.,492,SEGURANCA,0900 488 2188,larissa80@guerra.org,05.169.874/0001-90,True,2019-02-27
das Neves,992,TECNOLOGIA,+55 (081) 4123-0160,sarah60@monteiro.com.br,86.071.592/0001-58,True,2019-11-06
Peixoto - ME,353,CONSULTORIA,81 9990-1140,costelaana-cecilia@camargo.net,17.943.650/0001-73,True,2018-03-16
Cassiano,177,MANUTENCAO,11 9084 1947,emanuella01@costela.br,35.280.694/0001-42,True,2025-11-29
Moreira,49,LIMPEZA,+55 (011) 7279 0371,bcaldeira@novaes.edu.br,17.296.435/0001-28,True,2024-08-08
Vasconcelos,183,LIMPEZA,+55 71 8375 3076,abreuluiz-otavio@novaes.com,85.934.076/0001-47,True,2020-10-15
Correia,983,TECNOLOGIA,+55 84 3622 1690,qpereira@novaes.br,74.653.091/0001-09,True,2022-06-26
Lopes - EI,395,SEGURANCA,+55 71 3952 1501,jda-rosa@barbosa.com,70.312.854/0001-99,True,2021-03-20
Sampaio Souza e Filhos,223,MANUTENCAO,+55 61 9839 2484,camarabenicio@da.com.br,61.028.754/0001-44,True,2022-09-07
Garcia - ME,873,HANDLING,21 8646 3395,ana-luizanovaes@borges.br,01.436.285/0001-70,True,2025-01-07
Campos,831,CONSULTORIA,(051) 7385 5128,machadomarina@brito.com,35.740.261/0001-22,True,2019-01-19
Porto,463,LIMPEZA,+55 (061) 9723 6024,luara54@vargas.br,72.089.354/0001-65,True,2024-04-03
Araújo Montenegro - ME,68,COMBUSTIVEL,+55 71 5647 8370,gael-henriquemendonca@das.net,80.237.956/0001-40,True,2021-12-08
Rios,982,CONSULTORIA,+55 (061) 6029-2546,ccasa-grande@novais.com,76.821.039/0001-31,True,2022-11-02
Casa Grande Mendes S/A,771,CATERING,+55 (084) 5386-7625,pedro-henriquemoura@silveira.edu.br,70.659.823/0001-09,True,2025-04-27
Pastor,997,CONSULTORIA,+55 31 2055-3405,rodriguessabrina@melo.br,15.732.084/0001-25,True,2021-11-21
Machado,593,MANUTENCAO,+55 (081) 7897 7554,luizabarbosa@da.org,29.713.658/0001-22,True,2019-12-05
Araújo Santos S.A.,432,TECNOLOGIA,+55 (051) 2711-1757,hpereira@caldeira.br,20.417.598/0001-26,True,2021-05-02
Novaes,263,LIMPEZA,71 9830 5216,costelaluiz-henrique@alves.br,98.072.134/0001-12,False,2024-11-05
Araújo - ME,975,COMBUSTIVEL,71 0177-0316,maitevasconcelos@fernandes.com,04.316.789/0001-45,True,2020-09-26
Garcia,96,TECNOLOGIA,0500 317 2947,jda-costa@nogueira.gov.br,06.529.183/0001-13,True,2025-10-10
Caldeira,855,MANUTENCAO,0500-393-2727,valentinaborges@oliveira.net,50.467.389/0001-58,False,2023-09-28
Machado,80,CATERING,61 5272 8453,nda-luz@almeida.br,08.629.341/0001-32,True,2023-06-10
Cavalcante S/A,118,CATERING,71 0192-9022,freitasana-clara@pinto.org,80.316.259/0001-85,True,2019-12-05
Abreu Cavalcante S.A.,785,SEGURANCA,11 1025 5501,barbarada-paz@vieira.com.br,03.647.528/0001-45,True,2019-12-17
Sá Vasconcelos S.A.,50,HANDLING,+55 (071) 2436-2962,nascimentobenjamim@nunes.com.br,83.172.509/0001-49,True,2026-04-13
Macedo Ltda.,946,CATERING,0300-659-9920,casa-granderyan@guerra.net,17.824.650/0001-54,True,2017-07-14
Gomes S.A.,349,TRANSPORTE,0300-419-3759,pastorjoao@goncalves.com.br,31.728.954/0001-49,True,2021-01-30
Dias,548,TRANSPORTE,+55 (021) 8646-1209,ccampos@alves.gov.br,28.491.603/0001-52,True,2019-03-31
Azevedo Ltda.,92,CATERING,+55 31 5505-1432,pachecogustavo-henrique@da.gov.br,08.734.615/0001-53,True,2024-05-07
Freitas Sales e Filhos,863,CONSULTORIA,+55 61 2218-8345,pastorluiz-miguel@da.br,70.635.918/0001-92,True,2020-05-28
Pastor Pastor - EI,484,LIMPEZA,(021) 5159-0257,luana40@porto.edu.br,58.369.417/0001-06,True,2023-11-09
Carvalho,792,LOGISTICA,71 2084 6729,eloadas-neves@vasconcelos.com.br,51.684.790/0001-02,True,2022-05-19
Sá S/A,588,LIMPEZA,61 2562-4728,lcorreia@cirino.gov.br,01.268.579/0001-30,True,2021-04-23
Peixoto Albuquerque S/A,9,LIMPEZA,0500-662-7026,qabreu@aragao.gov.br,56.310.724/0001-96,True,2017-02-01
Silva S.A.,220,LIMPEZA,0800-101-9335,stephanypinto@carvalho.com.br,71.849.302/0001-87,True,2017-03-19
Almeida,542,LOGISTICA,51 2770 5646,rodrigueslarissa@melo.com.br,26.415.790/0001-60,True,2016-09-01
da Conceição,952,CATERING,(061) 2346-1762,henrycostela@viana.com,94.850.326/0001-51,True,2019-10-28
Gomes Ltda.,420,CONSULTORIA,+55 84 4137-2776,maria-liz60@sales.net,49.280.735/0001-05,True,2024-06-21
Fernandes,728,TRANSPORTE,+55 41 8870 1799,luiz-felipeda-rosa@aparecida.edu.br,37.426.098/0001-53,True,2020-02-22
Ferreira,485,TRANSPORTE,(011) 5386-9479,cavalcanteelisa@vargas.edu.br,53.671.809/0001-01,True,2024-05-16
Costa Moreira - ME,219,CONSULTORIA,+55 81 1009-5385,maria-luisa42@goncalves.org,35.067.419/0001-45,True,2025-06-30
da Luz e Filhos,611,LIMPEZA,(011) 0476-1437,yuri37@goncalves.br,18.765.239/0001-18,True,2023-06-19
Cardoso,103,SEGURANCA,51 3681 5418,pietra99@araujo.br,72.104.856/0001-18,True,2024-02-24
Almeida,781,COMBUSTIVEL,(021) 3566 0503,liviada-mata@pastor.edu.br,39.086.517/0001-80,True,2023-04-20
Sampaio,672,SEGURANCA,+55 71 8222 6679,enrico90@moraes.gov.br,86.514.209/0001-99,True,2024-06-05
Oliveira Leão S.A.,243,SEGURANCA,(031) 2898 7605,augusto49@carvalho.br,04.675.932/0001-95,True,2023-12-14
Jesus - ME,596,COMBUSTIVEL,+55 (084) 2016-2907,luiz-gustavovargas@rocha.com.br,82.704.139/0001-80,True,2021-11-29
Vargas da Conceição - ME,416,CATERING,+55 31 7086 4942,spastor@alves.com.br,98.305.124/0001-80,True,2016-09-29
da Paz Ltda.,272,TECNOLOGIA,0300 967 0692,pimentacarolina@correia.com,54.271.863/0001-22,True,2020-08-04
Sampaio S.A.,972,COMBUSTIVEL,+55 11 7816 7806,rramos@rocha.gov.br,80.135.274/0001-27,True,2025-02-10
Farias S/A,149,LIMPEZA,+55 (081) 7017-0926,bryan70@alves.edu.br,08.137.652/0001-84,True,2019-03-28
Novaes,731,SEGURANCA,+55 (051) 4485-0072,leo74@barbosa.edu.br,06.154.398/0001-05,True,2024-06-14
Gonçalves,650,CONSULTORIA,+55 81 0808 2039,marquesdanilo@leao.org,49.328.716/0001-01,True,2020-09-21
Moreira,286,TECNOLOGIA,(084) 0120-4242,pedro69@pacheco.com,37.510.629/0001-91,True,2024-02-05
Santos,684,SEGURANCA,+55 (081) 3967 0243,idias@aparecida.br,53.624.081/0001-67,True,2021-02-25
da Cruz - ME,538,HANDLING,+55 81 8821-5977,rafaelafreitas@silva.br,62.319.705/0001-23,True,2023-04-12
Pereira,405,CONSULTORIA,0900-864-9125,maria-vitoria22@da.gov.br,86.213.490/0001-20,True,2022-12-13
Gonçalves,753,SEGURANCA,+55 11 7996 2356,agathada-cruz@duarte.com.br,76.953.814/0001-02,True,2023-10-19
da Rosa S/A,337,COMBUSTIVEL,+55 51 4820 8493,duartemurilo@teixeira.com,26.078.591/0001-03,True,2017-04-06
Guerra,182,COMBUSTIVEL,+55 (011) 9143-0491,ana-claracampos@costela.com.br,97.518.430/0001-31,True,2016-12-25
Ramos,475,LIMPEZA,(061) 6422 4059,danielmoreira@da.com,97.634.028/0001-12,True,2023-03-27
Nunes Vasconcelos - EI,601,COMBUSTIVEL,+55 (051) 5682 0175,andremachado@jesus.com,86.531.207/0001-08,True,2020-08-20
Mendonça,389,CATERING,+55 61 1253-1379,jade10@monteiro.br,32.198.076/0001-60,True,2017-11-19
Aparecida Casa Grande e Filhos,225,MANUTENCAO,(071) 9991 9387,ottomarques@correia.com.br,24.893.601/0001-39,True,2024-10-23
Alves,88,SEGURANCA,(031) 8623-5107,eduarte@viana.gov.br,08.593.142/0001-11,True,2022-04-28
da Mata Ltda.,548,LIMPEZA,51 3409 1858,ferreiracecilia@siqueira.com.br,15.726.438/0001-29,True,2022-08-22
Pereira Rios S/A,805,SEGURANCA,61 0770 0409,apollosilva@dias.org,18.409.756/0001-54,True,2017-10-21
Rodrigues S.A.,119,LIMPEZA,0900 662 0385,rrodrigues@ribeiro.edu.br,80.237.159/0001-63,True,2022-12-02
Sales,616,HANDLING,(021) 9333-5623,correiamaria-helena@da.com.br,08.963.572/0001-88,True,2025-12-01
Aparecida,376,LIMPEZA,0300-201-9918,pedro-miguel11@rodrigues.br,19.542.673/0001-00,True,2017-03-21
Castro,742,CONSULTORIA,71 3211 9604,rrodrigues@casa.net,97.036.245/0001-00,True,2021-02-26
Mendes,857,MANUTENCAO,+55 (081) 8231 7146,pintocamila@oliveira.com.br,76.813.945/0001-94,True,2026-03-22
Abreu,859,CATERING,21 3026 1840,evelynmendonca@abreu.net,68.902.734/0001-08,True,2017-02-15
Gonçalves,814,TECNOLOGIA,+55 41 6050-2816,antony98@albuquerque.gov.br,01.295.863/0001-04,True,2022-08-17
Almeida Pereira Ltda.,882,MANUTENCAO,(081) 2375 9795,henry-gabrieloliveira@goncalves.gov.br,86.013.259/0001-92,False,2021-11-21
da Mata,636,TECNOLOGIA,0900 205 4894,bella38@campos.com,81.625.793/0001-36,True,2021-03-26
Gonçalves,247,CONSULTORIA,71 2295 2179,uaragao@garcia.com,36.189.725/0001-17,True,2023-08-13
Machado S/A,219,SEGURANCA,(021) 7266 0235,fonsecamirella@alves.com,53.078.164/0001-06,True,2024-11-15
Dias - ME,405,LIMPEZA,+55 (071) 5879 0522,ana-julia13@pastor.br,94.053.287/0001-61,False,2018-01-26
Sales,491,HANDLING,(061) 9057-1918,vlopes@silva.br,93.628.014/0001-35,True,2021-11-25
da Luz,971,MANUTENCAO,84 7680-5702,maria-lizmelo@nogueira.net,01.289.476/0001-57,True,2024-09-25
Cunha Correia S.A.,837,CONSULTORIA,0500-732-3964,bruno28@duarte.com.br,67.948.120/0001-96,True,2023-11-22
da Costa,676,CONSULTORIA,0900-238-5202,luiz-otavioalmeida@da.com,16.398.425/0001-30,True,2018-10-09
da Rosa Monteiro e Filhos,563,LIMPEZA,+55 11 9982 9075,enzo-gabriel54@cardoso.br,07.534.896/0001-38,True,2025-10-17
Campos Alves S/A,701,CONSULTORIA,61 4332 2622,dmachado@cunha.net,16.038.257/0001-72,True,2023-12-15
Costela - EI,523,MANUTENCAO,21 0360 5952,joao-gabriel41@porto.com.br,40.237.861/0001-02,True,2022-08-29
Lima Marques - ME,741,HANDLING,+55 84 5906 2003,zcorreia@porto.com.br,64.950.231/0001-49,False,2021-10-11
Ramos,242,CONSULTORIA,0900 318 3997,eduardo49@andrade.gov.br,95.802.416/0001-30,True,2023-07-06
da Rocha,545,HANDLING,+55 11 2239-4612,castroagatha@ribeiro.br,94.512.087/0001-20,True,2017-08-31
Rodrigues Machado - ME,372,CATERING,+55 (031) 2398-4742,carolinagoncalves@souza.edu.br,71.286.340/0001-79,True,2022-01-11
Azevedo,122,HANDLING,51 8061 3495,ddas-neves@goncalves.com,58.693.427/0001-00,True,2022-12-31
Rocha Nogueira S.A.,89,SEGURANCA,+55 (011) 9723 6108,oliveirajoao-miguel@barros.br,62.073.841/0001-86,True,2024-01-25
da Mota,472,LOGISTICA,(071) 7865 5575,cavalcantithomas@lopes.org,09.834.625/0001-23,True,2023-06-24
da Rocha Rodrigues S/A,789,TRANSPORTE,11 1665 4512,theoda-rosa@azevedo.com.br,87.401.592/0001-31,True,2023-05-03
Almeida,481,TRANSPORTE,31 3570-1703,ccorreia@da.com,38.601.729/0001-96,True,2017-03-30
Alves Pereira Ltda.,692,TECNOLOGIA,+55 (084) 3490 9619,fpeixoto@carvalho.com.br,45.297.013/0001-02,True,2023-01-15
Moura,182,SEGURANCA,+55 (021) 4507 3567,nicole09@monteiro.gov.br,34.028.579/0001-12,True,2023-10-09
Cavalcante e Filhos,518,COMBUSTIVEL,0800-442-0315,brendamoreira@pimenta.com.br,07.362.198/0001-00,True,2018-01-21
Rios,313,SEGURANCA,(051) 7486-7595,ribeiroana-luiza@moraes.com.br,48.210.967/0001-24,True,2021-11-11
Sampaio,420,HANDLING,31 4196-2332,valves@silveira.edu.br,64.239.578/0001-88,True,2019-12-27
Macedo S.A.,867,SEGURANCA,+55 (011) 6629 3151,martinsvalentina@da.br,59.437.801/0001-61,True,2019-01-07
Carvalho Marques e Filhos,464,HANDLING,+55 (011) 3717-9890,luigida-conceicao@rocha.com.br,90.853.246/0001-07,True,2025-08-22
Araújo,36,COMBUSTIVEL,81 4779-5417,umonteiro@costa.gov.br,81.063.952/0001-56,True,2017-07-19
Pacheco,395,MANUTENCAO,+55 (084) 5790 8945,zcavalcante@montenegro.edu.br,76.340.152/0001-03,True,2024-07-26
Barros,268,HANDLING,+55 (021) 3961-2190,felipe88@cassiano.gov.br,89.675.014/0001-19,True,2024-09-23
Guerra - ME,342,CATERING,0300-010-7923,jvasconcelos@gomes.net,34.652.890/0001-38,True,2020-07-18
Aparecida,672,LIMPEZA,84 7578 9683,camilafogaca@albuquerque.com.br,79.350.146/0001-17,True,2021-11-29
Fernandes,930,CONSULTORIA,+55 (061) 5705 2187,pietrada-mota@da.com,45.306.281/0001-43,True,2024-08-22
Rezende e Filhos,819,LOGISTICA,+55 51 2350 3687,duarteisabel@souza.gov.br,79.840.162/0001-98,True,2021-07-25
Fogaça,515,SEGURANCA,(011) 8446-7940,laviniasilveira@da.com.br,01.687.425/0001-83,True,2020-02-20
Montenegro,210,COMBUSTIVEL,+55 (084) 1597-5729,lunada-conceicao@moraes.edu.br,30.248.769/0001-94,True,2021-08-05
da Conceição da Conceição S.A.,55,HANDLING,(031) 1651 8548,luanagomes@martins.org,46.752.318/0001-20,True,2018-07-02
Souza,251,CATERING,0500 584 1749,limadavi-lucas@abreu.br,02.894.637/0001-02,True,2025-10-21
Ramos Ltda.,533,CONSULTORIA,+55 41 3447 6094,mariahmachado@alves.com.br,29.685.140/0001-22,True,2018-12-30
Porto,25,CONSULTORIA,(084) 0996 2183,cgarcia@campos.gov.br,69.830.517/0001-04,True,2023-02-15
da Mota Cavalcanti S/A,670,LIMPEZA,+55 84 2234 9980,costelaluna@novaes.net,67.548.091/0001-75,True,2024-02-11
Duarte S.A.,41,LIMPEZA,(031) 4614 4092,samuelvasconcelos@azevedo.br,46.532.180/0001-53,True,2018-04-16
da Cruz,945,SEGURANCA,(084) 2631-9956,eduarda92@mendonca.br,41.970.582/0001-16,True,2021-12-02
Cavalcanti e Filhos,829,TECNOLOGIA,(071) 5134 4486,lcasa-grande@oliveira.br,39.126.584/0001-81,True,2017-11-04
Rodrigues,938,CONSULTORIA,(081) 4932-5114,hmoura@pastor.com.br,53.179.024/0001-16,True,2026-05-04
da Paz,840,TRANSPORTE,+55 51 7766 1830,milena00@silveira.edu.br,73.129.405/0001-06,True,2017-12-26
da Cunha S.A.,207,LOGISTICA,(021) 7862-1078,novaesmaria-alice@aparecida.gov.br,68.532.174/0001-39,True,2017-04-26
Ramos,169,TRANSPORTE,81 0269-3315,luiz-henrique30@andrade.com,23.014.895/0001-19,True,2022-02-13
Rocha Ltda.,460,SEGURANCA,+55 84 2411 4206,cmendes@dias.org,52.073.916/0001-75,False,2025-04-02
Cardoso Carvalho S.A.,953,CATERING,+55 84 0053-9222,freitasgabriela@rezende.gov.br,90.187.246/0001-07,True,2020-03-22
Correia S.A.,613,TECNOLOGIA,+55 (051) 5286-1323,bruna64@cardoso.net,42.687.931/0001-50,True,2016-07-02
da Luz Pacheco - EI,336,SEGURANCA,(021) 6342-0953,dsa@pires.com.br,34.518.967/0001-81,True,2023-04-22
Farias e Filhos,420,LIMPEZA,+55 (051) 6655-9147,xcastro@porto.gov.br,69.402.358/0001-47,True,2020-08-28
Pacheco,850,CONSULTORIA,31 2474 6653,oliver89@cardoso.com.br,98.571.620/0001-85,True,2023-01-09
Pastor,19,COMBUSTIVEL,+55 (021) 4157-1276,agathacamara@da.net,46.597.312/0001-25,True,2026-04-01
Jesus S/A,223,HANDLING,61 8249 7939,leaogael@camara.gov.br,81.934.760/0001-78,True,2016-11-30
Almeida Monteiro S.A.,194,CATERING,(071) 2607-2014,jmendes@novais.br,43.170.285/0001-11,True,2021-06-26
Gonçalves,347,MANUTENCAO,+55 (061) 5429-2645,mcostela@marques.com.br,94.013.825/0001-94,True,2017-10-11
Cirino e Filhos,204,TRANSPORTE,81 6497 1967,jesusisis@cunha.gov.br,10.938.726/0001-23,True,2016-11-20
Guerra e Filhos,399,TRANSPORTE,+55 51 9949 0133,yagoda-mata@melo.com.br,73.490.256/0001-06,True,2025-09-12
Borges,477,CATERING,+55 (081) 1679 3014,caldeiraisadora@da.gov.br,91.072.863/0001-20,True,2025-06-06
Leão,650,HANDLING,+55 71 6801 9903,joao-pedro13@montenegro.com.br,54.810.629/0001-26,True,2017-09-09
Araújo,306,SEGURANCA,(081) 9179-1386,barrosayla@brito.com.br,17.986.024/0001-64,False,2018-09-21
Martins,645,COMBUSTIVEL,+55 (011) 2881 4112,tpires@carvalho.br,13.684.279/0001-11,True,2021-06-06
Correia,180,LIMPEZA,0500-138-1074,ribeirogabrielly@viana.org,23.907.568/0001-96,True,2020-06-16
Farias S.A.,635,SEGURANCA,(071) 0696 2616,catarina52@cavalcanti.com.br,74.109.285/0001-30,True,2017-07-10
Pacheco,339,TECNOLOGIA,71 9948-8566,natalia99@araujo.com,95.632.714/0001-29,True,2022-08-12
Casa Grande,912,HANDLING,+55 (061) 7172-6625,bfonseca@garcia.com.br,07.958.623/0001-10,True,2021-02-01
Câmara S/A,233,LIMPEZA,41 8624 0871,abreujuliana@nogueira.gov.br,04.137.859/0001-06,True,2024-06-11
Cavalcante,830,LOGISTICA,+55 (071) 8115-2232,luiz-miguelcavalcanti@da.org,75.241.960/0001-42,True,2016-06-10
Borges,901,HANDLING,+55 (051) 8479 1351,da-cruzcecilia@vasconcelos.net,57.219.460/0001-22,True,2023-11-06
Campos,158,TRANSPORTE,21 7809 7830,valentinaalmeida@alves.com,94.512.078/0001-39,True,2025-02-07
Rezende Ltda.,611,SEGURANCA,(011) 7867 4280,enzo-gabrielramos@almeida.com.br,57.091.382/0001-23,True,2018-11-25
Câmara e Filhos,15,HANDLING,0900-743-6990,bianca85@monteiro.com.br,54.082.176/0001-69,True,2023-09-25
Sales Ltda.,836,MANUTENCAO,11 2898 6061,gomesbianca@marques.net,37.429.081/0001-50,True,2021-11-01
Macedo Leão S/A,56,TECNOLOGIA,+55 21 6814-9802,pedro-lucas08@correia.br,62.987.531/0001-77,True,2019-06-27
Albuquerque,574,LOGISTICA,61 4232-4234,vargasbenicio@barros.br,24.159.673/0001-57,True,2018-04-04
Nascimento,593,CONSULTORIA,(081) 5749 0627,kalbuquerque@cavalcante.br,70.361.542/0001-75,True,2022-03-02
Fogaça,975,CONSULTORIA,+55 (061) 3158-2863,da-motaasafe@pereira.com,91.780.325/0001-90,True,2018-10-12
Alves da Rosa S/A,747,LOGISTICA,81 7821 5392,mgarcia@melo.net,25.017.649/0001-46,True,2017-03-09
Nascimento,573,TRANSPORTE,11 0220 6190,oliveirarhavi@cunha.net,79.140.562/0001-90,True,2016-10-14
Santos Pacheco e Filhos,518,CONSULTORIA,(081) 6162 2564,gazevedo@fogaca.gov.br,40.796.158/0001-34,True,2021-04-11
Siqueira,101,CATERING,+55 11 2316-7781,bianca64@siqueira.org,37.065.821/0001-16,True,2019-10-01
Barros e Filhos,695,HANDLING,(041) 7666-5052,wramos@azevedo.com,02.165.834/0001-82,True,2017-05-09
Ribeiro,911,LIMPEZA,+55 11 9022 3116,jpires@alves.br,76.321.540/0001-39,True,2024-09-09
Nogueira Ltda.,292,SEGURANCA,0800 212 6848,kamilly37@barros.com.br,24.306.517/0001-71,True,2022-02-22
Nunes Sá - EI,33,HANDLING,0300 231 3246,milena66@cardoso.com.br,41.759.836/0001-51,True,2022-03-31
Fernandes S.A.,217,TRANSPORTE,51 2011 4065,lizgoncalves@cirino.br,73.501.894/0001-77,True,2021-10-17
Câmara,261,COMBUSTIVEL,+55 51 7565 6976,sarah78@pastor.br,29.467.850/0001-86,True,2016-10-14
Jesus,807,MANUTENCAO,+55 84 5069 2965,vnascimento@casa.com,62.735.918/0001-36,True,2020-05-09
Sampaio,19,TECNOLOGIA,+55 (031) 9793 4421,henryda-rosa@viana.gov.br,50.216.739/0001-03,True,2025-10-11
da Paz Ltda.,509,SEGURANCA,11 9725-1840,nalves@rezende.com,14.785.960/0001-19,True,2023-12-26
Sales Araújo - EI,918,CATERING,+55 81 5167-6706,joanapires@rios.br,30.187.569/0001-79,False,2025-03-25
Montenegro,675,HANDLING,+55 81 2648-3336,krocha@almeida.com.br,82.635.017/0001-80,False,2016-07-26
Porto,666,CONSULTORIA,+55 61 9469-2085,kda-mota@camargo.com,45.197.206/0001-91,True,2016-06-07
Caldeira Ltda.,806,CATERING,(021) 6175 8080,sabrinasiqueira@da.gov.br,10.482.967/0001-00,True,2023-04-27
Moraes,454,CONSULTORIA,(081) 1353 8148,maria-lizdas-neves@dias.br,80.394.651/0001-42,True,2025-03-15
Garcia,233,CONSULTORIA,(011) 7177 8401,cassianomaria-eduarda@guerra.edu.br,83.750.964/0001-84,True,2022-08-23
Lima,486,LOGISTICA,41 6119-9767,raquel33@jesus.com.br,05.924.167/0001-62,True,2020-10-07
Ramos,86,CATERING,71 1956-5728,thales53@pacheco.com.br,82.413.560/0001-32,True,2024-05-19
Farias,521,HANDLING,84 0158-4668,npereira@vasconcelos.com,28.516.374/0001-83,True,2022-12-15
Pastor,961,HANDLING,84 3451-5025,rafaelafreitas@lima.com,30.761.894/0001-01,True,2016-07-21
Teixeira,26,HANDLING,+55 21 8277-7711,joao-lucas52@rezende.edu.br,63.094.751/0001-34,True,2017-10-30
Barbosa Aragão S.A.,175,SEGURANCA,+55 84 2344-7305,qsales@melo.com,96.154.830/0001-42,True,2022-10-26
Santos,458,LOGISTICA,0800-656-6764,pereiragabriela@correia.com,05.217.638/0001-00,True,2022-08-15
Vasconcelos Marques - EI,46,SEGURANCA,+55 (081) 2219-1439,marquesasafe@sales.org,73.609.284/0001-91,True,2026-05-26
Barros Ltda.,315,TECNOLOGIA,+55 (051) 1016 2600,carvalhoisadora@novais.gov.br,34.728.910/0001-07,True,2021-11-02
Montenegro,267,CATERING,21 3571-9214,kmelo@da.net,86.972.140/0001-47,True,2019-12-14
Monteiro e Filhos,881,LOGISTICA,+55 84 6652 8246,vinicius92@rios.com,40.867.152/0001-00,True,2023-01-27
Borges Ltda.,835,CONSULTORIA,41 0519 0854,joao-pedromonteiro@guerra.net,03.827.156/0001-39,True,2019-11-01
Borges S/A,868,COMBUSTIVEL,+55 (081) 0908 9931,hmoreira@das.com,28.395.601/0001-60,True,2025-09-01
Pinto Rodrigues S/A,964,TRANSPORTE,0900-304-3766,da-cruzlara@cavalcante.edu.br,08.176.395/0001-90,True,2026-02-24
Vasconcelos,851,LIMPEZA,(051) 4705-3110,agatha33@pimenta.br,37.410.852/0001-67,True,2021-08-31
Rios Lima - EI,118,MANUTENCAO,+55 31 7650-1676,gsales@mendes.br,28.371.690/0001-04,True,2017-11-29
Vasconcelos,787,CONSULTORIA,+55 (031) 7629-2266,gmacedo@nunes.com.br,37.609.218/0001-58,False,2025-10-12
Martins Ltda.,65,TRANSPORTE,0800 935 9812,carolina97@martins.com,65.732.018/0001-23,True,2022-09-14
Dias S/A,289,CATERING,+55 11 4171 6578,davi-miguelcarvalho@goncalves.br,18.705.623/0001-25,True,2023-09-16
Araújo e Filhos,490,TRANSPORTE,21 0092 4492,fnovais@porto.br,03.961.457/0001-50,True,2018-07-09
Siqueira S.A.,236,CATERING,(081) 0186 0742,guerracatarina@cirino.com.br,36.980.451/0001-80,True,2019-04-12
Albuquerque - ME,709,CONSULTORIA,+55 (081) 0242-6624,pfonseca@vieira.com.br,40.537.821/0001-86,True,2023-01-26
Jesus,794,CONSULTORIA,11 4068-7354,esther34@silveira.com,46.897.325/0001-10,True,2019-10-19
Montenegro,105,HANDLING,+55 (081) 4835-8626,bcunha@da.edu.br,53.209.841/0001-70,True,2025-05-05
Abreu,830,CONSULTORIA,31 9432-6983,ana-clara36@nascimento.com,50.428.697/0001-74,True,2019-05-24
Guerra,978,LOGISTICA,(061) 2007-3429,calebsampaio@machado.net,72.589.603/0001-81,True,2025-12-25
Azevedo - ME,479,TRANSPORTE,+55 84 5851 5020,caroline02@das.br,31.294.780/0001-53,True,2024-10-11
Correia,862,TECNOLOGIA,+55 21 1123 5904,isadorafogaca@marques.edu.br,69.285.704/0001-54,True,2017-04-15
Monteiro,444,HANDLING,+55 21 8385-5451,lorena09@pacheco.br,19.752.648/0001-42,True,2020-02-28
Sampaio,456,SEGURANCA,+55 (051) 6272 8167,thalesmacedo@gomes.com,21.563.974/0001-53,True,2019-04-04
da Cunha,753,TRANSPORTE,+55 41 2608 4818,kgoncalves@pastor.com,63.148.705/0001-70,True,2022-02-18
Lopes e Filhos,452,LOGISTICA,11 0450-5998,joserocha@macedo.net,12.389.405/0001-42,True,2024-12-16
Borges,430,MANUTENCAO,(021) 2025 9364,caleb28@viana.com,34.297.561/0001-16,True,2024-05-10
Pereira Pimenta S/A,104,TRANSPORTE,+55 61 5490 4431,ana-clarada-cruz@pimenta.br,31.056.894/0001-65,True,2018-06-09
Duarte S/A,407,COMBUSTIVEL,81 2917 9265,machadopaulo@moraes.com,91.054.382/0001-91,True,2019-01-24
Brito Pastor - EI,723,COMBUSTIVEL,+55 51 6915 7376,xcamargo@fogaca.gov.br,87.903.245/0001-07,True,2017-10-18
Costa,415,LOGISTICA,+55 (081) 4450 0202,zsouza@novais.gov.br,03.452.916/0001-70,True,2021-10-18
Machado,831,HANDLING,61 0304 0934,srodrigues@rocha.br,41.283.905/0001-01,True,2017-09-14
Novaes Rios S.A.,142,SEGURANCA,(041) 2105-1334,garaujo@castro.com,01.345.687/0001-60,False,2020-06-07
Andrade Vargas - EI,507,COMBUSTIVEL,+55 (081) 1681-6360,stephanynunes@rezende.br,36.095.428/0001-02,True,2024-09-08
Mendes,506,SEGURANCA,+55 (061) 0005-2141,meloantony@camargo.br,34.560.827/0001-71,True,2019-06-27
