nome,descricao,multiplicador_preco,bagagem_inclusa_kg,prioridade_embarque
PREMIUM_ECONOMY_18,Variante 18 da tarifa premium economy.,1.47,33,3
BUSINESS_SAVER_18,Variante 18 da tarifa business saver.,2.1,34,2
BUSINESS_FULL_18,Variante 18 da tarifa business full.,3.22,40,1
PROMO_BASICA_18,Variante 18 da tarifa promo basica.,0.48,8,3
PROMO_ESPECIAL_18,Variante 18 da tarifa promo especial.,0.63,12,2
CORPORATE_18,Variante 18 da tarifa corporate.,1.93,32,5
ESTUDANTE_18,Variante 18 da tarifa estudante.,0.48,15,2
MILITAR_18,Variante 18 da tarifa militar.,1.09,31,1
IDOSO_18,Variante 18 da tarifa idoso.,0.68,21,2
FAMILIA_18,Variante 18 da tarifa familia.,1.24,34,3
GRUPO_18,Variante 18 da tarifa grupo.,1.17,26,5
ECONOMICA_LIGHT_19,Variante 19 da tarifa economica light.,0.92,7,2
ECONOMICA_STANDARD_19,Variante 19 da tarifa economica standard.,0.9,28,4
ECONOMICA_PLUS_19,Variante 19 da tarifa economica plus.,1.48,38,1
ECONOMICA_FLEX_19,Variante 19 da tarifa economica flex.,1.65,31,1
EXECUTIVA_LIGHT_19,Variante 19 da tarifa executiva light.,1.86,38,5
EXECUTIVA_STANDARD_19,Variante 19 da tarifa executiva standard.,2.38,43,3
EXECUTIVA_FLEX_19,Variante 19 da tarifa executiva flex.,2.94,42,1
PRIMEIRA_CLASSE_19,Variante 19 da tarifa primeira classe.,3.74,56,1
PRIMEIRA_FLEX_19,Variante 19 da tarifa primeira flex.,5.23,54,2
PREMIUM_ECONOMY_19,Variante 19 da tarifa premium economy.,1.41,33,2
BUSINESS_SAVER_19,Variante 19 da tarifa business saver.,2.46,34,1
BUSINESS_FULL_19,Variante 19 da tarifa business full.,3.71,46,3
PROMO_BASICA_19,Variante 19 da tarifa promo basica.,0.57,0,3
PROMO_ESPECIAL_19,Variante 19 da tarifa promo especial.,0.64,13,1
CORPORATE_19,Variante 19 da tarifa corporate.,1.68,39,5
ESTUDANTE_19,Variante 19 da tarifa estudante.,0.7,27,5
MILITAR_19,Variante 19 da tarifa militar.,1.05,21,5
IDOSO_19,Variante 19 da tarifa idoso.,1.07,28,2
FAMILIA_19,Variante 19 da tarifa familia.,1.14,28,4
GRUPO_19,Variante 19 da tarifa grupo.,1.1,16,2
ECONOMICA_LIGHT_20,Variante 20 da tarifa economica light.,1.03,0,4
ECONOMICA_STANDARD_20,Variante 20 da tarifa economica standard.,0.96,27,1
ECONOMICA_PLUS_20,Variante 20 da tarifa economica plus.,1.18,31,1
ECONOMICA_FLEX_20,Variante 20 da tarifa economica flex.,1.28,35,1
EXECUTIVA_LIGHT_20,Variante 20 da tarifa executiva light.,1.79,38,1
EXECUTIVA_STANDARD_20,Variante 20 da tarifa executiva standard.,2.3,43,4
EXECUTIVA_FLEX_20,Variante 20 da tarifa executiva flex.,2.93,40,4
PRIMEIRA_CLASSE_20,Variante 20 da tarifa primeira classe.,4.15,50,2
PRIMEIRA_FLEX_20,Variante 20 da tarifa primeira flex.,4.82,49,5
PREMIUM_ECONOMY_20,Variante 20 da tarifa premium economy.,1.78,20,2
BUSINESS_SAVER_20,Variante 20 da tarifa business saver.,1.91,40,4
BUSINESS_FULL_20,Variante 20 da tarifa business full.,3.54,43,2
PROMO_BASICA_20,Variante 20 da tarifa promo basica.,0.42,0,2
PROMO_ESPECIAL_20,Variante 20 da tarifa promo especial.,0.41,16,3
CORPORATE_20,Variante 20 da tarifa corporate.,1.74,39,1
ESTUDANTE_20,Variante 20 da tarifa estudante.,0.89,18,4
MILITAR_20,Variante 20 da tarifa militar.,1.02,31,1
IDOSO_20,Variante 20 da tarifa idoso.,0.86,31,2
FAMILIA_20,Variante 20 da tarifa familia.,1.27,31,3
GRUPO_20,Variante 20 da tarifa grupo.,0.8,16,2
ECONOMICA_LIGHT_21,Variante 21 da tarifa economica light.,0.67,6,2
ECONOMICA_STANDARD_21,Variante 21 da tarifa economica standard.,0.73,23,2
ECONOMICA_PLUS_21,Variante 21 da tarifa economica plus.,1.34,33,4
ECONOMICA_FLEX_21,Variante 21 da tarifa economica flex.,1.2,25,2
EXECUTIVA_LIGHT_21,Variante 21 da tarifa executiva light.,1.86,31,1
EXECUTIVA_STANDARD_21,Variante 21 da tarifa executiva standard.,2.28,44,4
EXECUTIVA_FLEX_21,Variante 21 da tarifa executiva flex.,2.74,35,1
PRIMEIRA_CLASSE_21,Variante 21 da tarifa primeira classe.,3.97,50,2
PRIMEIRA_FLEX_21,Variante 21 da tarifa primeira flex.,5.1,49,3
PREMIUM_ECONOMY_21,Variante 21 da tarifa premium economy.,1.33,31,1
BUSINESS_SAVER_21,Variante 21 da tarifa business saver.,2.16,43,3
BUSINESS_FULL_21,Variante 21 da tarifa business full.,3.6,54,1
PROMO_BASICA_21,Variante 21 da tarifa promo basica.,0.8,10,4
PROMO_ESPECIAL_21,Variante 21 da tarifa promo especial.,0.59,18,4
CORPORATE_21,Variante 21 da tarifa corporate.,1.56,30,3
ESTUDANTE_21,Variante 21 da tarifa estudante.,0.48,26,5
MILITAR_21,Variante 21 da tarifa militar.,0.69,34,2
IDOSO_21,Variante 21 da tarifa idoso.,1.07,33,2
FAMILIA_21,Variante 21 da tarifa familia.,1.0,22,2
GRUPO_21,Variante 21 da tarifa grupo.,0.74,16,5
ECONOMICA_LIGHT_22,Variante 22 da tarifa economica light.,0.97,5,4
ECONOMICA_STANDARD_22,Variante 22 da tarifa economica standard.,0.94,27,3
ECONOMICA_PLUS_22,Variante 22 da tarifa economica plus.,1.45,29,2
ECONOMICA_FLEX_22,Variante 22 da tarifa economica flex.,1.39,31,4
EXECUTIVA_LIGHT_22,Variante 22 da tarifa executiva light.,2.04,29,2
EXECUTIVA_STANDARD_22,Variante 22 da tarifa executiva standard.,2.26,37,1
EXECUTIVA_FLEX_22,Variante 22 da tarifa executiva flex.,3.29,38,5
PRIMEIRA_CLASSE_22,Variante 22 da tarifa primeira classe.,3.97,46,2
PRIMEIRA_FLEX_22,Variante 22 da tarifa primeira flex.,5.12,58,5
PREMIUM_ECONOMY_22,Variante 22 da tarifa premium economy.,1.33,22,4
BUSINESS_SAVER_22,Variante 22 da tarifa business saver.,2.41,45,3
BUSINESS_FULL_22,Variante 22 da tarifa business full.,3.62,47,5
PROMO_BASICA_22,Variante 22 da tarifa promo basica.,0.39,0,5
PROMO_ESPECIAL_22,Variante 22 da tarifa promo especial.,0.98,18,3
CORPORATE_22,Variante 22 da tarifa corporate.,1.61,35,1
ESTUDANTE_22,Variante 22 da tarifa estudante.,0.75,20,2
MILITAR_22,Variante 22 da tarifa militar.,0.64,35,4
IDOSO_22,Variante 22 da tarifa idoso.,1.05,25,2
FAMILIA_22,Variante 22 da tarifa familia.,1.13,25,2
GRUPO_22,Variante 22 da tarifa grupo.,0.66,24,2
ECONOMICA_LIGHT_23,Variante 23 da tarifa economica light.,0.59,7,2
ECONOMICA_STANDARD_23,Variante 23 da tarifa economica standard.,0.93,28,3
ECONOMICA_PLUS_23,Variante 23 da tarifa economica plus.,1.25,37,2
ECONOMICA_FLEX_23,Variante 23 da tarifa economica flex.,1.65,25,5
EXECUTIVA_LIGHT_23,Variante 23 da tarifa executiva light.,2.19,33,3
EXECUTIVA_STANDARD_23,Variante 23 da tarifa executiva standard.,2.38,49,1
EXECUTIVA_FLEX_23,Variante 23 da tarifa executiva flex.,2.88,50,5
PRIMEIRA_CLASSE_23,Variante 23 da tarifa primeira classe.,4.06,55,1
PRIMEIRA_FLEX_23,Variante 23 da tarifa primeira flex.,4.86,45,2
PREMIUM_ECONOMY_23,Variante 23 da tarifa premium economy.,1.31,31,5
BUSINESS_SAVER_23,Variante 23 da tarifa business saver.,2.31,41,1
BUSINESS_FULL_23,Variante 23 da tarifa business full.,3.57,50,2
PROMO_BASICA_23,Variante 23 da tarifa promo basica.,0.77,9,4
PROMO_ESPECIAL_23,Variante 23 da tarifa promo especial.,0.55,15,4
CORPORATE_23,Variante 23 da tarifa corporate.,1.76,31,2
ESTUDANTE_23,Variante 23 da tarifa estudante.,1.02,25,4
MILITAR_23,Variante 23 da tarifa militar.,0.69,25,4
IDOSO_23,Variante 23 da tarifa idoso.,1.15,33,3
FAMILIA_23,Variante 23 da tarifa familia.,1.28,25,3
GRUPO_23,Variante 23 da tarifa grupo.,0.99,15,4
ECONOMICA_LIGHT_24,Variante 24 da tarifa economica light.,0.55,7,3
ECONOMICA_STANDARD_24,Variante 24 da tarifa economica standard.,1.03,22,5
ECONOMICA_PLUS_24,Variante 24 da tarifa economica plus.,0.98,36,5
ECONOMICA_FLEX_24,Variante 24 da tarifa economica flex.,1.54,30,2
EXECUTIVA_LIGHT_24,Variante 24 da tarifa executiva light.,2.06,30,1
EXECUTIVA_STANDARD_24,Variante 24 da tarifa executiva standard.,2.39,48,2
EXECUTIVA_FLEX_24,Variante 24 da tarifa executiva flex.,2.73,45,3
PRIMEIRA_CLASSE_24,Variante 24 da tarifa primeira classe.,4.15,57,2
PRIMEIRA_FLEX_24,Variante 24 da tarifa primeira flex.,4.96,59,2
PREMIUM_ECONOMY_24,Variante 24 da tarifa premium economy.,1.69,25,5
BUSINESS_SAVER_24,Variante 24 da tarifa business saver.,2.33,35,1
BUSINESS_FULL_24,Variante 24 da tarifa business full.,3.46,42,3
PROMO_BASICA_24,Variante 24 da tarifa promo basica.,0.7,0,5
PROMO_ESPECIAL_24,Variante 24 da tarifa promo especial.,0.6,16,2
CORPORATE_24,Variante 24 da tarifa corporate.,1.93,32,5
ESTUDANTE_24,Variante 24 da tarifa estudante.,0.91,16,1
MILITAR_24,Variante 24 da tarifa militar.,0.71,27,2
IDOSO_24,Variante 24 da tarifa idoso.,0.64,20,2
FAMILIA_24,Variante 24 da tarifa familia.,1.31,23,2
GRUPO_24,Variante 24 da tarifa grupo.,1.12,26,3
ECONOMICA_LIGHT_25,Variante 25 da tarifa economica light.,0.81,0,3
ECONOMICA_STANDARD_25,Variante 25 da tarifa economica standard.,1.02,31,5
ECONOMICA_PLUS_25,Variante 25 da tarifa economica plus.,1.15,40,4
ECONOMICA_FLEX_25,Variante 25 da tarifa economica flex.,1.28,25,1
EXECUTIVA_LIGHT_25,Variante 25 da tarifa executiva light.,2.16,30,5
EXECUTIVA_STANDARD_25,Variante 25 da tarifa executiva standard.,2.4,36,4
EXECUTIVA_FLEX_25,Variante 25 da tarifa executiva flex.,2.89,44,2
PRIMEIRA_CLASSE_25,Variante 25 da tarifa primeira classe.,4.2,45,1
PRIMEIRA_FLEX_25,Variante 25 da tarifa primeira flex.,5.18,50,5
PREMIUM_ECONOMY_25,Variante 25 da tarifa premium economy.,1.86,35,4
BUSINESS_SAVER_25,Variante 25 da tarifa business saver.,2.28,45,2
BUSINESS_FULL_25,Variante 25 da tarifa business full.,3.7,50,4
PROMO_BASICA_25,Variante 25 da tarifa promo basica.,0.68,4,4
PROMO_ESPECIAL_25,Variante 25 da tarifa promo especial.,0.85,13,5
CORPORATE_25,Variante 25 da tarifa corporate.,1.76,29,2
ESTUDANTE_25,Variante 25 da tarifa estudante.,0.63,20,1
MILITAR_25,Variante 25 da tarifa militar.,0.92,33,2
IDOSO_25,Variante 25 da tarifa idoso.,0.71,24,2
FAMILIA_25,Variante 25 da tarifa familia.,0.81,22,1
GRUPO_25,Variante 25 da tarifa grupo.,0.82,23,5
ECONOMICA_LIGHT_26,Variante 26 da tarifa economica light.,0.63,0,3
ECONOMICA_STANDARD_26,Variante 26 da tarifa economica standard.,1.14,21,1
ECONOMICA_PLUS_26,Variante 26 da tarifa economica plus.,1.18,39,2
ECONOMICA_FLEX_26,Variante 26 da tarifa economica flex.,1.6,38,5
EXECUTIVA_LIGHT_26,Variante 26 da tarifa executiva light.,2.07,35,5
EXECUTIVA_STANDARD_26,Variante 26 da tarifa executiva standard.,2.61,38,2
EXECUTIVA_FLEX_26,Variante 26 da tarifa executiva flex.,3.01,41,1
PRIMEIRA_CLASSE_26,Variante 26 da tarifa primeira classe.,4.14,45,1
PRIMEIRA_FLEX_26,Variante 26 da tarifa primeira flex.,4.83,58,4
PREMIUM_ECONOMY_26,Variante 26 da tarifa premium economy.,1.55,25,1
BUSINESS_SAVER_26,Variante 26 da tarifa business saver.,1.94,41,2
BUSINESS_FULL_26,Variante 26 da tarifa business full.,3.65,50,2
PROMO_BASICA_26,Variante 26 da tarifa promo basica.,0.63,1,1
PROMO_ESPECIAL_26,Variante 26 da tarifa promo especial.,0.4,11,3
CORPORATE_26,Variante 26 da tarifa corporate.,1.99,33,2
ESTUDANTE_26,Variante 26 da tarifa estudante.,0.98,22,5
MILITAR_26,Variante 26 da tarifa militar.,0.98,31,5
IDOSO_26,Variante 26 da tarifa idoso.,1.01,31,5
FAMILIA_26,Variante 26 da tarifa familia.,0.9,21,1
GRUPO_26,Variante 26 da tarifa grupo.,0.92,28,2
ECONOMICA_LIGHT_27,Variante 27 da tarifa economica light.,0.99,8,2
ECONOMICA_STANDARD_27,Variante 27 da tarifa economica standard.,1.21,23,5
ECONOMICA_PLUS_27,Variante 27 da tarifa economica plus.,1.5,31,5
ECONOMICA_FLEX_27,Variante 27 da tarifa economica flex.,1.47,37,2
EXECUTIVA_LIGHT_27,Variante 27 da tarifa executiva light.,1.83,42,4
EXECUTIVA_STANDARD_27,Variante 27 da tarifa executiva standard.,2.74,37,5
EXECUTIVA_FLEX_27,Variante 27 da tarifa executiva flex.,2.9,38,5
PRIMEIRA_CLASSE_27,Variante 27 da tarifa primeira classe.,4.25,57,2
PRIMEIRA_FLEX_27,Variante 27 da tarifa primeira flex.,4.94,48,2
PREMIUM_ECONOMY_27,Variante 27 da tarifa premium economy.,1.56,29,1
BUSINESS_SAVER_27,Variante 27 da tarifa business saver.,1.9,32,2
BUSINESS_FULL_27,Variante 27 da tarifa business full.,3.29,45,2
PROMO_BASICA_27,Variante 27 da tarifa promo basica.,0.84,0,1
PROMO_ESPECIAL_27,Variante 27 da tarifa promo especial.,0.8,17,3
CORPORATE_27,Variante 27 da tarifa corporate.,2.04,39,5
ESTUDANTE_27,Variante 27 da tarifa estudante.,0.89,17,5
MILITAR_27,Variante 27 da tarifa militar.,0.84,20,4
IDOSO_27,Variante 27 da tarifa idoso.,1.17,33,4
FAMILIA_27,Variante 27 da tarifa familia.,1.03,21,4
GRUPO_27,Variante 27 da tarifa grupo.,1.1,26,5
ECONOMICA_LIGHT_28,Variante 28 da tarifa economica light.,0.6,0,3
ECONOMICA_STANDARD_28,Variante 28 da tarifa economica standard.,0.85,20,5
ECONOMICA_PLUS_28,Variante 28 da tarifa economica plus.,0.98,39,4
ECONOMICA_FLEX_28,Variante 28 da tarifa economica flex.,1.17,28,3
EXECUTIVA_LIGHT_28,Variante 28 da tarifa executiva light.,2.28,40,5
EXECUTIVA_STANDARD_28,Variante 28 da tarifa executiva standard.,2.71,42,5
EXECUTIVA_FLEX_28,Variante 28 da tarifa executiva flex.,3.12,46,4
PRIMEIRA_CLASSE_28,Variante 28 da tarifa primeira classe.,3.81,45,2
PRIMEIRA_FLEX_28,Variante 28 da tarifa primeira flex.,5.12,57,3
PREMIUM_ECONOMY_28,Variante 28 da tarifa premium economy.,1.72,32,5
BUSINESS_SAVER_28,Variante 28 da tarifa business saver.,2.13,35,5
BUSINESS_FULL_28,Variante 28 da tarifa business full.,3.72,43,2
PROMO_BASICA_28,Variante 28 da tarifa promo basica.,0.49,1,3
PROMO_ESPECIAL_28,Variante 28 da tarifa promo especial.,0.77,15,3
CORPORATE_28,Variante 28 da tarifa corporate.,1.7,33,4
ESTUDANTE_28,Variante 28 da tarifa estudante.,0.83,15,4
MILITAR_28,Variante 28 da tarifa militar.,0.99,24,5
IDOSO_28,Variante 28 da tarifa idoso.,1.12,18,4
FAMILIA_28,Variante 28 da tarifa familia.,0.96,35,2
GRUPO_28,Variante 28 da tarifa grupo.,1.11,28,4
ECONOMICA_LIGHT_29,Variante 29 da tarifa economica light.,0.85,4,1
ECONOMICA_STANDARD_29,Variante 29 da tarifa economica standard.,1.16,30,4
ECONOMICA_PLUS_29,Variante 29 da tarifa economica plus.,0.91,25,5
ECONOMICA_FLEX_29,Variante 29 da tarifa economica flex.,1.57,39,3
EXECUTIVA_LIGHT_29,Variante 29 da tarifa executiva light.,2.11,42,3
EXECUTIVA_STANDARD_29,Variante 29 da tarifa executiva standard.,2.54,44,4
EXECUTIVA_FLEX_29,Variante 29 da tarifa executiva flex.,2.87,41,5
PRIMEIRA_CLASSE_29,Variante 29 da tarifa primeira classe.,4.18,54,1
PRIMEIRA_FLEX_29,Variante 29 da tarifa primeira flex.,4.95,52,3
PREMIUM_ECONOMY_29,Variante 29 da tarifa premium economy.,1.8,30,2
BUSINESS_SAVER_29,Variante 29 da tarifa business saver.,2.14,33,4
BUSINESS_FULL_29,Variante 29 da tarifa business full.,3.38,40,3
PROMO_BASICA_29,Variante 29 da tarifa promo basica.,0.47,0,5
PROMO_ESPECIAL_29,Variante 29 da tarifa promo especial.,0.5,22,1
CORPORATE_29,Variante 29 da tarifa corporate.,1.7,30,1
ESTUDANTE_29,Variante 29 da tarifa estudante.,0.95,16,2
MILITAR_29,Variante 29 da tarifa militar.,0.79,34,1
IDOSO_29,Variante 29 da tarifa idoso.,0.84,27,5
FAMILIA_29,Variante 29 da tarifa familia.,1.16,21,1
GRUPO_29,Variante 29 da tarifa grupo.,1.15,20,3
ECONOMICA_LIGHT_30,Variante 30 da tarifa economica light.,0.82,3,3
ECONOMICA_STANDARD_30,Variante 30 da tarifa economica standard.,1.01,25,1
ECONOMICA_PLUS_30,Variante 30 da tarifa economica plus.,1.23,31,1
ECONOMICA_FLEX_30,Variante 30 da tarifa economica flex.,1.3,34,5
EXECUTIVA_LIGHT_30,Variante 30 da tarifa executiva light.,2.03,42,3
EXECUTIVA_STANDARD_30,Variante 30 da tarifa executiva standard.,2.7,38,5
EXECUTIVA_FLEX_30,Variante 30 da tarifa executiva flex.,2.91,42,1
PRIMEIRA_CLASSE_30,Variante 30 da tarifa primeira classe.,3.79,59,3
PRIMEIRA_FLEX_30,Variante 30 da tarifa primeira flex.,5.25,46,1
PREMIUM_ECONOMY_30,Variante 30 da tarifa premium economy.,1.43,31,4
BUSINESS_SAVER_30,Variante 30 da tarifa business saver.,2.36,42,1
BUSINESS_FULL_30,Variante 30 da tarifa business full.,3.56,51,2
PROMO_BASICA_30,Variante 30 da tarifa promo basica.,0.31,6,4
PROMO_ESPECIAL_30,Variante 30 da tarifa promo especial.,0.58,18,5
CORPORATE_30,Variante 30 da tarifa corporate.,1.61,39,5
ESTUDANTE_30,Variante 30 da tarifa estudante.,0.85,24,4
MILITAR_30,Variante 30 da tarifa militar.,0.82,21,5
IDOSO_30,Variante 30 da tarifa idoso.,1.06,18,1
FAMILIA_30,Variante 30 da tarifa familia.,1.12,25,4
GRUPO_30,Variante 30 da tarifa grupo.,1.18,16,1
ECONOMICA_LIGHT_31,Variante 31 da tarifa economica light.,0.57,1,4
ECONOMICA_STANDARD_31,Variante 31 da tarifa economica standard.,0.92,21,1
ECONOMICA_PLUS_31,Variante 31 da tarifa economica plus.,1.04,34,3
ECONOMICA_FLEX_31,Variante 31 da tarifa economica flex.,1.67,33,2
EXECUTIVA_LIGHT_31,Variante 31 da tarifa executiva light.,2.06,28,4
EXECUTIVA_STANDARD_31,Variante 31 da tarifa executiva standard.,2.49,45,4
EXECUTIVA_FLEX_31,Variante 31 da tarifa executiva flex.,3.04,47,3
PRIMEIRA_CLASSE_31,Variante 31 da tarifa primeira classe.,3.8,46,4
PRIMEIRA_FLEX_31,Variante 31 da tarifa primeira flex.,4.79,49,1
PREMIUM_ECONOMY_31,Variante 31 da tarifa premium economy.,1.49,31,5
BUSINESS_SAVER_31,Variante 31 da tarifa business saver.,2.26,45,2
BUSINESS_FULL_31,Variante 31 da tarifa business full.,3.39,53,2
PROMO_BASICA_31,Variante 31 da tarifa promo basica.,0.41,0,1
PROMO_ESPECIAL_31,Variante 31 da tarifa promo especial.,0.77,20,2
CORPORATE_31,Variante 31 da tarifa corporate.,1.63,34,4
ESTUDANTE_31,Variante 31 da tarifa estudante.,0.93,23,4
MILITAR_31,Variante 31 da tarifa militar.,0.73,32,3
IDOSO_31,Variante 31 da tarifa idoso.,0.92,28,3
FAMILIA_31,Variante 31 da tarifa familia.,1.16,33,3
GRUPO_31,Variante 31 da tarifa grupo.,0.75,22,5
ECONOMICA_LIGHT_32,Variante 32 da tarifa economica light.,0.64,0,4
ECONOMICA_STANDARD_32,Variante 32 da tarifa economica standard.,1.2,22,3
ECONOMICA_PLUS_32,Variante 32 da tarifa economica plus.,1.1,36,2
ECONOMICA_FLEX_32,Variante 32 da tarifa economica flex.,1.16,26,1
EXECUTIVA_LIGHT_32,Variante 32 da tarifa executiva light.,2.14,39,2
EXECUTIVA_STANDARD_32,Variante 32 da tarifa executiva standard.,2.6,37,1
EXECUTIVA_FLEX_32,Variante 32 da tarifa executiva flex.,3.26,50,2
PRIMEIRA_CLASSE_32,Variante 32 da tarifa primeira classe.,4.25,49,4
PRIMEIRA_FLEX_32,Variante 32 da tarifa primeira flex.,5.0,58,3
PREMIUM_ECONOMY_32,Variante 32 da tarifa premium economy.,1.62,27,5
BUSINESS_SAVER_32,Variante 32 da tarifa business saver.,2.11,40,3
BUSINESS_FULL_32,Variante 32 da tarifa business full.,3.53,45,2
PROMO_BASICA_32,Variante 32 da tarifa promo basica.,0.65,4,2
PROMO_ESPECIAL_32,Variante 32 da tarifa promo especial.,0.81,21,2
CORPORATE_32,Variante 32 da tarifa corporate.,1.93,35,1
ESTUDANTE_32,Variante 32 da tarifa estudante.,0.69,25,4
MILITAR_32,Variante 32 da tarifa militar.,0.77,22,4
IDOSO_32,Variante 32 da tarifa idoso.,0.64,28,1
FAMILIA_32,Variante 32 da tarifa familia.,1.12,21,3
GRUPO_32,Variante 32 da tarifa grupo.,0.84,17,3
ECONOMICA_LIGHT_33,Variante 33 da tarifa economica light.,0.77,4,3
ECONOMICA_STANDARD_33,Variante 33 da tarifa economica standard.,0.98,29,2
ECONOMICA_PLUS_33,Variante 33 da tarifa economica plus.,1.11,29,3
ECONOMICA_FLEX_33,Variante 33 da tarifa economica flex.,1.36,34,1
EXECUTIVA_LIGHT_33,Variante 33 da tarifa executiva light.,2.2,41,1
EXECUTIVA_STANDARD_33,Variante 33 da tarifa executiva standard.,2.41,44,5
EXECUTIVA_FLEX_33,Variante 33 da tarifa executiva flex.,2.98,43,3
PRIMEIRA_CLASSE_33,Variante 33 da tarifa primeira classe.,4.21,51,1
PRIMEIRA_FLEX_33,Variante 33 da tarifa primeira flex.,4.9,60,5
PREMIUM_ECONOMY_33,Variante 33 da tarifa premium economy.,1.62,27,2
BUSINESS_SAVER_33,Variante 33 da tarifa business saver.,1.97,36,4
BUSINESS_FULL_33,Variante 33 da tarifa business full.,3.25,42,2
PROMO_BASICA_33,Variante 33 da tarifa promo basica.,0.44,0,4
PROMO_ESPECIAL_33,Variante 33 da tarifa promo especial.,0.96,25,5
CORPORATE_33,Variante 33 da tarifa corporate.,1.82,30,5
ESTUDANTE_33,Variante 33 da tarifa estudante.,0.49,20,4
MILITAR_33,Variante 33 da tarifa militar.,0.88,26,1
IDOSO_33,Variante 33 da tarifa idoso.,0.77,31,2
FAMILIA_33,Variante 33 da tarifa familia.,0.99,22,3
GRUPO_33,Variante 33 da tarifa grupo.,0.76,29,3
ECONOMICA_LIGHT_34,Variante 34 da tarifa economica light.,0.75,1,3
ECONOMICA_STANDARD_34,Variante 34 da tarifa economica standard.,1.14,33,5
ECONOMICA_PLUS_34,Variante 34 da tarifa economica plus.,0.93,28,3
ECONOMICA_FLEX_34,Variante 34 da tarifa economica flex.,1.35,40,2
EXECUTIVA_LIGHT_34,Variante 34 da tarifa executiva light.,1.88,39,4
EXECUTIVA_STANDARD_34,Variante 34 da tarifa executiva standard.,2.25,50,4
EXECUTIVA_FLEX_34,Variante 34 da tarifa executiva flex.,3.15,40,5
PRIMEIRA_CLASSE_34,Variante 34 da tarifa primeira classe.,4.19,47,3
PRIMEIRA_FLEX_34,Variante 34 da tarifa primeira flex.,4.83,57,2
PREMIUM_ECONOMY_34,Variante 34 da tarifa premium economy.,1.65,28,4
BUSINESS_SAVER_34,Variante 34 da tarifa business saver.,2.28,43,3
BUSINESS_FULL_34,Variante 34 da tarifa business full.,3.78,50,1
PROMO_BASICA_34,Variante 34 da tarifa promo basica.,0.67,0,1
PROMO_ESPECIAL_34,Variante 34 da tarifa promo especial.,0.47,20,4
CORPORATE_34,Variante 34 da tarifa corporate.,1.64,25,5
ESTUDANTE_34,Variante 34 da tarifa estudante.,0.99,25,2
MILITAR_34,Variante 34 da tarifa militar.,0.61,22,5
IDOSO_34,Variante 34 da tarifa idoso.,0.96,27,3
FAMILIA_34,Variante 34 da tarifa familia.,0.9,29,4
GRUPO_34,Variante 34 da tarifa grupo.,0.82,24,5
ECONOMICA_LIGHT_35,Variante 35 da tarifa economica light.,0.95,9,5
ECONOMICA_STANDARD_35,Variante 35 da tarifa economica standard.,0.92,23,5
ECONOMICA_PLUS_35,Variante 35 da tarifa economica plus.,1.45,36,4
ECONOMICA_FLEX_35,Variante 35 da tarifa economica flex.,1.3,36,5
EXECUTIVA_LIGHT_35,Variante 35 da tarifa executiva light.,1.78,30,5
EXECUTIVA_STANDARD_35,Variante 35 da tarifa executiva standard.,2.23,39,1
EXECUTIVA_FLEX_35,Variante 35 da tarifa executiva flex.,2.96,49,5
PRIMEIRA_CLASSE_35,Variante 35 da tarifa primeira classe.,4.07,47,2
PRIMEIRA_FLEX_35,Variante 35 da tarifa primeira flex.,4.88,51,5
PREMIUM_ECONOMY_35,Variante 35 da tarifa premium economy.,1.84,34,1
BUSINESS_SAVER_35,Variante 35 da tarifa business saver.,2.18,40,5
BUSINESS_FULL_35,Variante 35 da tarifa business full.,3.52,48,3
PROMO_BASICA_35,Variante 35 da tarifa promo basica.,0.79,3,2
PROMO_ESPECIAL_35,Variante 35 da tarifa promo especial.,0.66,15,5
CORPORATE_35,Variante 35 da tarifa corporate.,2.1,28,1
ESTUDANTE_35,Variante 35 da tarifa estudante.,0.56,21,1
MILITAR_35,Variante 35 da tarifa militar.,0.68,30,4
IDOSO_35,Variante 35 da tarifa idoso.,1.11,21,1
FAMILIA_35,Variante 35 da tarifa familia.,1.15,35,5
GRUPO_35,Variante 35 da tarifa grupo.,0.7,25,5
ECONOMICA_LIGHT_36,Variante 36 da tarifa economica light.,0.51,0,5
ECONOMICA_STANDARD_36,Variante 36 da tarifa economica standard.,1.09,23,1
ECONOMICA_PLUS_36,Variante 36 da tarifa economica plus.,1.17,26,3
ECONOMICA_FLEX_36,Variante 36 da tarifa economica flex.,1.29,38,4
EXECUTIVA_LIGHT_36,Variante 36 da tarifa executiva light.,2.05,34,3
EXECUTIVA_STANDARD_36,Variante 36 da tarifa executiva standard.,2.25,45,5
EXECUTIVA_FLEX_36,Variante 36 da tarifa executiva flex.,3.02,35,4
PRIMEIRA_CLASSE_36,Variante 36 da tarifa primeira classe.,4.28,45,3
PRIMEIRA_FLEX_36,Variante 36 da tarifa primeira flex.,4.82,57,1
PREMIUM_ECONOMY_36,Variante 36 da tarifa premium economy.,1.75,23,1
BUSINESS_SAVER_36,Variante 36 da tarifa business saver.,2.25,32,1
BUSINESS_FULL_36,Variante 36 da tarifa business full.,3.35,44,5
PROMO_BASICA_36,Variante 36 da tarifa promo basica.,0.89,4,2
PROMO_ESPECIAL_36,Variante 36 da tarifa promo especial.,0.79,20,3
CORPORATE_36,Variante 36 da tarifa corporate.,1.57,38,1
ESTUDANTE_36,Variante 36 da tarifa estudante.,0.79,25,5
