nome,aeroporto_id,capacidade_gates,tipo,ativo
T1,3986,9,DOMESTICO,True
T24,1289,20,MISTO,True
T4,3517,38,MISTO,True
T11,4329,25,INTERNACIONAL,True
T48,103,2,INTERNACIONAL,True
T19,4545,34,CARGA,True
Terminal X,1560,46,CARGA,True
T37,1535,42,DOMESTICO,True
T14,3186,13,DOMESTICO,True
T5,1418,37,CARGA,True
T45,4230,3,CARGA,True
T14,3393,38,CARGA,False
T49,2564,47,DOMESTICO,True
T47,959,27,MISTO,True
T19,1964,28,INTERNACIONAL,True
Terminal D,2731,13,DOMESTICO,True
T40,990,32,DOMESTICO,True
Terminal F,34,36,INTERNACIONAL,True
T20,452,17,INTERNACIONAL,True
T44,349,39,INTERNACIONAL,True
T24,2944,5,DOMESTICO,True
Terminal J,3138,30,DOMESTICO,True
Terminal L,128,20,CARGA,True
T8,1486,31,MISTO,True
Terminal P,817,33,INTERNACIONAL,True
T28,3213,22,DOMESTICO,True
T42,4219,42,MISTO,True
Terminal E,3520,13,CARGA,True
Terminal P,1613,29,DOMESTICO,True
Terminal G,2854,11,MISTO,True
Terminal B,2788,27,INTERNACIONAL,True
Terminal H,3794,46,MISTO,True
Terminal L,2256,44,CARGA,True
T15,2107,29,MISTO,True
T23,3406,31,CARGA,True
T27,2084,41,DOMESTICO,True
T14,4138,2,DOMESTICO,False
Terminal O,111,15,CARGA,True
T40,3665,19,CARGA,True
T35,142,17,INTERNACIONAL,True
Terminal S,1479,22,INTERNACIONAL,True
Terminal V,3503,43,INTERNACIONAL,True
T5,1713,19,MISTO,False
T10,2805,9,CARGA,True
T34,3024,36,CARGA,True
Terminal K,3581,4,DOMESTICO,False
Terminal L,2880,9,CARGA,True
T38,2197,40,INTERNACIONAL,True
T13,1689,34,DOMESTICO,True
T25,1052,39,CARGA,True
Terminal L,1846,22,MISTO,True
Terminal G,4307,43,DOMESTICO,True
T38,3036,23,CARGA,True
Terminal O,1737,34,INTERNACIONAL,True
Terminal R,4519,14,CARGA,True
T10,4404,19,MISTO,True
Terminal C,2619,8,INTERNACIONAL,True
T6,718,34,MISTO,True
Terminal N,2444,37,MISTO,True
Terminal U,1850,27,MISTO,True
Terminal F,3716,6,CARGA,True
T6,3677,16,CARGA,True
Terminal G,548,29,MISTO,True
T19,363,20,CARGA,True
T48,3875,16,DOMESTICO,True
Terminal T,4375,26,INTERNACIONAL,True
T34,3937,22,CARGA,True
Terminal A,4898,29,DOMESTICO,True
T30,4141,41,CARGA,False
T24,2945,27,DOMESTICO,True
Terminal X,4556,37,INTERNACIONAL,True
T36,143,22,CARGA,True
T46,2958,17,DOMESTICO,True
T3,2636,14,CARGA,True
T49,2146,10,CARGA,True
T41,774,45,CARGA,True
T15,3891,43,CARGA,True
T7,1786,22,MISTO,True
T10,3130,44,INTERNACIONAL,True
T47,3409,50,INTERNACIONAL,True
T42,2811,17,DOMESTICO,False
T43,2865,5,CARGA,True
T7,2013,49,MISTO,True
T39,322,35,MISTO,True
T46,2378,36,INTERNACIONAL,True
Terminal X,4981,30,INTERNACIONAL,True
T39,3625,15,MISTO,False
Terminal Y,4776,10,DOMESTICO,True
Terminal L,3882,33,CARGA,True
Terminal A,977,16,MISTO,False
T37,437,16,CARGA,True
T15,2547,31,MISTO,True
T39,544,19,DOMESTICO,False
Terminal D,510,50,DOMESTICO,True
T4,740,17,DOMESTICO,True
Terminal P,1381,19,DOMESTICO,True
Terminal K,66,7,INTERNACIONAL,True
Terminal U,4676,8,MISTO,True
Terminal J,4576,39,INTERNACIONAL,True
Terminal S,4031,19,MISTO,True
T28,3673,20,MISTO,True
T14,4242,29,DOMESTICO,True
Terminal Z,4468,15,CARGA,True
T14,3631,33,DOMESTICO,True
Terminal N,4838,20,CARGA,True
Terminal X,973,46,DOMESTICO,True
T3,1837,35,INTERNACIONAL,True
T19,3080,29,DOMESTICO,True
T49,4381,26,DOMESTICO,True
T27,3303,45,DOMESTICO,True
T47,4703,12,CARGA,True
T39,220,42,CARGA,True
T20,3087,31,MISTO,True
T22,3476,40,CARGA,True
T34,2620,33,CARGA,True
Terminal C,4154,4,CARGA,True
T42,3371,10,INTERNACIONAL,True
T35,2034,17,INTERNACIONAL,True
T34,2286,20,DOMESTICO,True
T30,1440,33,CARGA,True
Terminal G,3677,30,INTERNACIONAL,True
T22,4462,18,CARGA,False
Terminal T,2945,7,CARGA,True
Terminal R,1722,6,INTERNACIONAL,True
T40,2722,30,INTERNACIONAL,True
T42,4161,2,INTERNACIONAL,True
T50,1282,44,MISTO,True
T25,4096,41,INTERNACIONAL,True
T43,4282,15,CARGA,True
T31,262,40,DOMESTICO,True
Terminal B,4926,28,INTERNACIONAL,True
T19,681,49,MISTO,True
T12,2512,41,DOMESTICO,True
T14,4031,31,DOMESTICO,True
T44,2337,49,CARGA,True
T31,916,50,INTERNACIONAL,True
T15,4329,39,CARGA,True
T29,1656,25,DOMESTICO,True
Terminal N,2054,28,INTERNACIONAL,True
T33,3210,13,MISTO,False
T23,4972,12,CARGA,True
Terminal S,2021,8,MISTO,True
T29,3262,30,DOMESTICO,True
T40,628,31,DOMESTICO,True
T9,60,23,INTERNACIONAL,True
T35,370,7,DOMESTICO,True
T6,646,8,CARGA,False
Terminal Y,287,21,CARGA,True
T35,737,17,MISTO,True
T7,3953,7,MISTO,True
T21,2830,21,MISTO,True
T18,1692,25,DOMESTICO,True
Terminal L,2472,24,CARGA,True
Terminal Z,193,26,INTERNACIONAL,True
T14,3376,34,CARGA,True
T32,447,20,MISTO,True
T15,1470,43,DOMESTICO,True
Terminal L,4643,28,MISTO,True
T34,2128,3,CARGA,True
T36,3499,33,DOMESTICO,True
T8,1704,6,MISTO,True
T10,1227,19,CARGA,True
Terminal I,4784,45,MISTO,True
T48,201,3,MISTO,True
Terminal J,2877,35,MISTO,False
T1,3102,40,INTERNACIONAL,True
T26,2110,25,DOMESTICO,True
Terminal S,1675,31,DOMESTICO,False
T49,2452,8,INTERNACIONAL,True
T5,2296,35,MISTO,True
T46,212,8,INTERNACIONAL,True
Terminal G,2969,40,DOMESTICO,True
T5,1731,38,INTERNACIONAL,True
Terminal Q,3204,22,INTERNACIONAL,True
T29,4526,25,CARGA,True
Terminal O,981,46,INTERNACIONAL,True
Terminal N,4702,10,INTERNACIONAL,False
T29,218,13,INTERNACIONAL,True
T40,924,15,INTERNACIONAL,True
T28,950,33,DOMESTICO,True
Terminal P,3277,45,CARGA,False
Terminal M,700,32,INTERNACIONAL,True
T5,1224,16,MISTO,True
T1,2040,25,INTERNACIONAL,True
T6,3059,24,CARGA,True
T33,4452,48,INTERNACIONAL,True
Terminal C,2901,19,DOMESTICO,True
T9,849,30,CARGA,True
T45,3516,12,INTERNACIONAL,True
T12,1054,20,CARGA,True
T26,793,14,CARGA,True
Terminal A,4000,15,CARGA,True
T31,2334,16,INTERNACIONAL,True
T2,1331,10,INTERNACIONAL,True
Terminal Z,3546,30,INTERNACIONAL,True
Terminal U,644,23,MISTO,True
Terminal R,2805,35,CARGA,True
T10,4436,32,MISTO,True
T8,2274,31,MISTO,True
T29,3628,21,INTERNACIONAL,True
Terminal A,639,24,CARGA,True
T24,276,46,MISTO,True
T2,2866,13,INTERNACIONAL,True
T13,2197,19,INTERNACIONAL,True
Terminal P,3066,38,MISTO,True
T45,43,43,CARGA,True
T38,2162,10,DOMESTICO,True
Terminal D,3691,29,CARGA,True
Terminal N,5,47,CARGA,True
Terminal D,1534,21,INTERNACIONAL,True
T31,3675,9,MISTO,True
T45,2337,32,INTERNACIONAL,True
T49,2051,10,CARGA,True
T41,1409,50,INTERNACIONAL,False
T45,3482,10,DOMESTICO,True
Terminal G,4585,34,INTERNACIONAL,False
T39,3883,2,INTERNACIONAL,True
